id,n_models,source,title,doi,registration,estimation,model_notes,data,status,exclusion_reason,exclusion_reason_notes
p01731,NA,published,patient with early myoclonic encephalopathy (EME) with a <i>de</i> <i>novo</i> <i>KCNQ2</i> mutation,10.1016/j.braindev.2017.06.004,none,Other ,Case study,NA,excluded,Case study,Case study
u02519,NA,unpublished,Verbal insight revisited ‚Äì Dissociable neurocognitive processes underlying solutions accompanied by an AHA! experience with and without prior restructuring,http://psyarxiv.com/pm95e/,none,OLS (RM),Mixed ANOVA,https://zenodo.org/record/3782718#.YiIEti2l1mA,access requested,Data not accessible,data not accessible
p00023,NA,published,"The relationship among different types of arts engagement, empathy, and prosocial behavior",10.1037/aca0000269,none,OLS,Regression,NA,data not accessible,Data not accessible,data not accessible
p01129,NA,published,An examination of food neophobia in older adults,10.1016/j.foodqual.2018.10.010,none,OLS + ,ANOVA,NA,did not find the author,Data not accessible,did not find the author
p00053,NA,published,Better battles by a self-compassionate partner? The mediating role of personal conflict resolution styles in the association between self-compassion and satisfaction in romantic relationships,10.1027/1614-0001/a000333,none,?,"ANOVA, regression, mediation",https://osf.io/hc8gw/,email sent,Data not accessible,NA
p00184,NA,published,"Randomized controlled trial study of the effects of an online divorce platform on anxiety, depression, and somatization",10.1037/fam0000635,none,OLS + ,one-sample t-test + mixed effects,NA,email sent,Data not accessible,NA
p00447,NA,published,Can beauty be-er ignored? A preregistered implicit examination of the beer goggles effect,10.1037/adb0000555,preregistered,OLS (RM),Mixed ANOVA,https://osf.io/fkzpy/files (script only),email sent,Data not accessible,NA
u00622,NA,unpublished,The State Of Animal Advocacy In the U.S. and Canada: Experiences & Turnover,http://psyarxiv.com/3ravn/,preregistered,OLS + ,Frequencies + t-tests,NA,email sent,Data not accessible,NA
p00675,NA,published,What's in an adjective? An exploratory study of meaning systems,10.1027/1614-0001/a000316,none,OLS,t-test,https://osf.io/dctxj/ ,email sent,Data not accessible,NA
p00679,NA,published,The attitudes of Italian consumers towards jellyfish as novel food,10.1016/j.foodqual.2019.103782,none,OLS + ,Regression + ANOVA,NA,email sent,Data not accessible,NA
p00791,NA,published,Emotional distraction in the context of memory-based orienting of attention,10.1037/emo0000506,none,OLS (RM),Repeated measures ANCOVA,https://osf.io/gz3vb/,email sent,Data not accessible,NA
p00812,NA,published,Optimized configuration of functional brain network for processing semantic audiovisual stimuli underlying the modulation of attention: A graph-based study,10.3389/fnint.2019.00067,none,OLS (RM),Repeated measures ANOVA + t-test,https://www.frontiersin.org/articles/10.3389/fnint.2019.00067/full,email sent,Data not accessible,NA
p00815,NA,published,Does the psychological profile influence the position of promising young futsal players?,10.1371/journal.pone.0224326,none,OLS,ANOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224326#sec012,email sent,Data not accessible,NA
u01017,NA,unpublished,Examining the Effect of Depressive Symptoms on Habit Formation and Habit-Breaking,http://psyarxiv.com/mkbdy/,preregistered,OLS,Regression,https://osf.io/5a64q/,email sent,Data not accessible,NA
r01082,NA,published,Parent and Friend Relationship Quality and Trajectories of Loneliness during the First Year of College,http://psyarxiv.com/kesj5/,none,OLS + ,Regression + growth curve modelling,https://osf.io/4x6ef/,email sent,Data not accessible,NA
r01139,NA,published,Neurophysiological indicators of internal attention: an fMRI-eye-tracking co-registration study [preprint],http://psyarxiv.com/fbdr9/,none,OLS (RM),Mixed ANOVA,https://osf.io/74vnq/,email sent,Data not accessible,NA
p01301,NA,published,Feasibility of using auditory event-related potentials to investigate learning and memory in nonverbal individuals with Angelman syndrome,10.1016/j.bandc.2018.11.001,none,OLS (RM),Repeated measures ANOVA,NA,email sent,Data not accessible,NA
p01498,NA,published,"Spatialization in working memory is related to literacy and reading direction: Culture ""literarily"" directs our thoughts",10.1016/j.cognition.2018.02.013,none,OLS (RM),Mixed ANOVA,https://www.sciencedirect.com/science/article/pii/S001002771830043X?via%3Dihub#ec-research-data,email sent,Data not accessible,NA
r01507,NA,published,Mindware instantiation as a predictor of logical intuitions in the Cognitive Reflection Test,http://psyarxiv.com/rxt4z/,none,OLS,Regression,https://osf.io/3gzxb/?view_only=c952e30240b645cfb67f927561e5e3d8,email sent,Data not accessible,NA
p01514,NA,published,Increasing physical activity in mothers using video exercise groups and exercise mobile apps: Randomized controlled trial,10.2196/jmir.9310,Registered Clinical Trial,OLS,Regression,NA,email sent,Data not accessible,NA
p01529,NA,published,From belief to deceit: How expectancies about others' ethics shape deception in negotiations,10.1016/j.jesp.2018.02.013,none,OLS + ,"Regression, t-test, logistic regression",NA,email sent,Data not accessible,NA
p01583,NA,published,Empathizing-systemizing cognitive styles: Effects of sex and academic degree,10.1371/journal.pone.0194515,none,OLS,ANOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194515#sec010,email sent,Data not accessible,NA
p01591,NA,published,A randomised controlled trial of a complex intervention to reduce children's exposure to secondhand smoke in the home,10.1136/tobaccocontrol-2016-053279,Registered Clinical Trial,OLS + ,"Linear regression with imputation, logistic regression, mized effects as a sensitivity analysis",NA,email sent,Data not accessible,NA
r01595,NA,published,When can attention facilitate forgetting?,10.1126/sciadv.abj4985,none,OLS (RM),Repeated measures ANOVA,https://osf.io/xab25/,email sent,Data not accessible,NA
p02120,NA,published,Suicide attempts and markers of immune response in individuals with serious mental illness,10.1016/j.jpsychires.2016.11.011,none,OLS + ,ANOVA + logistic regression + regresssion,NA,email sent,Data not accessible,NA
p02182,NA,published,Somebody to lean on: Social relationships predict post-treatment depression severity in adults,10.1016/j.psychres.2016.12.060,Registered Clinical Trial,OLS + ,Regression + logistic regression,NA,email sent,Data not accessible,NA
u02217,NA,unpublished,"Psychological Research on the COVID-19 Crisis in Japan: Focusing on Infection Preventive Behaviors, Future Prospects, and Information Dissemination Behaviors",https://psyarxiv.com/97zye,none,OLS,Regression,https://osf.io/mw6qc/,email sent,Data not accessible,NA
p02358,NA,published,Food security status is related to mental health quality of life among persons living with HIV,10.1007/s10461-016-1573-9,none,OLS,Regression,NA,email sent,Data not accessible,NA
p02374,NA,published,Helping and hurting others: Person and situation effects on aggressive and prosocial behavior as assessed by the tangram task,10.1002/ab.21669,none,OLS + ,ANOVA + ANCOVA + mixed ANOVA,NA,email sent,Data not accessible,NA
p02408,NA,published,The function of executive function: Everyday manifestations of regulated thinking in preschool settings,10.1007/s10643-016-0777-y,none,OLS + ,t-tests + correlations,NA,email sent,Data not accessible,NA
p02598,NA,published,Quality of life in persons after traumatic brain injury as self-perceived and as perceived by the caregivers,10.1007/s10072-016-2755-y,none,OLS + ,t-tests + chi-square + correlations,NA,email sent,Data not accessible,NA
p02670,NA,published,Knockout of lysosomal enzyme-targeting gene causes abnormalities in mouse pup isolation calls,10.3389/fnbeh.2016.00237,none,OLS + ,t-tests,NA,email sent,Data not accessible,NA
p02758,NA,published,Maternal feeding practices and fussy eating in toddlerhood: A discordant twin analysis,10.1186/s12966-016-0408-4,none,OLS + ,Regressions + paited t-test,NA,email sent,Data not accessible,NA
u03099,NA,unpublished,Ethnic Differences in Perceptions of Mental Illness: Examining Intergroup Relations,http://psyarxiv.com/wcfg9/,preregistered,OLS (RM),Mixed ANOVA,NA,email sent,Data not accessible,NA
p03585,NA,published,Bringing free will down to Earth: People's psychological concept of free will and its role in moral judgment,10.1016/j.concog.2014.04.011,none,OLS + ,Regression + mediation,NA,email sent,Data not accessible,NA
p03613,NA,published,Associations between urine excretion of isoflavonoids and cognition in postmenopausal women in the Women's Isoflavone Soy Health clinical trial,10.1111/jgs.12752,none,OLS,Regression,NA,email sent,Data not accessible,NA
p03664,NA,published,"Selectively bred crossed highâ€alcoholâ€preferring mice drink to intoxication and develop functional tolerance, but not locomotor sensitization during freeâ€choice ethanol access",10.1111/acer.12216,none,OLS + ,ANOVA + mixed ANOVA,NA,email sent,Data not accessible,NA
p04063,NA,published,Sex-dependent behavioral effects of Mthfr deficiency and neonatal GABA potentiation in mice,10.1016/j.bbr.2010.08.031,none,OLS + ,ANOVA + RM ANOVA,NA,email sent,Data not accessible,NA
p04104,NA,published,Inhibitory effect of berberine on the motivational effects of ethanol in mice,10.1016/j.pnpbp.2010.08.005,none,OLS,ANOVA,NA,email sent,Data not accessible,NA
u05936,NA,unpublished,Motivated moral judgments about freedom of speech are constrained by a need to appear consistent,http://psyarxiv.com/ytzvq/ ,none,OLS + ,Regression + repeated measures models,https://github.com/aioKaio/free-speech-study-data ,email sent,Data not accessible,NA
su00003,NA,sent unpublished,NA,NA,NA,NA,NA,osf.io/bsh8c/,excluded,Models not reproducible,no description provided
p00021,5,published,Age differences in negotiations: Older adults achieve poorer joint outcomes in integrative negotiations,10.1037/xge0000762,none,OLS,"ANOVA, Welch t, mediation;",https://osf.io/hr9pb/,completed,Included,NA
p00097,1,published,He does not look like video games made him do it: Racial stereotypes and school shootings,10.1037/ppm0000255,none,OLS + ,One way anova + logistic regression,https://osf.io/x72y4/files,completed,Included,NA
p00215,10,published,Asymmetrical interference between item and order information in short-term memory,10.1037/xlm0000956,none,OLS (RM),Repeated measures ANOVAS + BF,https://osf.io/t8k74/files,completed,Included,NA
p00217,9,published,Working memory consolidation improves long-term memory recognition,10.1037/xlm0000954,none,OLS (RM),Repeated measures ANOVA + t-test + BF,https://osf.io/4xe9t/files,completed,Included,NA
p00294,4,published,Crime and punishment: Morality judgment in a foreign language,10.1037/xge0000736,none,OLS,Factorial ANCOVAs,https://osf.io/4ysq2/,completed,Included,NA
p00319,3,published,Psychological affordances help explain where a self-transcendent purpose intervention improves performance,10.1037/pspa0000246,none,OLS,OLS supplemented by mixed effects as a robustness check,https://osf.io/3ktsb/files,completed,Included,NA
