"State","GovEffect","Volunteer","Trust","IQ","","Agreeable GINI","","LnPop","FracExtract"
"Alabama","1.3","27.3","20.85","","95.7","52.7","0.4728","6.647633","0.033419"
"Arizona","4.3","32.8","12.82","","97.4","46.6","0.4487","6.765657","0.029061"
"Arkansas","3","25.3","15.02","","97.5","52.7","0.4485","6.431594","0.035376"
"California","2.7","33.7","9.82","","95.5","49","0.4697","7.547513","0.018273"
"Colorado","4","40.1","17.94","","101.6","47.5","0.4449","6.659179","0.045831"
"Connecticu","3","31.7","18.12","","103.1","38.6","0.4807","6.530808","0.00238"
"Delaware","6.7","30","12.9","","100.4","38.8","0.5448","5.913065","0.007106"
"Florida","4.7","31.9","10.98","","98.4","50.7","0.4675","7.240113","0.010109"
"Georgia","5","33.5","9.07","","98","60","0.46","6.945525","0.013419"
"Idaho","4.3","54.7","22.26","","101.4","52.9","0.4225","6.144772","0.058943"
"Illinois","5","37.4","15.1","","99.9","48.3","0.4608","7.094833","0.007129"
"Indiana","4.3","32.6","17.62","","101.7","50.2","0.4289","6.784858","0.012778"
"Iowa","6.3","40.9","25.06","","103.2","56.6","0.4187","6.456752","0.037881"
"Kansas","5.7","40.3","17.29","","102.8","48.9","0.4392","6.425309","0.039454"
"Kentucky","6.7","26.3","13.45","","99.4","48.1","0.4555","6.60838","0.048821"
"Louisiana","5.3","30.5","18.99","","95.7","49.7","0.4774","6.642439","0.073846"
"Maine","4.3","43.1","23.75","","103.4","32.8","0.4367","6.108454","0.014035"
"Maryland","6.3","40.7","10.88","","99.7","37.3","0.4402","6.737297","0.00414"
"Massachus","4.3","27.8","18.52","","104.3","40.7","0.4643","6.791189","0.002484"
"Michigan","7.3","30.5","16.04","","100.5","54.7","0.4472","6.994123","0.007895"
"Minnesota","6.3","42.2","25.11","","103.7","61.6","0.4295","6.698087","0.020738"
"Mississippi","4","35.2","18.02","","94.2","63.3","0.4686","6.450889","0.034127"
"Missouri","7","34.6","22.95","","101","59.3","0.4457","6.750656","0.01616"
"Montana","4.3","41.5","24.49","","103.4","52.3","0.4382","5.959352","0.089594"
"Nebraska","5.7","40.9","23.97","","102.3","62.9","0.4268","6.232227","0.048439"
"Nevada","4","36.7","10.95","","96.5","31.8","0.4368","6.376811","0.02845"
"New Hamp","3.3","31.2","25.04","","104.2","53.5","0.41","6.104653","0.005408"
"New Jersey","5","25.9","13.9","","102.8","44.6","0.4616","6.930512","0.00225"
"New Mexic","3.3","40.8","11.62","","95.7","45.4","0.4628","6.275818","0.096431"
"New York","3.7","26.1","10.03","","100.7","29.8","0.496","7.270802","0.002724"
"North Caro","5.3","28.7","18.14","","100.2","63.6","0.4583","6.92485","0.013553"
"North Dako","5","30.7","20.5","","103.8","52.4","0.4311","5.785077","0.079573"
"Ohio","6","29","16.17","","101.8","45.9","0.4398","7.047493","0.009477"
"Oklahoma","3.3","33.1","16.23","","99.3","54.3","0.4563","6.535737","0.112609"
"Oregon","4.3","39.8","18.3","","101.2","59.9","0.4512","6.551463","0.02416"
"Pennsylvan","6.3","35.1","21.31","","101.5","42.8","0.4533","7.078426","0.014208"
"Rhode Islan","3","29.1","21.96","","99.5","35.2","0.4514","6.013958","0.002644"
"South Caro","6.3","30.7","10.7","","98.4","55.4","0.4571","6.61426","0.009997"
"South Dako","4.7","36.6","30.2","","102.8","56.7","0.4428","5.872758","0.061313"
"Tennessee","4.7","28.8","14.7","","97.7","66.6","0.4644","6.76422","0.010125"
"Texas","6","33.2","13.95","","100","52.6","0.4723","7.347723","0.085583"
"Utah","8","84.7","16.46","","101.1","69.4","0.4101","6.385132","0.031299"
"Vermont","5.3","40.5","25.46","","103.8","60","0.4371","5.779806","0.099232"
"Virginia","7.7","38.5","16.21","","101.9","47.4","0.4515","6.865258","0.010477"
"Washington","7.7","40.3","17.19","","101.9","55.8","0.4461","6.788616","0.01799"
"West Virgin","3.7","32","19.01","","98.7","51.8","0.4533","6.248402","0.119032"
"Wisconsin","5.3","36.5","27.4","102.9","57.8","0.4212","6.730439","0.015697"
"Wyoming","3","35.2","15.47","102.4","40.7","0.4061","5.694803","0.31112"
