Participant ID#,Specific Mugshot shown (of six),IV condition (Black or White Mug),Participant Gender,Participant Age,Participant Major,Participant's Year in School,Hours spent browsing WWW,Hours a day reading newspaper,Hours a day watching TV,Hours a day playing video games,"Political views (1-7, Very Conservative-Very Liberal)",11a. Makes me concerned where our society is going,11b. Social environment Wilson lived in a factor in this crime,11c. Schools need to tighten up security to prevent this kind of tragedy,11d. Fact that Wilson played a lot of violent video games factor in crime,11e. Different gun laws would serve to make this kind of tragedy less likely,11f. No outside cause. Wilson was just a bad person,11g. Violent video games should be further regulated,11h. Wilson might not have committed this crime if he were not involved with violent video games.,11i. No one but Wilson was at fault for the crime,BlameGamesDV(MeanOf11dAnd11h)
95,6,Black Mugshot,F,20,Comm,Junior,2,0,2,0,6,6,7,6,2,7,2,5,3,2,2.5
106,4,Black Mugshot,M,19,Business,Freshman,5,0.5,1,0,6,2,7,3,5,6,1,5,5,1,5
105,5,Black Mugshot,F,19,Comm,Sophomore,3,0,1.5,0,4,7,5,5,5,4,4,5,5,5,5
104,3,White Mugshot,M,19,Business,Freshman,2,0.2,4,0,4,6,5,6,5,4,2,5,4,7,4.5
102,3,White Mugshot,M,19,Business,Freshman,3,2,2,2,3,4,3,3,3,4,4,4,4,3,3.5
90,3,White Mugshot,F,18,Business,Freshman,0.5,0,0,0,4,6,2,5,1,6,1,3,1,1,1
89,5,Black Mugshot,F,18,Business,Freshman,1,0.25,4,0,3,5,4,6,6,7,3,6,5,5,5.5
96,1,White Mugshot,F,20,Business,Junior,5,0.5,3,0,3,6,4,5,4,5,4,5,5,3,4.5
101,5,Black Mugshot,M,19,Art,Freshman,3,0,1,0,1,5,6,5,4,2,6,2,1,6,2.5
91,2,White Mugshot,F,21,Comm,Senior,3,0,2,0,3,2,2,4,4,1,4,5,6,3,5
103,2,White Mugshot,F,21,Engineering,Senior,2,1,3,0.5,4,5,4,4,3,5,3,5,4,3,3.5
93,5,Black Mugshot,M,18,Business,Freshman,4,1.5,1,1,4,7,6,5,6,6,3,5,5,2,5.5
99,6,Black Mugshot,M,19,Comm,Sophomore,4,1,1,1,6,5,5,3,5,7,4,2,4,2,4.5
97,1,White Mugshot,F,20,Comm,Sophomore,2,0,1,0,5,6,3,3,3,5,2,4,4,6,3.5
92,3,White Mugshot,F,18,Biology,Freshman,1,0,2,0,4,6,5,7,5,6,4,5,4,7,4.5
94,4,Black Mugshot,M,19,Business,,2,1,2,0.5,5,3,5,5,3,3,3,2,2,2,2.5
100,4,Black Mugshot,F,18,International Studies,Freshman,12,1,4,0,5,5,5,6,6,6,3,6,5,2,5.5
98,2,White Mugshot,F,19,Comm,Sophomore,4,1,3,0,7,7,4,5,5,6,2,5,5,7,5
109,1,White Mugshot,M,18,Business,Freshman,4,0.5,6,4,5,3,5,2,1,6,2,1,1,3,1
120,1,White Mugshot,F,18,Business,Freshman,8,1,2,0,4,7,6,4,5,6,3,6,4,3,4.5
116,3,White Mugshot,F,20,Comm,Sophomore,2,0,0.5,0,3,5,3,5,1,2,4,1,1,7,1
115,2,White Mugshot,F,19,Business,Freshman,5,0,3,0,4,6,2,4,6,7,1,6,5,6,5.5
119,6,Black Mugshot,F,19,Biology,,1,0,3,0,5,5,4,5,4,6,1,4,4,2,4
