Crime Language,CrimP PPrspPctivP,Gender,Age,Age of Acquisition English,English written comprehension,English written production,English oral comprehension,English oral production,English overall proficiency,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Comprehension Scenario 1,Comprehension Scenario 2,Comprehension Scenario 3,Comprehension Scenario 4
E,P,m,18,13,6,6,6,6,6,8,5.3,8.4,8.9,100,95,90,80
E,P,m,18,14,,,,,,6.4,7.1,4.7,2.9,,,,
E,P,f,18,12,6,6,6,6,6,6.2,4.8,7.9,8.5,80,90,70,80
E,P,f,18,12,6,5,6,5,5.5,7.6,7.6,7.5,7.6,100,100,100,100
E,P,m,19,12,4,4,5,5,4.5,1.2,6.1,4.3,5.9,50,70,60,70
E,P,f,18,10,6,5,6,5,5.5,6,5,7,1,100,100,90,90
E,P,f,18,13,5,6,5,6,5.5,5,5,9,7,90,90,90,90
E,P,f,17,13,4,5,5,5,4.75,7.8,7.3,7.4,7.9,70,65,75,70
E,P,f,18,13,6,5,6,6,5.75,6.9,6,6.7,7.3,100,100,100,90
E,P,f,18,13,5,5,6,6,5.5,8.8,8.9,9,8.9,99,99,99,99
E,P,f,18,13,7,6,6,6,6.25,6.7,8.3,7.7,7.8,100,100,100,100
E,P,f,18,12,6,4,6,4,5,7.2,6.8,6.8,7.5,80,85,90,95
E,P,f,18,12,6,4.5,5,5,5.125,7.4,5.7,7.6,7.5,100,60,80,80
E,P,f,20,14,5,5,6,6,5.5,6.8,6.9,8.2,7.6,80,70,80,90
E,P,f,18,12,5,5,6,5,5.25,1.9,2,4.7,5.6,90,70,60,80
E,P,f,18,14,2,2,1,1,1.5,6.4,7,6.3,5.3,50,50,50,50
E,P,f,18,12,6,5,6,6,5.75,6.1,4.2,6.4,7,95,95,95,95
E,P,f,18,12,6,5,6,4,5.25,4.7,4.8,6.4,6,80,70,60,50
E,P,f,18,13,2,2,3,3,2.5,4.9,4.2,3.8,2.8,65,60,50,60
E,P,f,18,14,4,4,4,3,3.75,5.2,2.7,3.4,0.8,90,70,80,70
E,P,f,18,14,5,4,5,4,4.5,7.6,6.6,8.5,8.9,95,95,95,95
E,P,f,19,12,7,5.5,7,6.5,6.5,8.8,8.8,8.7,8.7,100,100,100,100
E,P,m,18,12,6,6,5,4,5.25,7.7,5.5,8.9,5.3,80,98.7,82,64
E,P,m,18,13,5,5,6,4,5,7.3,5.9,8.5,5.5,85,95,85,70
