notegrade,purposenote_planned,nonnative_english,online,trust_pretreatment_miss,purpose_pretreatment_miss,engteacherpurpose_pretreatment_miss,belongunc_pretreatment,engteacherpurpose_pretreatment_dumm,teacher,female,seventh
3,1,0,0,1.75,3,4,2,0,four,0,0
2,0,1,1,1.5,4.5,4.666666667,2.5,0,three,0,0
1,0,1,1,1.5,5,6,3.5,0,two,1,0
,1,,,0,0,0,N,1,,0,0
,0,,,0,0,0,N,1,,0,0
2,0,1,0,2,4,4,5,0,three,0,0
3,0,0,0,2,2,5,3.5,0,four,1,0
3,1,0,0,2.25,4.5,6,1,0,four,0,0
2,1,1,1,1.5,4.5,5.333333333,1,0,three,0,0
0,0,,1,2.75,4.5,4.666666667,4,0,two,0,0
0,1,1,0,3,2.5,5.333333333,1.5,0,two,1,0
,0,,,0,0,0,N,1,,0,0
2,0,1,1,1.75,5,6,1,0,two,1,0
1,0,0,0,3.5,2,3.333333333,3,0,four,0,0
2,1,1,1,2,4.5,6,2,0,two,0,0
2,1,,,0,0,0,N,1,three,0,0
1,0,0,1,1.75,3,4,2,0,two,0,0
2,0,1,1,2.25,5,5,3,0,three,1,0
,,1,1,5,1,5.666666667,4,0,,0,0
2,0,1,0,2.25,5,5,3,0,three,0,0
1,1,0,1,3,2.5,5,4.5,0,four,0,0
2,0,0,1,1.25,4,5.333333333,3,0,three,1,0
2,0,0,0,3.5,4.5,5.333333333,3,0,two,1,0
3,1,1,0,2.5,3,4.666666667,3,0,two,0,0
3,0,1,0,2.5,5,6,5,0,four,1,0
2,0,1,1,2.75,4,4,2,0,four,0,0
2,1,1,1,2,3.5,4,3,0,three,1,0
3,0,1,0,1.75,3,4.666666667,1,0,two,1,0
1,0,0,0,2.5,4,5,1,0,four,1,0
2,0,1,0,1.5,2,5.333333333,3.5,0,three,0,0
2,0,,1,1.5,3.5,5,3.5,0,four,0,0
3,1,0,1,5,3,4,2,0,four,0,0
2,1,0,0,3.75,0,4,2,0,four,0,0
2,0,1,1,2.5,4,5.666666667,1.5,0,two,1,0
2,0,1,1,3.5,3.5,5,3,0,two,1,0
2,1,1,1,3.25,5,5.333333333,3,0,five,0,1
1,1,1,0,3,3.5,4.666666667,3,0,one,1,1
1,1,1,0,1.5,3.5,3.666666667,1,0,two,0,0
1,0,,0,1.75,2.5,5.666666667,3,0,five,0,1
3,0,0,0,1,4.5,6,1,0,two,0,0
3,1,1,1,3,3,5.333333333,1,0,five,0,1
