Kind,Structure,Is,Is_not,Check1,Check2,Info,Gender,Age,,,,,,,
1,1,5,3,,I have read the instructions,,1,33,,,,,,,
1,1,1,7,,I have read the instructions,,1,28,,,,,,,
1,1,1,7,,I have read the instructions,,1,25,,,,,,,
1,1,4,7,,I have read the instructions,,2,26,,,,,,,
1,1,1,7,,I have read the instructions,,2,67,,,,,,,
1,1,6,4,,I have read the instructions,,2,30,,,,,,,
1,1,3,3,,I have read the instructions ,,2,50,,,,,,,
1,1,2,7,,I have read the instructions,,1,22,,,,,,,
1,1,5,6,,I have read the instructions,,1,29,,,,,,,
1,1,4,5,,I have read the instructions,,1,28,,,,,,,
1,1,3,5,,I have read the instructions,,1,63,,,,,,,
1,1,1,7,,I have read the instructions,,2,24,,,,,,,
1,1,2,7,,I have read the instructions,,1,47,,,,,,,
1,1,6,3,,I have read the instructions,,1,54,,,,,,,
1,1,4,6,,I have read the instructions,,1,22,,,,,,,
1,1,7,5,,I have read the instructions,,2,31,,,,,,,
1,1,6,4,,I have read the instructions,,2,39,,,,,,,
1,1,7,2,,i have read the instructions,,1,32,,,,,,,
1,1,6,2,,I have read the instructions,,2,42,,,,,,,
1,1,1,6,,I have read the instructions,,2,27,,,,,,,
1,1,5,4,,I have read the instructions,,1,30,,,,,,,
1,1,4,6,3,,,1,25,,,,,,,
1,1,3,4,,I have read the instructions,,2,20,,,,,,,
1,1,6,2,,I have read the instructions,,1,36,,,,,,,
1,1,1,7,,I have read the instructions,,2,61,,,,,,,
1,1,5,5,,I have read the instructions,,1,33,,,,,,,
1,1,3,4,,I have read the instructions,,1,42,,,,,,,
1,1,2,6,,I have read the instructions,,1,24,,,,,,,
1,1,3,6,,I have read the instructions,,1,50,,,,,,,
1,1,1,7,1,I have read the instructions,,2,29,,,,,,,
3,1,3,6,,I have read the instructions,,2,26,,,,,,,
3,1,1,7,,I have read the instructions,,1,30,,,,,,,
3,1,1,7,,I have read the instructions,,1,25,,,,,,,
3,1,2,5,,I have read the instructions,,1,30,,,,,,,
3,1,1,6,,I have read the instructions,,1,34,,,,,,,
3,1,6,1,,I have read the instructions,,1,25,,,,,,,
3,1,1,7,,I read the instructions,,3,,,,,,,,
3,1,2,6,,i have read the instructions,,2,26,,,,,,,
3,1,1,7,,I have read the instructions,,2,37,,,,,,,
3,1,3,5,,I have read the instructions,,1,26,,,,,,,
3,1,4,6,,I have read the instructions,,1,31,,,,,,,
3,1,1,7,,I have read the instructions,,2,29,,,,,,,
3,1,3,6,,I have read the instructions,,1,30,,,,,,,
3,1,1,7,,I have read the instructions,,1,25,,,,,,,
3,1,7,7,,I have read the instructions,,1,38,,,,,,,
3,1,1,7,,I have read the instructions,,3,26,,,,,,,
3,1,3,5,,I have read the instructions,,1,35,,,,,,,
3,1,3,5,,I have read the instructions,,1,28,,,,,,,
3,1,1,7,,I have read the instructions,,1,28,,,,,,,
3,1,4,6,,I have read the instructions,,2,29,,,,,,,
3,1,1,6,,I have read the instructions,,2,44,,,,,,,
3,1,2,6,2,,,1,21,,,,,,,
3,1,2,4,,I have read the instructions,,2,19,,,,,,,
3,1,2,6,,I have read the instructions,,1,27,,,,,,,
3,1,3,7,,I have read the instructions,,1,33,,,,,,,
3,1,2,7,,I have read the instructions,,2,30,,,,,,,
3,1,7,2,,I have read the instructions,,1,34,,,,,,,
3,1,6,7,,I have read the instructions,,2,68,,,,,,,
3,1,1,1,,I have read the instructions,,2,27,,,,,,,
3,1,1,7,,I have read the instructions,,2,61,,,,,,,
3,1,1,7,,I have read the instructions,,1,33,,,,,,,
3,1,4,5,,I have read the instructions,,1,20,,,,,,,
2,1,3,6,,i have read the instructions,,2,52,,,,,,,
2,1,1,4,3,,,2,27,,,,,,,
2,1,2,6,,I have read the instructions,,1,35,,,,,,,
2,1,6,2,,I have read the instructions,,1,28,,,,,,,
2,1,1,7,,I have read the instructions,,2,29,,,,,,,
2,1,3,3,,I have read the instructions,,1,41,,,,,,,
2,1,1,7,,I have read the instructions,,1,32,,,,,,,
2,1,4,5,,I have read the instructions,,1,29,,,,,,,
2,1,1,7,,I have read the instructions,,1,36,,,,,,,
2,1,4,5,,I have read the instructions,,1,24,,,,,,,
2,1,3,5,,I have read the instructions,,1,29,,,,,,,
2,1,3,5,1,,,2,25,,,,,,,
2,1,4,7,,I have read the instructions,,2,69,,,,,,,
2,1,5,5,,I have read the instructions,,2,48,,,,,,,
2,1,1,6,,I have read the instructions,,1,20,,,,,,,
2,1,1,7,,I have read the instructions,,2,27,,,,,,,
2,1,4,5,,I have read the instructions,,2,35,,,,,,,
2,1,5,3,,I have read the instructions,,1,35,,,,,,,
2,1,1,7,,I have read the instructions,,2,34,,,,,,,
2,1,2,5,,I have read the instructions,,3,27,,,,,,,
2,1,1,7,,I have read the instructions,,2,44,,,,,,,
2,1,3,5,2,,,1,19,,,,,,,
2,1,2,6,,I have read the instructions,,2,38,,,,,,,
2,1,5,4,,I have read the instructions,,1,30,,,,,,,
2,1,4,6,,I have read the instructions,,2,36,,,,,,,
2,1,1,7,,I have read the instructions,,2,29,,,,,,,
2,1,1,7,,I have read the instructions,,1,26,,,,,,,
2,1,2,5,,I have read the instructions,,1,29,,,,,,,
1,2,2,6,,I have read the instructions,,1,35,,,,,,,
1,2,6,2,,I have read the instructions,,1,32,,,,,,,
1,2,6,4,,I have read the instructions,,2,25,,,,,,,
1,2,2,6,,I have read the instructions,,2,23,,,,,,,
1,2,5,5,,I have read the instructions,,1,41,,,,,,,
1,2,7,2,,I have read the instructions,,1,30,,,,,,,
1,2,4,5,,I have read the instructions,,2,24,,,,,,,
1,2,2,5,,I have read the instructions,,1,26,,,,,,,
1,2,6,6,,I have read the instructions,,1,60,,,,,,,
1,2,7,1,,I have read the instructions,,1,35,,,,,,,
1,2,7,5,,I have read the instructions,,1,29,,,,,,,
1,2,5,5,,I have read the instructions,,2,34,,,,,,,
1,2,6,7,,I have read the instructions,,1,52,,,,,,,
1,2,6,6,,I have read the instructions,,1,42,,,,,,,
1,2,7,1,1,,,1,23,,,,,,,
1,2,5,4,,I have read the instructions,,1,24,,,,,,,
1,2,3,5,,I have read the instructions,,1,30,,,,,,,
1,2,5,5,,I have read the instructions,,1,40,,,,,,,
1,2,6,2,,I have read the instructions,,1,23,,,,,,,
1,2,4,7,3,,,1,36,,,,,,,
1,2,6,4,,I have read the instructions,,1,45,,,,,,,
1,2,6,5,,I have read the instructions,,2,22,,,,,,,
1,2,2,6,,i have read the instructions ,,1,25,,,,,,,
1,2,5,3,,I have read the instructions,,2,27,,,,,,,
1,2,5,4,,I have read the instructions,,1,24,,,,,,,
1,2,2,5,,I have read the instructions,,2,32,,,,,,,
1,2,7,1,,I have read the instructions,,1,50,,,,,,,
1,2,1,7,,I have read the instructions,,1,45,,,,,,,
1,2,4,7,,I have read the instructions,,1,59,,,,,,,
1,2,5,5,,I have read the instructions,,1,35,,,,,,,
3,2,4,5,,I have read the instructions,,1,29,,,,,,,
3,2,5,6,,I have read the instructions,,1,32,,,,,,,
3,2,7,7,,I have read the instructions,,1,21,,,,,,,
3,2,6,7,,I have read the instructions,,2,42,,,,,,,
3,2,5,6,,I have read the instructions,,2,54,,,,,,,
3,2,4,6,,I have read the instructions,,2,30,,,,,,,
3,2,4,7,,I have read the instructions,,1,23,,,,,,,
3,2,7,2,,I have read the instructions,,2,64,,,,,,,
3,2,5,5,,I have read the instructions,,1,27,,,,,,,
3,2,5,3,3,,,2,26,,,,,,,
3,2,5,4,,I have read the instructions,,1,34,,,,,,,
3,2,5,3,,I have read the instructions,,2,32,,,,,,,
3,2,7,1,,I have read the instructions,,1,39,,,,,,,
3,2,5,4,,I have read the instructions,,2,25,,,,,,,
3,2,4,5,,I have read the instructions,,2,25,,,,,,,
3,2,1,7,,I have read the instructions,,1,63,,,,,,,
3,2,4,4,,i have read the instructions,,1,19,,,,,,,
3,2,4,6,,I have read the instructions,,1,23,,,,,,,
3,2,5,2,,I have read the instructions,,1,34,,,,,,,
3,2,4,5,,I have read the instructions,,2,53,,,,,,,
3,2,5,4,,I have read the instructions,,2,31,,,,,,,
3,2,7,1,,I have read the instructions,,1,28,,,,,,,
3,2,1,7,,I have read the instructions,,1,22,,,,,,,
3,2,3,5,,I have read the instructions,,2,41,,,,,,,
3,2,7,3,,I have read the instructions,,1,43,,,,,,,
3,2,5,4,,I have read the instructions,,1,43,,,,,,,
3,2,5,6,,I have read the instructions,,1,45,,,,,,,
3,2,4,7,,I have read the instructions,,1,26,,,,,,,
3,2,3,5,,I have read the instructions,,1,20,,,,,,,
3,2,6,3,,I have read the instructions,,2,26,,,,,,,
3,2,4,4,,I have read the instructions,,2,30,,,,,,,
2,2,4,3,,I have read the instructions,,1,20,,,,,,,
2,2,4,1,,I have read the instructions,,1,33,,,,,,,
2,2,3,5,,I have read the instructions,,2,29,,,,,,,
2,2,4,5,,I have read the instructions,,1,28,,,,,,,
2,2,5,3,,I have read the instructions,,1,34,,,,,,,
2,2,6,2,,I have read the instructions,,1,33,,,,,,,
2,2,2,7,,I have read the instructions,,1,31,,,,,,,
