Kind,Context,Check,Rating,Gender,Age
gol,neu,2,1,1,22
gol,neu,2,1,1,22
gol,neu,2,1,2,61
gol,neu,2,1,2,36
gol,neu,2,1,2,22
gol,neu,2,1,1,30
gol,neu,2,1,2,30
gol,neu,2,2,2,24
gol,neu,2,2,2,25
gol,neu,2,2,2,48
gol,neu,2,2,1,31
gol,neu,2,2,1,42
gol,neu,2,2,1,25
gol,neu,2,3,2,33
gol,neu,3,3,1,38
gol,neu,2,3,2,43
gol,neu,2,3,2,49
gol,neu,2,3,1,30
gol,neu,2,3,2,27
gol,neu,2,3,2,31
gol,neu,2,3,2,52
gol,neu,2,3,2,40
gol,neu,2,4,1,29
gol,neu,2,4,2,58
gol,neu,2,4,2,29
gol,neu,2,4,2,34
gol,neu,2,4,2,49
gol,neu,2,4,2,23
gol,neu,2,4,1,21
gol,neu,2,4,2,61
gol,neu,2,4,1,22
gol,neu,2,4,1,28
gol,neu,2,5,1,47
gol,neu,2,5,1,26
gol,neu,2,5,1,24
gol,neu,1,5,1,23
gol,neu,2,5,1,33
gol,neu,2,5,1,30
gol,neu,2,6,2,45
gol,neu,2,6,1,27
gol,neu,1,6,1,48
gol,neu,2,6,1,25
gol,neu,2,6,2,37
gol,neu,2,6,1,20
gol,neu,2,6,1,29
gol,neu,2,7,2,30
gol,neu,3,7,2,24
gol,neu,2,7,1,28
gol,soc,2,1,1,28
gol,soc,1,1,1,26
gol,soc,2,1,1,26
gol,soc,2,1,1,25
gol,soc,2,1,1,55
gol,soc,2,1,1,42
gol,soc,2,1,1,68
gol,soc,2,1,1,38
gol,soc,2,2,2,29
gol,soc,2,2,1,30
gol,soc,2,2,1,26
gol,soc,2,2,1,34
gol,soc,2,2,2,46
gol,soc,2,2,2,23
gol,soc,2,3,2,49
gol,soc,2,3,2,22
gol,soc,2,3,1,23
gol,soc,2,3,1,25
gol,soc,2,3,2,25
gol,soc,2,3,2,49
gol,soc,2,4,2,25
gol,soc,1,4,1,23
gol,soc,2,4,2,25
gol,soc,2,4,2,58
gol,soc,2,4,1,42
gol,soc,2,4,2,31
gol,soc,2,4,1,27
gol,soc,3,4,1,23
gol,soc,2,4,1,25
gol,soc,2,5,1,36
gol,soc,2,5,2,28
gol,soc,2,5,1,49
gol,soc,2,5,1,21
gol,soc,2,5,2,25
gol,soc,2,5,2,30
gol,soc,3,5,1,23
gol,soc,2,5,2,29
gol,soc,2,5,1,32
gol,soc,2,5,1,20
gol,soc,2,5,1,43
gol,soc,2,6,1,45
gol,soc,2,6,2,64
gol,soc,2,6,2,35
gol,soc,2,6,1,26
gol,soc,2,6,1,32
gol,soc,2,6,1,54
gol,soc,2,7,2,27
gol,soc,2,7,2,22
gol,soc,2,7,1,43
gol,soc,2,7,2,36
gol,soc,2,7,2,51
gol,sci,2,1,1,32
gol,sci,2,1,1,26
gol,sci,2,1,2,43
gol,sci,2,1,1,54
gol,sci,2,1,1,28
gol,sci,2,1,1,19
gol,sci,2,1,1,26
gol,sci,2,1,1,52
gol,sci,2,1,2,45
gol,sci,2,1,1,24
gol,sci,2,1,2,57
gol,sci,2,1,1,20
gol,sci,2,1,1,51
gol,sci,2,2,1,32
gol,sci,3,2,1,21
gol,sci,2,2,2,52
gol,sci,2,2,1,29
gol,sci,2,2,2,54
gol,sci,2,2,1,29
gol,sci,1,2,1,20
gol,sci,2,2,1,36
gol,sci,2,2,1,61
gol,sci,2,3,1,40
gol,sci,2,3,1,31
gol,sci,2,3,2,40
gol,sci,3,3,2,25
gol,sci,2,3,1,28
gol,sci,2,3,2,27
gol,sci,2,3,1,22
gol,sci,2,4,1,28
gol,sci,2,4,1,40
gol,sci,2,4,2,41
gol,sci,2,4,1,23
gol,sci,2,4,2,41
gol,sci,2,4,2,36
gol,sci,3,4,1,29
gol,sci,2,5,2,28
gol,sci,2,5,1,41
gol,sci,2,5,1,30
gol,sci,2,5,1,19
gol,sci,2,5,1,29
gol,sci,2,5,2,41
gol,sci,1,5,1,22
gol,sci,2,5,1,32
gol,sci,2,5,1,26
gol,sci,2,5,2,22
gol,sci,2,5,1,34
gol,sci,2,5,1,18
gol,sci,2,6,1,22
gol,sci,2,6,1,23
gol,sci,2,6,1,25
gol,sci,2,7,2,36
tig,neu,2,1,2,28
tig,neu,2,1,2,33
tig,neu,2,1,1,36
tig,neu,2,1,1,31
tig,neu,2,1,2,24
tig,neu,2,1,2,48
tig,neu,2,1,1,23
tig,neu,2,1,2,34
tig,neu,2,2,2,19
tig,neu,2,2,1,38
tig,neu,2,2,2,36
tig,neu,2,2,1,31
tig,neu,2,2,1,30
tig,neu,2,2,1,28
tig,neu,2,2,2,23
tig,neu,2,2,2,28
tig,neu,2,2,2,27
tig,neu,2,3,1,26
tig,neu,2,3,1,23
tig,neu,2,3,2,53
tig,neu,2,3,1,28
tig,neu,2,3,2,24
tig,neu,2,3,1,25
tig,neu,2,4,2,54
tig,neu,2,4,2,33
tig,neu,2,4,2,24
tig,neu,2,4,1,26
tig,neu,2,4,2,28
tig,neu,2,4,2,33
tig,neu,3,4,1,25
tig,neu,2,4,1,36
tig,neu,2,4,1,31
tig,neu,2,4,1,35
tig,neu,2,5,1,25
tig,neu,2,5,2,50
tig,neu,2,5,1,25
tig,neu,2,5,1,23
tig,neu,2,5,1,29
tig,neu,2,5,1,32
tig,neu,2,5,1,26
tig,neu,2,5,1,28
tig,neu,2,6,1,28
tig,neu,2,6,1,24
tig,neu,2,6,2,34
tig,neu,2,7,2,68
tig,neu,2,7,2,25
tig,neu,2,7,1,28
tig,neu,2,7,2,30
tig,neu,2,7,2,34
tig,neu,2,7,2,34
