PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75,,
Balanced,2,1,0.98,0.99,0.97,1,0.97,0.99,,0.983333333333333
Balanced,5,1,0.97,0.93,0.96,0.95,0.97,0.91,,0.948333333333333
Balanced,8,1,0.83,0.8,0.81,0.83,0.84,0.87,,0.83
Balanced,11,1,0.97,0.93,0.93,0.94,0.94,0.95,,0.943333333333333
Balanced,14,1,0.97,0.97,0.94,0.95,0.97,0.98,,0.963333333333333
Balanced,17,1,0.99,0.98,0.97,0.99,0.97,0.99,,0.981666666666667
Balanced,20,1,0.9,0.88,0.93,0.93,0.95,0.93,,0.92
Balanced,23,1,0.93,0.89,0.84,0.96,0.97,0.97,,0.926666666666667
Balanced,26,1,0.96,0.9,0.98,0.92,0.95,0.96,,0.945
Balanced,29,1,0.99,0.99,0.97,0.98,1,0.97,,0.983333333333333
Balanced,35,1,1,0.98,0.99,0.98,0.99,0.97,,0.985
Balanced,38,1,0.99,0.97,0.96,0.95,0.97,0.98,,0.97
Balanced,41,1,0.97,0.91,0.93,0.98,0.93,0.93,,0.941666666666667
Balanced,44,1,0.97,0.96,0.97,0.99,0.98,0.99,,0.976666666666667
Balanced,47,1,1,1,0.96,0.98,0.99,1,,0.988333333333333
Balanced,50,1,0.97,0.98,1,0.98,0.99,0.98,,0.983333333333333
Balanced,53,1,0.97,0.97,0.97,0.97,0.97,0.98,,0.971666666666667
Balanced,59,1,0.99,0.99,0.97,0.98,1,0.97,,0.983333333333333
Balanced,62,1,0.98,0.97,0.97,0.97,0.98,0.97,,0.973333333333333
Balanced,65,1,0.98,0.96,0.92,0.99,1,1,,0.975
Balanced,68,1,0.98,0.98,0.97,0.97,0.97,0.96,,0.971666666666667
Balanced,74,1,0.95,0.94,0.93,0.96,0.97,1,,0.958333333333333
Balanced,77,1,1,0.98,0.98,0.99,0.97,1,,0.986666666666667
Balanced,80,1,0.93,0.93,0.92,0.91,0.94,0.97,,0.933333333333333
Balanced,83,1,0.97,0.97,0.97,0.97,0.99,0.98,,0.975
Balanced,86,1,0.95,0.96,0.94,0.98,0.97,0.97,,0.961666666666667
Balanced,89,1,0.96,0.92,0.95,0.97,0.98,0.96,,0.956666666666667
Balanced,92,1,0.98,1,0.99,0.98,0.99,0.99,,0.988333333333333
Balanced,95,1,0.98,0.92,0.96,0.97,0.97,0.93,,0.955
Balanced,98,1,0.89,0.93,0.86,0.78,0.82,0.83,,0.851666666666667
Balanced,101,1,0.98,0.99,1,0.99,0.98,0.99,,0.988333333333333
Balanced,104,1,0.99,1,1,0.98,0.97,0.99,,0.988333333333333
Balanced,110,1,0.97,0.97,0.91,0.87,0.88,0.94,,0.923333333333333
Balanced,116,1,0.97,0.98,0.97,0.96,0.99,0.98,,0.975
Balanced,119,1,0.92,0.96,0.97,0.96,0.95,0.97,,0.955
Balanced,122,1,0.96,0.93,0.94,0.95,0.97,0.97,,0.953333333333333
Balanced,125,1,0.99,0.97,0.97,0.99,0.97,0.97,,0.976666666666667
Balanced,128,1,0.99,0.97,0.98,0.97,0.97,0.98,,0.976666666666667
Balanced,131,1,0.95,0.96,0.96,0.98,0.96,0.93,,0.956666666666667
Balanced,134,1,0.99,0.98,0.99,0.99,0.97,0.99,,0.985
Balanced,137,1,0.99,1,0.99,0.98,0.97,0.99,,0.986666666666667
Balanced,140,1,0.95,0.95,0.96,0.97,0.97,0.97,,0.961666666666667
Balanced,143,1,0.95,0.97,0.94,0.93,0.93,0.88,,0.933333333333333
Balanced,146,1,0.97,0.97,0.99,0.97,0.98,0.99,,0.978333333333333
Balanced,149,1,1,0.93,1,0.97,0.99,0.97,,0.976666666666667
Balanced,152,1,0.97,0.95,0.97,0.99,0.99,0.99,,0.976666666666667
Balanced,155,1,0.97,1,0.95,0.96,0.95,0.94,,0.961666666666667
Balanced,158,1,0.96,0.96,0.97,0.97,0.96,0.97,,0.965
Balanced,161,1,1,1,0.97,0.98,0.98,0.98,,0.985
Balanced,164,1,0.99,0.99,0.97,0.97,0.99,0.98,,0.981666666666667
Balanced,167,1,0.98,0.95,0.97,0.95,0.97,0.93,,0.958333333333333
Balanced,170,1,1,0.99,0.99,0.97,0.98,1,,0.988333333333333
Balanced,174,1,0.99,0.98,0.97,0.98,0.98,0.97,,0.978333333333333
Balanced,177,1,0.94,0.95,0.94,0.98,0.97,0.98,,0.96
High,7,2,1,0.99,0.99,0.97,0.94,1,,0.981666666666667
High,10,2,1,1,0.99,0.97,0.97,0.83,,0.96
High,13,2,1,1,1,0.97,1,1,,0.995
High,16,2,0.99,1,0.98,0.94,0.97,0.89,,0.961666666666667
High,19,2,0.99,0.98,1,0.89,0.94,0.97,,0.961666666666667
High,22,2,1,1,0.99,1,1,0.92,,0.985
High,25,2,1,1,1,1,0.94,1,,0.99
High,28,2,1,1,0.99,1,1,1,,0.998333333333333
High,31,2,0.98,0.98,1,0.89,0.89,0.89,,0.938333333333333
High,34,2,1,1,1,1,0.97,1,,0.995
High,37,2,0.99,0.99,0.99,0.94,0.86,1,,0.961666666666667
High,40,2,0.89,0.93,0.95,0.94,0.92,0.89,,0.92
High,43,2,0.99,0.99,1,0.86,0.94,0.81,,0.931666666666667
High,46,2,0.99,1,0.99,1,0.92,0.94,,0.973333333333333
High,49,2,0.99,1,0.99,0.94,0.94,1,,0.976666666666667
High,52,2,0.99,0.98,0.99,1,0.89,0.89,,0.956666666666667
High,55,2,0.99,0.99,0.99,0.97,0.94,1,,0.98
High,64,2,1,1,1,0.92,0.97,1,,0.981666666666667
High,67,2,0.97,0.99,0.99,0.58,0.42,0.58,,0.755
High,70,2,1,0.99,1,1,1,0.94,,0.988333333333333
High,73,2,0.98,0.95,0.99,0.86,0.89,0.89,,0.926666666666667
High,76,2,0.99,1,0.96,0.97,0.97,0.94,,0.971666666666667
High,79,2,0.99,1,1,0.94,0.83,0.94,,0.95
High,82,2,0.99,0.99,0.99,0.81,0.83,0.75,,0.893333333333333
High,85,2,0.99,0.99,1,0.92,0.94,0.97,,0.968333333333333
High,88,2,0.99,0.97,0.96,0.67,0.78,0.61,,0.83
High,91,2,0.96,0.99,1,0.72,0.83,0.86,,0.893333333333333
High,94,2,0.99,0.99,0.99,0.94,0.94,0.94,,0.965
High,97,2,0.99,0.98,0.99,0.97,0.92,0.94,,0.965
High,103,2,1,1,1,1,1,1,,1
High,106,2,0.99,0.92,0.96,0.81,0.83,0.81,,0.886666666666667
High,109,2,0.97,1,1,0.67,0.81,0.81,,0.876666666666667
High,112,2,0.99,1,1,0.92,0.89,0.89,,0.948333333333333
High,115,2,0.99,0.99,0.99,0.97,0.83,0.92,,0.948333333333333
High,118,2,0.99,1,0.99,0.94,0.94,0.89,,0.958333333333333
High,121,2,0.98,0.97,0.98,0.89,0.94,0.94,,0.95
High,124,2,1,1,1,0.94,0.94,0.97,,0.975
High,127,2,0.99,1,1,0.97,1,0.94,,0.983333333333333
High,130,2,1,1,0.99,0.89,0.89,0.97,,0.956666666666667
High,133,2,1,1,1,1,1,1,,1
High,136,2,0.98,0.99,0.99,0.69,0.86,0.78,,0.881666666666667
High,139,2,0.99,0.98,0.97,0.97,0.86,0.92,,0.948333333333333
High,142,2,1,0.99,0.99,0.86,0.78,0.89,,0.918333333333333
High,145,2,1,1,1,0.97,0.97,1,,0.99
High,148,2,0.97,0.93,0.95,0.94,1,0.89,,0.946666666666667
High,151,2,1,1,0.99,0.92,1,0.94,,0.975
High,154,2,1,1,1,1,1,0.97,,0.995
High,160,2,0.99,0.98,0.99,0.97,0.92,0.92,,0.961666666666667
High,163,2,0.99,0.97,1,0.86,0.83,0.89,,0.923333333333333
High,166,2,1,0.99,0.97,0.94,0.94,0.94,,0.963333333333333
High,169,2,0.99,0.99,0.98,0.97,0.92,0.89,,0.956666666666667
High,172,2,0.99,0.99,1,1,1,0.94,,0.986666666666667
High,173,2,0.98,0.99,1,0.72,0.78,0.67,,0.856666666666667
High,176,2,0.99,1,1,0.89,0.97,1,,0.975
Low,3,3,0.97,1,0.89,0.98,1,0.99,,0.971666666666667
Low,6,3,0.92,0.92,1,1,1,1,,0.973333333333333
Low,9,3,1,0.97,0.92,0.97,0.99,0.98,,0.971666666666667
Low,12,3,0.92,0.94,0.86,1,0.98,0.99,,0.948333333333333
Low,15,3,0.97,1,0.97,1,1,1,,0.99
Low,18,3,0.94,0.89,0.94,0.97,0.99,0.99,,0.953333333333333
Low,21,3,0.92,0.89,0.83,1,0.98,0.94,,0.926666666666667
Low,24,3,0.83,0.94,0.86,0.99,0.98,0.98,,0.93
Low,27,3,1,0.92,1,1,1,0.99,,0.985
