PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75
Balanced,2,1,1,1,0.98,0.98,1,1
Balanced,5,1,0.96,0.98,1,0.96,0.98,0.98
Balanced,8,1,0.9,1,0.98,0.94,0.98,1
Balanced,11,1,0.94,1,0.92,0.92,0.94,0.96
Balanced,14,1,0.98,0.96,0.98,0.96,0.98,0.98
Balanced,17,1,0.92,0.84,0.9,0.98,1,0.9
Balanced,20,1,0.98,1,0.98,1,0.92,0.96
Balanced,23,1,0.96,1,0.96,0.96,0.94,0.98
Balanced,29,1,1,1,1,1,0.98,1
Balanced,32,1,1,0.94,1,1,1,1
Balanced,35,1,0.94,0.94,0.96,0.98,0.92,0.98
Balanced,38,1,0.88,0.92,0.92,0.92,0.9,0.92
Balanced,41,1,0.94,0.84,0.8,0.7,0.64,0.7
Balanced,44,1,1,0.74,0.92,0.94,0.88,0.9
Balanced,47,1,0.98,0.92,0.92,0.94,0.98,1
Balanced,50,1,1,0.94,0.94,0.94,0.92,0.94
Balanced,53,1,1,0.96,0.98,0.94,1,1
Balanced,56,1,0.92,0.94,0.92,0.92,0.92,0.9
Balanced,59,1,1,1,0.98,1,1,0.98
Balanced,62,1,0.94,0.96,0.98,1,0.98,0.98
Balanced,65,1,0.92,0.9,0.88,1,1,0.96
Balanced,68,1,1,1,1,1,0.98,0.98
Balanced,71,1,0.84,0.84,0.84,0.94,0.82,0.86
Balanced,74,1,0.98,0.9,0.94,0.98,0.98,0.98
Balanced,77,1,1,0.98,0.9,0.98,1,0.96
Balanced,80,1,1,0.96,0.94,1,0.94,0.94
Balanced,83,1,1,1,0.98,1,1,1
Balanced,89,1,0.98,0.88,0.98,0.96,1,0.9
Balanced,92,1,0.94,0.96,1,0.98,0.92,0.96
Balanced,95,1,0.92,0.96,0.92,0.9,0.92,0.98
Balanced,98,1,0.9,0.94,0.94,0.94,0.92,0.94
Balanced,107,1,1,1,0.9,0.96,0.94,0.96
Balanced,110,1,0.94,0.94,0.88,0.94,0.96,0.92
Balanced,113,1,1,0.94,0.98,0.98,0.98,1
Balanced,116,1,0.98,1,1,0.94,0.92,0.92
Balanced,122,1,0.96,0.98,0.98,1,0.98,0.98
Balanced,125,1,0.98,0.9,0.96,0.96,0.98,0.88
Balanced,128,1,1,1,0.98,0.9,0.92,0.94
Balanced,131,1,0.88,0.92,0.94,0.94,0.94,0.98
