PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75
Balanced,2,1,1286.5,1735,1782,1844,1886,1912.5
Balanced,5,1,778.5,947,1082.5,1101,1364,1569
Balanced,8,1,1467,1375.5,1498,1712,1471,1225
Balanced,11,1,2162,1867,1615.5,1484.5,1756,1571
Balanced,14,1,850,1019,1035,1120.5,1499,1893
Balanced,17,1,643,729,715,673,885.5,986
Balanced,20,1,956,1248,1433,1565.5,1675.5,1689
Balanced,23,1,756.5,1067.5,1085,1100.5,1072,1299
Balanced,29,1,1008,1229,1428,1631,1504,1463.5
Balanced,32,1,718,945,1185.5,826,1256,1728
Balanced,35,1,1278,1208,1155,1096,1168.5,1061
Balanced,38,1,1149.5,1300,1645.5,1415,1865,1922.5
Balanced,41,1,757,904,1011.5,1002,1435.5,1175
Balanced,44,1,755.5,964,989,805,1340,1498
Balanced,47,1,1631,1680.5,2144.5,2098,1988,1726.5
Balanced,50,1,1164.5,1522,1232,1374,1535,1278
Balanced,53,1,1146,1365,1278,1204,1252.5,981
Balanced,56,1,1072,1850,1670,1946.5,2115,1936
Balanced,59,1,1474,1731.5,1912,2130.5,2316,2102
Balanced,62,1,1084,1117.5,1061,1148.5,1189,1182
Balanced,65,1,800,852,1045,1045,1245,1700
Balanced,68,1,1104,1345.5,1278,1552,1482,1551
Balanced,71,1,1141,1568.5,1740.5,1664,1968,1105
Balanced,74,1,1124,1392,1822,1438,1769,1437
Balanced,77,1,1098.5,1419,1312,1440,1398,1154.5
Balanced,80,1,791,916.5,1247,845.5,1219,1573
Balanced,83,1,1438.5,1758,2229,2208.5,2098.5,1533
Balanced,89,1,853,961,993,1201,1411,1792
Balanced,92,1,1300,1384.5,1400,1444,2162,2720
Balanced,95,1,1341.5,1708,1891,1677,1746,1532
Balanced,98,1,1145,1015,1226,1142,1417,1336
Balanced,107,1,986,1115,1257,1557,1758,1421.5
Balanced,110,1,789,952,1209.5,1032,1397.5,1818
Balanced,113,1,1175.5,1350,1245,1282,1203,945
Balanced,116,1,878,959,1093,1016,1270,1676
Balanced,122,1,746.5,837,999,771,1036,1511
Balanced,125,1,749,1008,1109,958.5,1191,1171
Balanced,128,1,1300.5,1392,1751,1922,1814.5,2153
Balanced,131,1,1392,1887.5,1508,1843,1708,1381
Balanced,134,1,2110,1850.5,1900,1673.5,1823,1584
Balanced,137,1,1031,1261.5,1298,1236,1306,1345.5
Balanced,140,1,1351,1629,1610.5,1656,1210.5,1446
Balanced,143,1,1012,1457.5,1433,1238,1299,1201
Balanced,149,1,775.5,941,1166.5,798.5,1220,1687.5
Balanced,152,1,1463.5,1357.5,1726,1554.5,1798,1596
