PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75,
Balanced,2,1,0.98,1,1,0.94,0.98,0.98,0.98
Balanced,8,1,0.93,0.93,0.86,0.89,0.91,0.93,0.908333333
Balanced,14,1,1,1,0.94,0.98,1,1,0.986666667
Balanced,17,1,0.94,0.94,0.98,1,0.98,0.96,0.966666667
Balanced,20,1,0.95,0.88,0.8,0.93,0.98,0.98,0.92
Balanced,23,1,0.98,0.98,0.98,0.9,0.96,1,0.966666667
Balanced,26,1,1,0.98,0.98,0.98,0.96,0.98,0.98
Balanced,29,1,1,0.98,1,0.98,1,1,0.993333333
Balanced,32,1,0.96,1,0.98,1,1,1,0.99
Balanced,44,1,0.98,0.98,0.96,0.98,0.98,0.96,0.973333333
Balanced,47,1,0.98,0.98,0.98,0.9,0.98,1,0.97
Balanced,56,1,0.97,0.95,0.93,0.97,0.97,1,0.965
Balanced,62,1,1,0.98,0.96,1,1,1,0.99
Balanced,65,1,0.88,0.96,0.98,0.98,0.98,0.96,0.956666667
Balanced,71,1,0.93,0.94,0.98,0.9,0.96,0.9,0.935
Balanced,77,1,0.82,0.86,0.94,0.92,0.94,0.9,0.896666667
Balanced,80,1,1,1,1,1,1,0.94,0.99
Balanced,86,1,0.98,0.98,0.83,0.9,0.96,0.9,0.925
Balanced,89,1,0.98,0.98,1,1,0.96,0.98,0.983333333
Balanced,107,1,0.98,0.94,0.94,0.98,0.96,0.96,0.96
Balanced,110,1,0.96,0.92,0.88,0.96,0.88,0.92,0.92
Balanced,113,1,1,1,1,1,1,1,1
High,4,2,1,0.99,0.99,1,1,1,0.996666667
High,7,2,1,1,0.96,1,1,1,0.993333333
High,16,2,0.97,0.99,0.99,0.93,0.77,1,0.941666667
High,25,2,1,1,0.99,0.8,1,0.87,0.943333333
High,37,2,0.94,0.99,0.98,0.8,0.92,0.87,0.916666667
High,40,2,0.9,0.95,0.99,1,0.87,0.71,0.903333333
High,43,2,0.97,0.97,0.97,1,0.86,0.43,0.866666667
High,46,2,0.97,0.95,0.99,1,1,1,0.985
High,49,2,1,0.99,1,0.93,0.83,1,0.958333333
High,52,2,1,0.99,0.98,0.8,0.87,0.87,0.918333333
High,58,2,0.97,0.97,0.94,0.85,0.67,0.67,0.845
High,67,2,1,1,1,0.87,1,0.87,0.956666667
High,70,2,0.95,1,0.98,0.87,0.87,0.87,0.923333333
High,76,2,0.98,1,1,0.87,1,0.93,0.963333333
High,79,2,0.98,0.99,0.98,0.93,1,0.93,0.968333333
High,91,2,0.97,0.96,0.97,1,0.79,0.57,0.876666667
High,94,2,0.98,1,0.99,1,0.93,0.93,0.971666667
High,100,2,1,1,1,1,1,1,1
High,103,2,0.97,0.99,0.99,0.8,0.87,0.73,0.891666667
High,106,2,0.99,1,0.99,0.93,0.87,0.8,0.93
High,109,2,0.98,0.99,0.9,0.93,0.73,0.67,0.866666667
High,112,2,0.96,0.99,0.98,0.93,1,0.93,0.965
Low,6,3,0.93,0.93,0.87,1,1,1,0.955
Low,9,3,0.8,0.87,0.92,0.98,0.97,1,0.923333333
Low,21,3,0.75,0.77,0.71,0.95,0.86,0.89,0.821666667
Low,24,3,0.69,0.64,0.64,0.98,0.97,1,0.82
Low,27,3,0.93,0.93,0.93,0.96,0.99,0.99,0.955
Low,33,3,0.8,1,0.93,0.99,0.99,0.98,0.948333333
Low,42,3,1,0.93,0.87,0.95,0.99,0.99,0.955
Low,45,3,0.86,0.8,0.87,0.97,0.99,1,0.915
Low,48,3,1,1,1,0.99,1,0.98,0.995
Low,51,3,1,1,1,1,1,1,1
Low,54,3,1,0.93,0.87,0.99,1,1,0.965
Low,66,3,0.93,0.93,0.86,1,1,0.99,0.951666667
Low,69,3,0.93,1,1,0.99,0.97,1,0.981666667
Low,75,3,1,0.87,1,0.98,0.96,1,0.968333333
Low,78,3,0.5,0.71,0.54,0.96,0.9,0.88,0.748333333
Low,84,3,0.93,0.93,0.93,1,0.98,0.99,0.96
Low,87,3,0.8,1,0.8,1,0.99,0.98,0.928333333
Low,90,3,0.73,0.79,0.73,0.94,0.96,0.98,0.855
Low,93,3,0.8,0.87,0.8,0.98,0.96,0.93,0.89
Low,96,3,1,0.87,0.87,1,1,1,0.956666667
Low,102,3,0.93,0.93,1,1,1,1,0.976666667
Low,105,3,0.64,0.64,0.73,1,0.99,0.99,0.831666667
Low,111,3,1,1,0.93,1,0.99,1,0.986666667
