PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75,
Balanced,2,1,1097.5,1455,1507,1578,1462,1334,1405.583333
Balanced,8,1,985,1269,1297,1325,1359,1329,1260.666667
Balanced,14,1,1628.5,1816,1860,1853.5,1986.5,1791,1822.583333
Balanced,17,1,1527.5,1668,1800,1488,2259,1990,1788.75
Balanced,20,1,718,848,1067,776,926.5,1019,892.4166667
Balanced,23,1,1394,1296,1671,1586,1733.5,1414,1515.75
Balanced,26,1,1246.5,1400,1538,1383,1480,1276,1387.25
Balanced,29,1,1309,1142,1361.5,1362,1306,1347,1304.583333
Balanced,32,1,1587,1715,1749,1788,1998.5,1514,1725.25
Balanced,44,1,1652,1947,1736,1789,1501,1484.5,1684.916667
Balanced,47,1,1977,1972,1974,1965,1892,1557.5,1889.583333
Balanced,56,1,1079.5,1329,1563,1534,1795,1979,1546.583333
Balanced,62,1,1225,2168,1989,1988,1880,1381,1771.833333
Balanced,65,1,1252,1485,1648,1660,2006,1636.5,1614.583333
Balanced,71,1,1335,1511,1571,1489,1560,1389.5,1475.916667
Balanced,77,1,1267,1510,1272,1318,1645,1166,1363
Balanced,80,1,1294,1514,1642,1827,1807,1560.5,1607.416667
Balanced,86,1,958.5,1006.5,1312,1048,1085.5,1105.5,1086
Balanced,89,1,1357,1560,1488.5,1340.5,1353.5,1297,1399.416667
Balanced,107,1,810,1046.5,1234,1089.5,1335,1160,1112.5
Balanced,110,1,1271.5,1716.5,1738.5,2224.5,2330,2090,1895.166667
Balanced,113,1,1324,1486.5,1499,1669,1699.5,1628.5,1551.083333
High,4,2,854,1043.5,1308.5,1653,2197,2278,1555.666667
High,7,2,898,1056.5,1257.5,1664,1905,1697,1413
High,16,2,893,1024,1047.5,1624,1374,1768,1288.416667
High,25,2,1521,1750,1607.5,1875.5,1320,1227,1550.166667
High,37,2,881,1296.5,1107,1207,1378,1292,1193.583333
High,40,2,783.5,972.5,940,1060,1781,1956,1248.833333
High,43,2,740,1012,1268,1309,2212.5,2314,1475.916667
High,46,2,744,1161,1318,1328,1823.5,2328,1450.416667
High,49,2,1349,1747,2038,2406,2546.5,1835.5,1987
High,52,2,1178,1506.5,1556,1824,2031,1924,1669.916667
High,58,2,673,794,811,937,1357.5,1545,1019.583333
High,67,2,1257.5,1630,1692,2148,1957,1068,1625.416667
High,70,2,1118,1179,1244,1361,1562,1600,1344
High,76,2,825,1098,1184,1843,1514,1663,1354.5
High,79,2,1008,1386.5,1592,1512,2170,1393,1510.25
High,91,2,684.5,782.5,653,922.5,1305,1882.5,1038.333333
High,94,2,1020,1257,1558,1695,1872.5,1489,1481.916667
High,100,2,1330,1519,1498,1816,1689,1548,1566.666667
High,103,2,1343.5,1654,1831,1800,1875,1621,1687.416667
High,106,2,647.5,808,931,855.5,1301,1322,977.5
High,109,2,1042,1324.5,1275,1533.5,1559,1440,1362.333333
High,112,2,1113.5,1419,1117,1240,1705,1138,1288.75
Low,6,3,1614,1654,1953,1701.5,1997,1486,1734.25
Low,9,3,1856.5,2290,1877,2085.5,2064,1620,1965.5
Low,21,3,1303,1615,982.5,1025,1332,969.5,1204.5
Low,24,3,999,1077,1959,1008.5,1199,1425,1277.916667
Low,27,3,1311.5,1088,1113,1051.5,1033,893.5,1081.75
Low,33,3,1099,1261,1330.5,1273.5,1407,1362,1288.833333
Low,42,3,637,871.5,976,666,947,1138.5,872.6666667
Low,45,3,1253.5,1402.5,1356,1375,1247,1022,1276
Low,48,3,1364.5,1641.5,1407,1482.5,1397.5,1257,1425
Low,51,3,1089,1236,1212,1325,1333,1109,1217.333333
Low,54,3,1219,1515.5,1319,1497,1516,1252,1386.416667
Low,66,3,1463.5,2012,2912,2079,1652.5,1457,1929.333333
Low,69,3,1321,1468.5,1091,1415,1499.5,1491,1381
Low,75,3,1448,1659,1588,1506,1346.5,1062,1434.916667
Low,78,3,737.5,1123.5,1242,816,985.5,1089,998.9166667
Low,84,3,1179,1273,1002,1084,1146,1064.5,1124.75
Low,87,3,1629,2070,1436.5,1681.5,1814,1798,1738.166667
Low,90,3,1353,1657,2006,1091,1861,2519,1747.833333
Low,93,3,1140,1880,1538.5,1343,1672,1206,1463.25
Low,96,3,1573,2070,1693,1734,1497,1364,1655.166667
Low,102,3,1394.5,1539,1149,1327,1316,1311,1339.416667
Low,105,3,1077,986,946,1123.5,1291.5,1145.5,1094.916667
Low,111,3,1937,1307,1604.5,1301,1219,1079.5,1408
