PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75,
Balanced,2,1,2.270833333,2.632653061,2.959183673,3.673913043,3.425531915,2.638297872,2.93340215
Balanced,8,1,2.209302326,2.658536585,2.605263158,2.41025641,2.87804878,2.837209302,2.599769427
Balanced,14,1,1.847826087,2.5,2.586956522,3.090909091,3.173913043,3.040816327,2.706736845
Balanced,17,1,1.847826087,2.804347826,3.291666667,2.74,3.93877551,3.14893617,2.961925377
Balanced,20,1,1.428571429,1.685714286,2.060606061,1.315789474,1.619047619,2.125,1.705788145
Balanced,23,1,3.448979592,3.959183673,4.632653061,4.555555556,4.854166667,3.5,4.158423091
Balanced,26,1,2.086956522,2.536585366,3.133333333,2.510638298,2.574468085,2.162790698,2.500795384
Balanced,29,1,1.88,2.173913043,2.428571429,2.70212766,2.533333333,2.638297872,2.392707223
Balanced,32,1,2.204545455,2.510204082,2.857142857,2.428571429,2.645833333,2.173913043,2.470035033
Balanced,44,1,3.387755102,3.734693878,3.425531915,3.306122449,2.755102041,2.8125,3.236950897
Balanced,47,1,3.468085106,4.428571429,4.551020408,4.355555556,4.244897959,3.541666667,4.098299521
Balanced,56,1,1.794117647,2.307692308,2.810810811,2.621621622,3.743589744,3.815789474,2.848936934
Balanced,62,1,2.244897959,4.918367347,4.104166667,4.28,3.92,2.62,3.681238662
Balanced,65,1,2.930232558,3.145833333,3.428571429,3.87755102,4.857142857,3.770833333,3.668360755
Balanced,71,1,2.534883721,3.181818182,3.645833333,4.295454545,3.441860465,3.045454545,3.357550799
Balanced,77,1,2.87804878,4.11627907,3.234042553,3.043478261,4.744680851,2.355555556,3.395347512
Balanced,80,1,2.771428571,3.069767442,4.428571429,4.023255814,4.390243902,3.2,3.647211193
Balanced,86,1,2.145833333,2.791666667,3.102564103,2.348837209,2.586956522,2.272727273,2.541430851
Balanced,89,1,3.367346939,4.387755102,4.06,3.86,3.8125,4.081632653,3.928205782
Balanced,107,1,1.891304348,2.25,2.8,2.413043478,3.111111111,3.022222222,2.581280193
Balanced,110,1,3.041666667,4.565217391,4.318181818,5.25,5.818181818,4.608695652,4.600323891
Balanced,113,1,2.68,3.28,2.72,3.08,3.48,3.4,3.106666667
High,4,2,2.188235294,2.416666667,3.369047619,4.4,7.4,7.533333333,4.551213819
High,7,2,1.835294118,2.619047619,3.304878049,3.933333333,4.4,5.333333333,3.570981075
High,16,2,1.47761194,1.985294118,1.838235294,3.5,2.3,3.181818182,2.380493256
High,25,2,4.117647059,4.458823529,4.273809524,4.666666667,2.733333333,3.307692308,3.926328737
