id,inf_control,inf_dvn,neu_control,neu_dvn
1,3.35011909,3.35011909,2.930468,2.930468
2,3.87586302,2.824375158,1.157745,2.256872
3,2.82437516,2.311622487,1.157745,2.256872
4,2.34465576,2.654429011,0,1.83134
5,3.35011909,2.824375158,2.256872,1.83134
6,1.14519345,0.584184648,1.157745,1.099127
7,2.53114596,2.311622487,2.930468,2.256872
8,2.01839329,2.237916762,0.791639,1.157745
9,1.83545588,2.018393289,0.791639,1.099127
10,1.61593241,2.492854454,1.83134,2.256872
11,2.12868508,1.45435785,0.732213,2.930468
12,2.83736642,3.35011909,2.930468,2.256872
13,1.96711052,2.492854454,1.583277,1.583277
14,2.53114596,3.056889892,2.256872,2.256872
15,2.31162249,3.056889892,1.83134,1.465234
16,1.83545588,1.835455881,2.256872,1.583277
