VP	d2_KL	REV	BIS_UW	BIS_KW	BIS_TG	BIS_Factor	sb1_RT	snb1_RT	tb1_RT	tnb1_RT	rb1_RT	rnb1_RT	sb1_ErrPerc	snb1_ErrPerc	tb1_ErrPerc	tnb1_ErrPerc	rb1_ErrPerc	rnb1_ErrPerc	s1_RT	t1_RT	r1_RT	lg_s1_RT	lg_t1_RT	lg_r1_RT	FOC_1_Descr	PRE_1_Descr	FOC_1	FOC_2	PRE_1	PRE_2
1,00	130,00	294,00	25,00	9,00	13,00	-1,97664	970,33	888,83	766,23	871,38	488,76	#NULL!	8,75	1,25	1,25	1,25	0,00	#NULL!	929,58	818,81	#NULL!	2,97	2,91	#NULL!	-110,78	#NULL!	0,06	0,00	#NULL!	#NULL!
2,00	218,00	465,00	47,00	24,00	12,00	0,05672	730,83	793,52	695,45	742,49	297,10	733,94	0,00	2,50	2,50	0,00	1,25	6,25	762,18	718,97	515,52	2,88	2,86	2,71	-43,20	-203,45	0,03	-0,02	0,14	0,13
3,00	186,00	316,00	32,00	22,00	14,00	-0,50472	700,76	692,21	631,84	673,08	339,54	713,64	6,25	3,75	5,00	3,75	1,25	3,75	696,49	652,46	526,59	2,84	2,81	2,72	-44,03	-125,87	0,03	-0,02	0,09	0,09
4,00	193,00	296,00	26,00	20,00	12,00	-1,23464	609,85	694,46	646,49	772,21	438,72	825,56	7,50	11,25	6,25	6,25	1,25	11,25	652,16	709,35	632,14	2,81	2,85	2,80	57,20	-77,21	-0,04	-0,04	0,05	0,04
5,00	196,00	404,00	35,00	24,00	15,00	-0,06315	739,41	689,23	619,00	707,76	442,64	694,23	1,25	3,75	7,50	1,25	5,00	1,25	714,32	663,38	568,44	2,85	2,82	2,75	-50,94	-94,95	0,03	-0,02	0,07	0,06
6,00	215,00	338,00	25,00	24,00	15,00	-0,53215	573,84	692,47	563,55	755,35	339,99	511,38	3,75	3,75	3,75	2,50	1,25	2,50	633,16	659,45	425,69	2,80	2,82	2,63	26,30	-233,77	-0,02	-0,04	0,19	0,19
7,00	269,00	435,00	39,00	31,00	15,00	0,66075	570,18	665,29	614,97	645,18	231,29	531,97	6,25	7,50	8,75	5,00	5,00	5,00	617,74	630,08	381,63	2,79	2,80	2,58	12,34	-248,45	-0,01	-0,04	0,22	0,22
8,00	221,00	355,00	28,00	26,00	13,00	-0,53352	695,67	712,23	700,03	788,94	432,96	675,86	5,00	12,50	13,75	13,75	3,75	11,25	703,95	744,49	554,41	2,85	2,87	2,74	40,54	-190,08	-0,02	-0,02	0,13	0,11
9,00	208,00	334,00	39,00	29,00	15,00	0,50752	616,51	693,29	653,22	780,47	399,26	891,27	5,00	2,50	5,00	2,50	2,50	3,75	654,90	716,85	645,27	2,82	2,86	2,81	61,95	-71,58	-0,04	-0,04	0,05	0,07
10,00	257,00	504,00	53,00	36,00	18,00	2,14336	586,57	648,86	578,18	610,81	348,13	524,34	2,50	0,00	0,00	0,00	0,00	1,25	617,72	594,50	436,24	2,79	2,77	2,64	-23,22	-158,26	0,02	-0,03	0,13	0,22
11,00	215,00	570,00	40,00	34,00	20,00	1,67572	687,80	702,28	644,69	746,07	396,57	725,30	7,50	6,25	8,75	3,75	2,50	2,50	695,04	695,38	560,94	2,84	2,84	2,75	0,34	-134,45	0,00	0,00	0,09	0,20
12,00	215,00	357,00	37,00	28,00	15,00	0,33711	526,57	583,38	527,67	620,22	251,05	624,52	3,75	2,50	10,00	8,75	3,75	15,00	554,98	573,95	437,79	2,74	2,76	2,64	18,97	-136,16	-0,01	-0,02	0,12	0,16
13,00	256,00	372,00	36,00	25,00	8,00	-0,97316	669,83	773,05	713,26	809,45	438,31	852,04	3,75	2,50	1,25	2,50	1,25	3,75	721,44	761,36	645,18	2,86	2,88	2,81	39,92	-116,18	-0,02	-0,01	0,07	0,13
14,00	167,00	324,00	30,00	24,00	15,00	-0,29765	680,49	787,29	665,91	750,04	475,95	730,97	8,75	12,50	8,75	6,25	6,25	8,75	733,89	707,98	603,46	2,87	2,85	2,78	-25,92	-104,52	0,02	-0,01	0,07	0,09
15,00	203,00	445,00	23,00	26,00	12,00	-0,91567	638,31	786,32	656,14	804,00	475,13	841,29	1,25	2,50	1,25	0,00	0,00	1,25	712,32	730,07	658,21	2,85	2,86	2,82	17,75	-71,86	-0,01	-0,04	0,05	0,11
16,00	244,00	409,00	23,00	17,00	13,00	-1,45754	563,25	608,71	527,78	619,47	285,12	#NULL!	2,50	7,50	6,25	5,00	1,25	#NULL!	585,98	573,63	#NULL!	2,77	2,76	#NULL!	-12,36	#NULL!	0,01	0,01	#NULL!	#NULL!
17,00	207,00	258,00	18,00	15,00	7,00	-2,73115	606,95	644,45	578,73	624,71	280,74	#NULL!	2,50	8,75	7,50	6,25	1,25	#NULL!	625,70	601,72	#NULL!	2,80	2,78	#NULL!	-23,98	#NULL!	0,02	-0,01	#NULL!	#NULL!
18,00	181,00	332,00	32,00	24,00	14,00	-0,35150	665,44	770,90	612,29	734,82	326,72	709,36	5,00	7,50	2,50	2,50	2,50	3,75	718,17	673,56	518,04	2,86	2,83	2,71	-44,62	-155,52	0,03	-0,02	0,11	0,11
19,00	230,00	452,00	38,00	27,00	15,00	0,30739	521,51	619,14	565,85	665,29	214,76	613,85	5,00	5,00	12,50	10,00	7,50	6,25	570,33	615,57	414,31	2,76	2,79	2,62	45,24	-201,27	-0,03	-0,03	0,17	0,15
20,00	231,00	455,00	44,00	41,00	16,00	1,80903	607,32	703,04	639,37	717,01	277,36	644,27	7,50	7,50	6,25	13,75	3,75	2,50	655,18	678,19	460,82	2,82	2,83	2,66	23,01	-217,38	-0,01	0,00	0,17	0,20
21,00	203,00	373,00	22,00	24,00	17,00	-0,37756	688,76	787,95	684,71	760,42	493,64	770,39	3,75	1,25	2,50	5,00	3,75	7,50	738,36	722,57	632,02	2,87	2,86	2,80	-15,79	-90,55	0,01	-0,02	0,06	0,18
22,00	148,00	283,00	35,00	23,00	14,00	-0,28741	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	-0,03	#NULL!	0,07
23,00	290,00	456,00	38,00	17,00	13,00	-0,75403	526,72	578,23	534,69	596,61	163,36	549,88	11,25	3,75	3,75	6,25	2,50	5,00	552,48	565,65	356,62	2,74	2,75	2,55	13,18	-209,03	-0,01	-0,01	0,20	0,24
24,00	195,00	437,00	42,00	32,00	15,00	0,87806	594,77	722,74	578,63	683,71	332,18	666,63	21,25	6,25	6,25	0,00	3,75	6,25	658,76	631,17	499,41	2,82	2,80	2,70	-27,58	-131,77	0,02	-0,02	0,10	0,18
25,00	185,00	401,00	24,00	13,00	15,00	-1,42180	752,37	798,69	714,57	760,19	306,61	814,92	3,75	0,00	1,25	1,25	1,25	2,50	775,53	737,38	560,77	2,89	2,87	2,75	-38,15	-176,62	0,02	-0,03	0,12	0,14
26,00	163,00	330,00	24,00	20,00	10,00	-1,62374	776,55	925,36	876,09	937,09	680,11	887,16	1,25	2,50	1,25	2,50	1,25	3,75	850,96	906,59	783,64	2,93	2,96	2,89	55,64	-122,96	-0,03	-0,04	0,06	0,09
27,00	290,00	488,00	35,00	31,00	13,00	0,17785	594,12	651,17	590,83	648,05	333,73	599,14	2,50	1,25	6,25	3,75	3,75	1,25	622,65	619,44	466,44	2,79	2,79	2,67	-3,20	-153,01	0,00	0,00	0,12	0,19
28,00	257,00	406,00	42,00	24,00	15,00	0,26516	597,36	683,32	566,93	688,68	247,21	561,70	0,00	2,50	0,00	0,00	0,00	0,00	640,34	627,81	404,46	2,81	2,80	2,61	-12,54	-223,35	0,01	-0,03	0,19	0,23
29,00	214,00	366,00	35,00	16,00	10,00	-1,41429	650,44	723,72	693,39	881,11	355,26	606,61	11,25	11,25	10,00	5,00	11,25	12,50	687,08	787,25	480,94	2,84	2,90	2,68	100,17	-306,32	-0,06	-0,11	0,21	0,21
30,00	230,00	489,00	46,00	29,00	20,00	1,57406	570,23	645,99	545,97	696,09	385,30	593,41	5,00	3,75	3,75	3,75	5,00	0,00	608,11	621,03	489,36	2,78	2,79	2,69	12,92	-131,68	-0,01	-0,02	0,10	0,17
31,00	210,00	363,00	25,00	31,00	16,00	0,15179	575,99	618,49	585,70	664,81	277,99	624,00	2,50	5,00	3,75	1,25	1,25	2,50	597,24	625,26	451,00	2,78	2,80	2,65	28,02	-174,26	-0,02	-0,05	0,14	0,17
32,00	285,00	454,00	35,00	30,00	20,00	1,13476	469,77	511,38	466,46	523,64	123,32	381,30	7,50	5,00	6,25	6,25	0,00	6,25	490,58	495,05	252,31	2,69	2,69	2,40	4,47	-242,74	0,00	-0,01	0,29	0,30
33,00	246,00	443,00	56,00	30,00	16,00	1,52909	609,82	691,97	574,73	666,84	362,27	702,91	0,00	0,00	0,00	1,25	2,50	2,50	650,90	620,79	532,59	2,81	2,79	2,73	-30,11	-88,20	0,02	-0,02	0,07	0,21
34,00	233,00	304,00	32,00	27,00	14,00	-0,12166	616,61	721,84	638,63	737,14	318,70	683,90	3,75	5,00	2,50	1,25	1,25	5,00	669,23	687,89	501,30	2,83	2,84	2,70	18,66	-186,59	-0,01	-0,03	0,14	0,17
35,00	183,00	369,00	31,00	25,00	13,00	-0,46943	714,59	830,68	693,91	807,79	475,18	637,07	0,00	0,00	1,25	0,00	2,50	3,75	772,64	750,85	556,13	2,89	2,88	2,75	-21,79	-194,73	0,01	-0,01	0,13	0,12
36,00	205,00	315,00	37,00	27,00	15,00	0,26049	730,83	804,42	658,36	742,19	423,51	833,55	2,50	3,75	7,50	6,25	5,00	7,50	767,63	700,28	628,53	2,89	2,85	2,80	-67,35	-71,75	0,04	-0,01	0,05	0,11
37,00	211,00	503,00	48,00	34,00	17,00	1,60798	525,12	628,96	570,65	658,71	311,25	615,88	11,25	11,25	10,00	8,75	7,50	11,25	577,04	614,68	463,57	2,76	2,79	2,67	37,64	-151,12	-0,03	-0,02	0,12	0,22
38,00	188,00	349,00	32,00	27,00	14,00	-0,12166	697,10	829,47	729,82	827,75	578,07	836,36	6,25	3,75	6,25	6,25	2,50	1,25	763,29	778,79	707,22	2,88	2,89	2,85	15,50	-71,57	-0,01	0,01	0,04	0,03
39,00	223,00	540,00	57,00	37,00	17,00	2,25993	497,62	576,97	494,22	578,36	216,32	578,69	10,00	10,00	15,00	5,00	3,75	12,50	537,30	536,29	397,51	2,73	2,73	2,60	-1,01	-138,79	0,00	-0,03	0,13	0,21
40,00	203,00	440,00	32,00	25,00	16,00	0,02041	576,48	708,85	659,94	774,04	289,47	694,68	3,75	6,25	6,25	3,75	0,00	5,00	642,67	716,99	492,08	2,81	2,86	2,69	74,33	-224,92	-0,05	-0,01	0,16	0,13
41,00	227,00	346,00	41,00	24,00	18,00	0,66119	674,03	701,80	662,92	694,49	384,97	668,58	2,50	1,25	0,00	7,50	3,75	5,00	687,92	678,71	526,78	2,84	2,83	2,72	-9,21	-151,93	0,01	-0,02	0,11	0,12
42,00	215,00	346,00	37,00	24,00	13,00	-0,26464	597,35	733,64	614,00	757,67	390,68	808,15	8,75	3,75	5,00	2,50	2,50	3,75	665,50	685,84	599,42	2,82	2,84	2,78	20,34	-86,42	-0,01	-0,02	0,06	0,12
43,00	145,00	312,00	30,00	23,00	18,00	0,06868	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	-0,02	#NULL!	0,02
