"subject","value","name"
"subject1",131.280957613,"cond_rad_walkBlind_0.5.csv"
"subject10",89.7874836922,"cond_rad_walkBlind_0.5.csv"
"subject11",36.5613252785,"cond_rad_walkBlind_0.5.csv"
"subject12",43.4450981216,"cond_rad_walkBlind_0.5.csv"
"subject13",99.4174120588,"cond_rad_walkBlind_0.5.csv"
"subject14",26.9979336883,"cond_rad_walkBlind_0.5.csv"
"subject15",43.023197658,"cond_rad_walkBlind_0.5.csv"
"subject16",54.3380167688,"cond_rad_walkBlind_0.5.csv"
"subject18",71.4609612616,"cond_rad_walkBlind_0.5.csv"
"subject19",31.7145825094,"cond_rad_walkBlind_0.5.csv"
"subject2",41.8088796719,"cond_rad_walkBlind_0.5.csv"
"subject20",78.1703420395,"cond_rad_walkBlind_0.5.csv"
"subject21",47.3161251445,"cond_rad_walkBlind_0.5.csv"
"subject22",63.1358902703,"cond_rad_walkBlind_0.5.csv"
"subject23",146.354016063,"cond_rad_walkBlind_0.5.csv"
"subject24",94.716837925,"cond_rad_walkBlind_0.5.csv"
"subject25",102.653612781,"cond_rad_walkBlind_0.5.csv"
"subject26",46.9534140855,"cond_rad_walkBlind_0.5.csv"
"subject3",93.844371794,"cond_rad_walkBlind_0.5.csv"
"subject4",52.5813769352,"cond_rad_walkBlind_0.5.csv"
"subject5",20.8477672587,"cond_rad_walkBlind_0.5.csv"
"subject6",40.5737090929,"cond_rad_walkBlind_0.5.csv"
"subject7",82.4212414632,"cond_rad_walkBlind_0.5.csv"
"subject8",95.2977455789,"cond_rad_walkBlind_0.5.csv"
"subject9",164.569259734,"cond_rad_walkBlind_0.5.csv"
"subject1",136.456666723,"cond_rad_walkBlind_1.0.csv"
"subject10",77.8249751562,"cond_rad_walkBlind_1.0.csv"
"subject11",31.7566115805,"cond_rad_walkBlind_1.0.csv"
"subject12",52.6619440682,"cond_rad_walkBlind_1.0.csv"
"subject13",130.740758087,"cond_rad_walkBlind_1.0.csv"
"subject14",36.3735950862,"cond_rad_walkBlind_1.0.csv"
"subject15",82.1141587968,"cond_rad_walkBlind_1.0.csv"
"subject16",37.1191446521,"cond_rad_walkBlind_1.0.csv"
"subject18",56.777191275,"cond_rad_walkBlind_1.0.csv"
"subject19",40.9366350128,"cond_rad_walkBlind_1.0.csv"
"subject2",69.3821061525,"cond_rad_walkBlind_1.0.csv"
"subject20",77.8251777524,"cond_rad_walkBlind_1.0.csv"
"subject21",55.4470293906,"cond_rad_walkBlind_1.0.csv"
"subject22",78.2327058546,"cond_rad_walkBlind_1.0.csv"
"subject24",71.4616113082,"cond_rad_walkBlind_1.0.csv"
"subject25",76.3363251543,"cond_rad_walkBlind_1.0.csv"
"subject26",56.8383602735,"cond_rad_walkBlind_1.0.csv"
"subject3",117.041928826,"cond_rad_walkBlind_1.0.csv"
"subject4",46.2577418777,"cond_rad_walkBlind_1.0.csv"
"subject5",18.3770948451,"cond_rad_walkBlind_1.0.csv"
"subject6",55.7066166961,"cond_rad_walkBlind_1.0.csv"
"subject7",74.6412923743,"cond_rad_walkBlind_1.0.csv"
"subject8",85.8358756656,"cond_rad_walkBlind_1.0.csv"
"subject9",149.996092048,"cond_rad_walkBlind_1.0.csv"
"subject1",163.37188729,"cond_rad_walkBlind_1.5.csv"
"subject10",65.0736971341,"cond_rad_walkBlind_1.5.csv"
"subject11",52.5416852815,"cond_rad_walkBlind_1.5.csv"
"subject12",61.2028993663,"cond_rad_walkBlind_1.5.csv"
"subject13",149.231457229,"cond_rad_walkBlind_1.5.csv"
"subject14",16.1792943382,"cond_rad_walkBlind_1.5.csv"
"subject15",47.6580774917,"cond_rad_walkBlind_1.5.csv"
"subject16",67.776877435,"cond_rad_walkBlind_1.5.csv"
"subject18",27.9873883101,"cond_rad_walkBlind_1.5.csv"
"subject19",37.2787562436,"cond_rad_walkBlind_1.5.csv"
"subject2",71.9817847237,"cond_rad_walkBlind_1.5.csv"
"subject20",107.226413866,"cond_rad_walkBlind_1.5.csv"
"subject21",68.2840278955,"cond_rad_walkBlind_1.5.csv"
"subject22",134.733097886,"cond_rad_walkBlind_1.5.csv"
"subject24",84.8194946647,"cond_rad_walkBlind_1.5.csv"
"subject25",24.365226106,"cond_rad_walkBlind_1.5.csv"
"subject26",42.6693753477,"cond_rad_walkBlind_1.5.csv"
"subject3",100.556836126,"cond_rad_walkBlind_1.5.csv"
"subject4",48.9659476915,"cond_rad_walkBlind_1.5.csv"
"subject5",35.50061676,"cond_rad_walkBlind_1.5.csv"
"subject6",57.3466884296,"cond_rad_walkBlind_1.5.csv"
"subject7",70.4723511899,"cond_rad_walkBlind_1.5.csv"
"subject8",96.6393654025,"cond_rad_walkBlind_1.5.csv"
"subject9",162.36611069,"cond_rad_walkBlind_1.5.csv"
"subject1",133.531360445,"cond_rad_walkBlind_2.0.csv"
"subject10",77.2878901232,"cond_rad_walkBlind_2.0.csv"
"subject11",43.8951718652,"cond_rad_walkBlind_2.0.csv"
"subject12",74.6103117575,"cond_rad_walkBlind_2.0.csv"
"subject13",127.54190106,"cond_rad_walkBlind_2.0.csv"
"subject14",67.1645350571,"cond_rad_walkBlind_2.0.csv"
"subject15",67.962832551,"cond_rad_walkBlind_2.0.csv"
"subject16",60.3330063831,"cond_rad_walkBlind_2.0.csv"
"subject18",83.3011698303,"cond_rad_walkBlind_2.0.csv"
"subject19",42.2965512234,"cond_rad_walkBlind_2.0.csv"
"subject2",71.0715268742,"cond_rad_walkBlind_2.0.csv"
"subject20",91.8871906628,"cond_rad_walkBlind_2.0.csv"
"subject21",77.9760726102,"cond_rad_walkBlind_2.0.csv"
"subject22",97.5599063789,"cond_rad_walkBlind_2.0.csv"
"subject24",48.2320012656,"cond_rad_walkBlind_2.0.csv"
"subject25",71.6064400519,"cond_rad_walkBlind_2.0.csv"
"subject26",59.0954152391,"cond_rad_walkBlind_2.0.csv"
"subject3",155.312348742,"cond_rad_walkBlind_2.0.csv"
"subject4",57.4031152903,"cond_rad_walkBlind_2.0.csv"
"subject5",22.9122072149,"cond_rad_walkBlind_2.0.csv"
"subject6",53.5573123254,"cond_rad_walkBlind_2.0.csv"
"subject7",63.1207289348,"cond_rad_walkBlind_2.0.csv"
"subject8",109.932391487,"cond_rad_walkBlind_2.0.csv"
"subject9",154.851674896,"cond_rad_walkBlind_2.0.csv"
"subject1",151.204307595,"cond_rad_walkBlind_2.5.csv"
"subject10",41.4499885222,"cond_rad_walkBlind_2.5.csv"
"subject11",31.4959155933,"cond_rad_walkBlind_2.5.csv"
"subject12",86.5607718466,"cond_rad_walkBlind_2.5.csv"
"subject13",100.440465777,"cond_rad_walkBlind_2.5.csv"
"subject14",56.5791438612,"cond_rad_walkBlind_2.5.csv"
"subject15",80.1236080735,"cond_rad_walkBlind_2.5.csv"
"subject16",102.069665522,"cond_rad_walkBlind_2.5.csv"
"subject18",96.6397442607,"cond_rad_walkBlind_2.5.csv"
"subject19",73.45611739,"cond_rad_walkBlind_2.5.csv"
"subject2",82.8649109568,"cond_rad_walkBlind_2.5.csv"
"subject20",95.0714406029,"cond_rad_walkBlind_2.5.csv"
"subject21",30.9513994487,"cond_rad_walkBlind_2.5.csv"
"subject22",91.2513577868,"cond_rad_walkBlind_2.5.csv"
"subject24",42.9049582915,"cond_rad_walkBlind_2.5.csv"
"subject25",75.2334136636,"cond_rad_walkBlind_2.5.csv"
"subject26",16.5874759798,"cond_rad_walkBlind_2.5.csv"
"subject3",146.820757955,"cond_rad_walkBlind_2.5.csv"
"subject4",56.9211847577,"cond_rad_walkBlind_2.5.csv"
"subject5",36.8882618615,"cond_rad_walkBlind_2.5.csv"
"subject6",90.8291500792,"cond_rad_walkBlind_2.5.csv"
"subject7",48.4342457251,"cond_rad_walkBlind_2.5.csv"
"subject8",143.739663025,"cond_rad_walkBlind_2.5.csv"
"subject9",156.373880783,"cond_rad_walkBlind_2.5.csv"
"subject1",144.160905981,"cond_rad_walkBlind_3.0.csv"
"subject10",124.282988526,"cond_rad_walkBlind_3.0.csv"
"subject11",30.6660222601,"cond_rad_walkBlind_3.0.csv"
"subject12",54.7473382436,"cond_rad_walkBlind_3.0.csv"
"subject13",133.296378257,"cond_rad_walkBlind_3.0.csv"
"subject14",77.7109269303,"cond_rad_walkBlind_3.0.csv"
"subject15",75.3152802828,"cond_rad_walkBlind_3.0.csv"
"subject16",82.5635584275,"cond_rad_walkBlind_3.0.csv"
"subject18",105.252519862,"cond_rad_walkBlind_3.0.csv"
"subject19",51.6419330724,"cond_rad_walkBlind_3.0.csv"
"subject2",87.1403759565,"cond_rad_walkBlind_3.0.csv"
"subject20",109.987956556,"cond_rad_walkBlind_3.0.csv"
"subject21",60.2254401658,"cond_rad_walkBlind_3.0.csv"
"subject22",114.561429584,"cond_rad_walkBlind_3.0.csv"
"subject24",65.4182466402,"cond_rad_walkBlind_3.0.csv"
"subject25",76.0516963835,"cond_rad_walkBlind_3.0.csv"
"subject26",69.7024245193,"cond_rad_walkBlind_3.0.csv"
"subject3",170.521985391,"cond_rad_walkBlind_3.0.csv"
"subject4",57.8298706015,"cond_rad_walkBlind_3.0.csv"
"subject5",56.6341981534,"cond_rad_walkBlind_3.0.csv"
"subject6",83.2350671704,"cond_rad_walkBlind_3.0.csv"
"subject7",46.8614248811,"cond_rad_walkBlind_3.0.csv"
"subject8",105.03330676,"cond_rad_walkBlind_3.0.csv"
"subject9",140.781389361,"cond_rad_walkBlind_3.0.csv"
"subject1",104.781411968,"cond_rad_walkVision_0.5.csv"
"subject10",93.380443963,"cond_rad_walkVision_0.5.csv"
"subject11",17.7810924273,"cond_rad_walkVision_0.5.csv"
"subject12",23.4846969301,"cond_rad_walkVision_0.5.csv"
"subject13",74.9427286968,"cond_rad_walkVision_0.5.csv"
"subject14",36.7220257687,"cond_rad_walkVision_0.5.csv"
"subject15",52.3749054843,"cond_rad_walkVision_0.5.csv"
"subject16",48.3471915687,"cond_rad_walkVision_0.5.csv"
"subject18",70.8294540335,"cond_rad_walkVision_0.5.csv"
"subject19",21.2149542187,"cond_rad_walkVision_0.5.csv"
"subject2",127.50517478,"cond_rad_walkVision_0.5.csv"
"subject20",54.9063024268,"cond_rad_walkVision_0.5.csv"
"subject21",100.420101142,"cond_rad_walkVision_0.5.csv"
"subject22",58.5082969335,"cond_rad_walkVision_0.5.csv"
"subject24",78.7556861752,"cond_rad_walkVision_0.5.csv"
"subject25",26.370504105,"cond_rad_walkVision_0.5.csv"
"subject26",77.2112098688,"cond_rad_walkVision_0.5.csv"
"subject3",37.4717220129,"cond_rad_walkVision_0.5.csv"
"subject4",19.7989893323,"cond_rad_walkVision_0.5.csv"
