EndDate,CTS_ID,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20
1/14/2020 14:28,CTS001,3,3,2,3,3,3,2,2,3,3,3,2,3,2,4,3,3,2,4,4
1/15/2020 18:05,CTS003,2,3,3,3,2,3,2,2,2,2,2,3,4,3,3,2,2,2,3,3
1/18/2020 13:29,CTS006,3,3,3,3,3,3,4,4,4,3,3,2,2,3,2,3,2,3,3,3
1/18/2020 23:20,CTS005,3,4,4,3,3,2,3,2,2,2,3,4,4,3,2,1,2,3,2,2
1/20/2020 10:37,CTS008,4,1,1,2,4,4,1,2,4,4,2,2,1,1,4,4,2,2,4,4
1/20/2020 13:20,CTS009,3,2,2,3,4,3,2,2,4,3,3,2,3,3,3,4,2,2,4,4
1/20/2020 19:19,CTS007,4,3,1,2,4,3,3,4,4,3,3,3,3,3,3,3,2,2,4,4
1/20/2020 22:28,CTS010,3,2,2,2,3,3,1,2,3,3,2,1,3,1,3,2,3,3,3,3
1/22/2020 11:22,CTS012,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3
1/22/2020 14:25,CTS011,1,4,3,4,1,2,3,3,2,1,4,4,3,4,1,3,3,4,3,3
1/23/2020 11:39,CTS013,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,4,2,2,2
1/23/2020 14:53,CTS004,4,1,1,1,4,4,1,2,4,4,1,1,1,1,4,4,1,1,4,4
1/25/2020 10:45,CTS015,3,3,1,2,4,4,1,1,4,4,2,1,1,1,3,4,2,1,4,4
1/25/2020 11:23,CTS014,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
1/29/2020 22:33,CTS016,2,4,3,4,3,3,3,2,4,3,4,3,4,4,3,1,2,4,3,3
2/3/2020 14:21,CTS018,3,1,1,2,4,4,1,2,4,4,2,1,1,1,4,4,2,1,4,4
2/4/2020 12:19,CTS019,3,2,2,2,4,3,1,2,3,3,1,2,1,2,2,4,2,1,3,2
2/4/2020 15:54,CTS020,3,4,3,3,4,2,2,4,4,3,3,3,3,2,1,2,2,3,2,2
2/4/2020 17:48,CTS021,2,4,3,4,2,2,4,4,1,2,4,4,4,4,2,2,4,3,2,2
2/6/2020 14:17,CTS022,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,4,3,2
2/11/2020 14:02,CTS017,4,3,2,2,3,4,2,2,4,4,3,2,3,1,4,4,3,3,4,4
