Q62,immigration_a,immigration_b,abortion_a,abortion_b,vote_a,vote_b,tax_a,tax_b,torture_a,torture_b,affirmaction_a,affirmaction_b,military_a,military_b,covidgov_a,covidgov_b,AC_a,AC_b,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_19,Q37_20,Q8,Q10,Q12,Q39,Q40,Q14,Q16,Q18,Q20,Q62,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q58,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip
1,2,3,3,3,3,3,2,3,3,4,4,3,3,3,2,2,3,2,7,6,6,8,5,6,2,5,6,8,7,7,8,1,5,8,7,9,6,7,1,5,5,5,5,6,1,1,26,4,5,4,5,6,5,it was so cool.,5eb32f06-1a93-fad6-f05d-1a2c5bd2c3b3,21,1,11,11,8,1,9,3,33904
1,2,2,5,2,3,2,2,2,3,1,4,2,2,1,4,3,3,5,4,9,3,9,7,5,7,4,2,9,6,5,9,2,6,8,7,9,8,5,4,6,1,4,2,5,1,2,83,5,5,5,7,7,2,IT SEEMED WELL DESIGNED,5eb3308c-7aa0-c8ea-3f20-049a7b7b571e,83,2,2,1,1,2,1,4,92346
1,1,5,1,5,2,4,1,4,2,1,2,5,1,5,1,5,3,5,9,9,9,9,9,9,9,9,8,9,8,9,7,8,9,9,9,9,9,9,1,4,4,7,7,7,2,1,41,5,1,7,7,1,1,i like to take this study,5eb33261-9432-72d7-d0fa-cd4c5d6c2bd7,41,1,20,1,1,7,10,1,13207
1,1,5,1,5,2,5,1,1,3,1,3,1,1,1,3,1,3,5,6,9,3,6,5,6,5,5,2,5,7,4,8,2,4,5,7,5,5,2,4,7,1,1,1,4,2,2,55,5,6,7,7,7,1,,5eb32f51-7e77-22ff-1d10-a4d205eacbc1,55,2,3,1,1,2,10,3,34761
1,1,3,2,4,2,5,3,1,3,1,3,1,5,3,3,3,3,5,5,9,4,8,8,4,8,6,4,8,9,6,8,5,3,7,2,9,6,3,4,2,4,4,4,6,3,2,35,5,5,6,4,4,2,No further comments,5eb34849-17f5-da8f-aceb-40cd0d04ad66,35,2,1,1,1,6,4,4,83617
1,1,5,2,2,2,3,3,3,5,5,2,5,3,4,3,3,3,5,5,6,5,5,5,5,6,6,5,6,7,4,5,4,6,4,5,5,5,3,5,4,4,4,4,6,2,2,35,5,7,6,6,6,5,No,5eb3582e-3271-723a-ae55-42a6e7b9b0d3,35,2,11,1,1,6,9,3,30022
1,4,2,3,4,3,4,3,1,4,1,4,3,4,3,4,2,4,5,7,4,8,6,3,8,7,9,2,6,6,9,6,5,9,8,1,7,8,5,4,6,2,6,4,6,3,3,24,5,6,6,5,4,3,yay,5eb3585e-6f63-1355-0550-a3fa27c5b389,24,2,2,11,2,1,7,3,76661
1,4,2,3,3,4,2,3,2,4,4,3,3,2,3,3,3,4,1,7,4,6,8,8,6,4,4,6,5,7,6,2,5,5,7,7,3,8,7,3,3,3,1,4,5,2,2,28,7,6,2,7,2,7,No,5eb35899-e2b8-19e0-e81b-499244b772d7,28,2,9,3,2,6,5,3,74820
1,3,1,1,1,3,1,2,1,2,1,4,1,2,1,3,1,3,1,5,5,1,6,4,7,1,3,4,5,7,5,5,1,5,3,4,5,5,5,1,4,3,2,3,6,1,2,49,5,4,7,7,7,1,,5eb35853-96c7-dc0a-bd18-44e91208c8d4,49,2,13,1,2,7,2,2,60047
1,5,5,4,3,5,5,2,2,3,2,5,5,4,2,3,2,3,5,3,4,4,3,9,8,3,6,4,4,4,7,3,3,1,4,1,3,3,1,4,3,5,5,5,6,1,2,24,4,7,6,7,7,1,,5eb35853-9386-2a14-45e7-22514bf43a08,24,2,2,15,2,6,2,4,94541
