,subNum, blockNum, trialNum, curvature, width,occludedHalf, startSide, response, RT,,,,,
,1,1,1,-45,0.80 ,1,1,1,3.620 ,,,,,
,1,1,2,15,1.20 ,1,1,0,3.610 ,,,,,
,1,1,3,30,1.20 ,2,-1,1,3.610 ,,,,,
,1,1,4,-30,0.80 ,2,-1,1,3.650 ,,,,,
,1,1,5,-15,1.00 ,2,-1,1,3.600 ,,,,,
,1,1,6,-15,1.00 ,1,1,0,3.600 ,,,,,
,1,1,7,-15,0.80 ,2,-1,1,3.590 ,,,,,
,1,1,8,-45,0.80 ,2,-1,1,3.570 ,,,,,
,1,1,9,-15,0.80 ,1,1,0,3.580 ,,,,,
,1,1,10,-45,1.00 ,1,1,1,3.610 ,,,,,
,1,1,11,0,1.00 ,1,1,0,3.590 ,,,,,
,1,1,12,0,1.20 ,1,1,0,3.600 ,,,,,
,1,1,13,-15,1.20 ,2,-1,1,3.630 ,,,,,
,1,1,14,0,0.80 ,2,-1,1,3.800 ,,,,,
,1,1,15,15,0.80 ,2,-1,1,3.670 ,,,,,
,1,1,16,-30,1.00 ,1,1,1,3.600 ,,,,,
,1,1,17,-30,0.80 ,1,1,1,3.600 ,,,,,
,1,1,18,0,0.80 ,1,1,0,3.580 ,,,,,
,1,1,19,0,1.20 ,2,-1,0,3.590 ,,,,,
,1,1,20,30,1.00 ,2,-1,0,3.610 ,,,,,
,1,1,21,0,1.00 ,2,-1,0,3.580 ,,,,,
,1,1,22,45,1.20 ,2,-1,1,4.000 ,,,,,
,1,1,23,30,1.20 ,1,1,1,3.590 ,,,,,
,1,1,24,15,0.80 ,1,1,1,3.580 ,,,,,
,1,1,25,45,1.20 ,1,1,1,3.600 ,,,,,
,1,1,26,45,0.80 ,1,1,1,3.610 ,,,,,
,1,1,27,15,1.00 ,1,1,0,3.590 ,,,,,
,1,1,28,45,1.00 ,1,1,1,3.610 ,,,,,
,1,1,29,45,0.80 ,2,-1,1,3.590 ,,,,,
,1,1,30,45,1.00 ,2,-1,1,3.870 ,,,,,
,1,1,31,-45,1.00 ,2,-1,1,3.580 ,,,,,
,1,1,32,-30,1.00 ,2,-1,1,3.580 ,,,,,
,1,1,33,-30,1.20 ,1,1,1,3.550 ,,,,,
,1,1,34,-15,1.20 ,1,1,1,3.590 ,,,,,
,1,1,35,-45,1.20 ,1,1,1,3.590 ,,,,,
,1,1,36,-30,1.20 ,2,-1,1,3.600 ,,,,,
,1,1,37,-45,1.20 ,2,-1,1,3.600 ,,,,,
,1,1,38,15,1.00 ,2,-1,0,3.740 ,,,,,
,1,1,39,30,1.00 ,1,1,0,3.570 ,,,,,
,1,1,40,30,0.80 ,2,-1,1,3.570 ,,,,,
,1,1,41,15,1.20 ,2,-1,0,3.580 ,,,,,
,1,1,42,30,0.80 ,1,1,0,3.590 ,,,,,
,1,2,1,-15,1.20 ,1,1,1,3.580 ,,,,,
,1,2,2,-45,1.00 ,2,-1,1,3.610 ,,,,,
,1,2,3,0,0.80 ,1,1,0,3.580 ,,,,,
,1,2,4,45,0.80 ,1,1,0,3.640 ,,,,,
,1,2,5,-45,0.80 ,2,-1,1,3.580 ,,,,,
,1,2,6,0,0.80 ,2,-1,0,3.460 ,,,,,
,1,2,7,-15,1.00 ,1,1,1,3.620 ,,,,,
,1,2,8,-45,0.80 ,1,1,1,3.560 ,,,,,
,1,2,9,45,1.20 ,1,1,0,3.550 ,,,,,
,1,2,10,-15,0.80 ,2,-1,1,3.600 ,,,,,
,1,2,11,-15,0.80 ,1,1,1,3.580 ,,,,,
,1,2,12,-30,0.80 ,2,-1,1,3.780 ,,,,,
,1,2,13,30,1.00 ,1,1,0,3.650 ,,,,,
,1,2,14,0,1.20 ,2,-1,0,3.650 ,,,,,
,1,2,15,45,1.20 ,2,-1,1,3.620 ,,,,,
,1,2,16,-30,1.00 ,2,-1,1,3.580 ,,,,,
,1,2,17,15,1.00 ,1,1,0,3.640 ,,,,,
