subNum, blockNum, trialNum, curvature, width,occludedHalf, startSide, response, RT,,,,,
1,1,1,-15,1.20 ,1,1,0,5.990 ,,,,,
1,1,2,30,0.80 ,1,1,1,4.520 ,,,,,
1,1,3,15,0.80 ,1,1,0,4.620 ,,,,,
1,1,4,45,0.80 ,2,-1,1,4.240 ,,,,,
1,1,5,-45,0.80 ,1,1,0,4.300 ,,,,,
1,1,6,0,1.20 ,2,-1,0,3.740 ,,,,,
1,1,7,45,1.00 ,2,-1,1,4.250 ,,,,,
1,1,8,-30,0.80 ,1,1,0,4.590 ,,,,,
1,1,9,-15,0.80 ,1,1,1,4.880 ,,,,,
1,1,10,-45,0.80 ,2,-1,1,4.780 ,,,,,
1,1,11,15,0.80 ,2,-1,1,4.160 ,,,,,
1,1,12,15,1.20 ,2,-1,1,5.180 ,,,,,
1,1,13,0,1.00 ,2,-1,1,4.370 ,,,,,
1,1,14,-15,1.20 ,2,-1,1,4.550 ,,,,,
1,1,15,0,0.80 ,2,-1,0,4.430 ,,,,,
1,1,16,-30,1.00 ,2,-1,0,5.480 ,,,,,
1,1,17,45,1.00 ,1,1,1,3.660 ,,,,,
1,1,18,30,1.00 ,2,-1,1,4.110 ,,,,,
1,1,19,30,1.00 ,1,1,1,3.750 ,,,,,
1,1,20,45,1.20 ,1,1,0,3.950 ,,,,,
1,1,21,-45,1.00 ,1,1,0,4.330 ,,,,,
1,1,22,-15,1.00 ,1,1,1,5.500 ,,,,,
1,1,23,15,1.00 ,2,-1,1,3.620 ,,,,,
1,1,24,-15,1.00 ,2,-1,1,5.030 ,,,,,
1,1,25,30,1.20 ,1,1,1,3.600 ,,,,,
1,1,26,0,1.20 ,1,1,1,4.380 ,,,,,
1,1,27,30,0.80 ,2,-1,1,3.770 ,,,,,
1,1,28,15,1.00 ,1,1,1,4.040 ,,,,,
1,1,29,-30,1.00 ,1,1,1,3.990 ,,,,,
1,1,30,45,1.20 ,2,-1,1,3.640 ,,,,,
1,1,31,-15,0.80 ,2,-1,0,5.140 ,,,,,
1,1,32,-45,1.00 ,2,-1,1,16.200 ,,,,,
1,1,33,-30,1.20 ,2,-1,1,4.140 ,,,,,
1,1,34,0,1.00 ,1,1,0,4.140 ,,,,,
1,1,35,15,1.20 ,1,1,1,6.250 ,,,,,
1,1,36,-45,1.20 ,1,1,1,4.130 ,,,,,
1,1,37,30,1.20 ,2,-1,1,4.750 ,,,,,
1,1,38,-45,1.20 ,2,-1,1,4.120 ,,,,,
1,1,39,0,0.80 ,1,1,0,5.100 ,,,,,
1,1,40,-30,0.80 ,2,-1,1,4.190 ,,,,,
1,1,41,-30,1.20 ,1,1,1,4.130 ,,,,,
1,1,42,45,0.80 ,1,1,1,4.270 ,,,,,
1,2,1,0,0.80 ,1,1,0,4.800 ,,,,,
1,2,2,0,0.80 ,2,-1,0,4.280 ,,,,,
1,2,3,-30,0.80 ,1,1,0,4.970 ,,,,,
1,2,4,45,1.00 ,2,-1,1,4.130 ,,,,,
1,2,5,15,1.20 ,1,1,1,4.710 ,,,,,
1,2,6,15,1.00 ,1,1,0,4.470 ,,,,,
1,2,7,30,1.20 ,2,-1,0,3.970 ,,,,,
1,2,8,15,1.20 ,2,-1,1,5.290 ,,,,,
1,2,9,-15,0.80 ,2,-1,1,5.980 ,,,,,
1,2,10,45,1.00 ,1,1,1,4.290 ,,,,,
1,2,11,-45,1.00 ,1,1,0,4.640 ,,,,,
1,2,12,-30,1.00 ,1,1,0,4.800 ,,,,,
1,2,13,15,1.00 ,2,-1,1,3.590 ,,,,,
1,2,14,30,0.80 ,1,1,1,4.180 ,,,,,
1,2,15,30,1.00 ,1,1,0,4.300 ,,,,,
1,2,16,-30,1.00 ,2,-1,1,3.780 ,,,,,
1,2,17,-45,0.80 ,1,1,1,4.120 ,,,,,
1,2,18,-45,1.20 ,1,1,0,4.020 ,,,,,
1,2,19,30,0.80 ,2,-1,1,3.700 ,,,,,
1,2,20,-15,1.20 ,2,-1,1,3.450 ,,,,,
1,2,21,45,1.20 ,1,1,0,3.770 ,,,,,
1,2,22,-15,0.80 ,1,1,0,4.530 ,,,,,
1,2,23,-30,1.20 ,2,-1,1,3.960 ,,,,,
1,2,24,0,1.20 ,2,-1,1,4.100 ,,,,,
1,2,25,0,1.00 ,2,-1,1,3.700 ,,,,,
1,2,26,-15,1.00 ,1,1,0,3.680 ,,,,,
1,2,27,-15,1.00 ,2,-1,1,3.490 ,,,,,
1,2,28,30,1.20 ,1,1,0,4.880 ,,,,,
1,2,29,0,1.20 ,1,1,0,4.260 ,,,,,
1,2,30,45,0.80 ,2,-1,1,4.000 ,,,,,
1,2,31,15,0.80 ,1,1,1,4.140 ,,,,,
1,2,32,-30,0.80 ,2,-1,1,3.610 ,,,,,
1,2,33,-45,0.80 ,2,-1,1,3.500 ,,,,,
1,2,34,30,1.00 ,2,-1,1,3.670 ,,,,,
1,2,35,-30,1.20 ,1,1,1,4.020 ,,,,,
1,2,36,-45,1.00 ,2,-1,1,3.650 ,,,,,
1,2,37,45,0.80 ,1,1,1,4.600 ,,,,,
1,2,38,45,1.20 ,2,-1,0,3.630 ,,,,,
1,2,39,-15,1.20 ,1,1,0,4.140 ,,,,,
1,2,40,15,0.80 ,2,-1,1,3.580 ,,,,,
1,2,41,-45,1.20 ,2,-1,1,4.400 ,,,,,
1,2,42,0,1.00 ,1,1,1,4.620 ,,,,,
1,3,1,-15,1.00 ,1,1,0,4.180 ,,,,,
1,3,2,-15,1.20 ,2,-1,0,3.780 ,,,,,
1,3,3,0,0.80 ,1,1,0,3.920 ,,,,,
1,3,4,-15,1.20 ,1,1,0,3.970 ,,,,,
1,3,5,30,1.00 ,2,-1,1,4.440 ,,,,,
1,3,6,-15,0.80 ,1,1,1,3.590 ,,,,,
1,3,7,15,0.80 ,2,-1,1,3.360 ,,,,,
1,3,8,45,1.00 ,1,1,0,3.620 ,,,,,
1,3,9,30,0.80 ,1,1,0,4.420 ,,,,,
1,3,10,-15,0.80 ,2,-1,1,3.980 ,,,,,
1,3,11,30,1.20 ,2,-1,1,4.040 ,,,,,
1,3,12,-30,1.20 ,2,-1,1,3.630 ,,,,,
1,3,13,45,1.20 ,1,1,0,4.060 ,,,,,
1,3,14,0,1.20 ,2,-1,0,4.490 ,,,,,
