subid,gender,age,videogames,car accident,loss of control - time on target,loss of control - accuracy,loss of control - RT,prob monitor - accuracy,prob monitor - RT,pursuit rotor task - time on target,internal LOC,NFC,BIS-11 - attentional,BIS-11 - motor,BIS-11 - nonplanning,perceptual abberation,magical ideation
6000,NaN,NaN,NaN,NaN,0.76216,0.925,3.6473,0.25,6602.7,0.8854,30,52,24,28,25,4,7
6001,NaN,NaN,NaN,NaN,0.83801,0.95,3.0415,0.54545,9549.7,0.906,41,44,16,31,29,3,1
6002,NaN,NaN,NaN,NaN,0.82716,0.525,10.882,0.076923,4427.5,NaN,40,73,10,22,21,4,7
6003,NaN,NaN,NaN,NaN,0.91082,0.1,0.75016,0.3125,6340.2,0.832,21,53,22,30,33,6,3
6004,1,20,5,0,0.86102,0.5,7.4827,0.8,5615.3,NaN,30,62,19,22,23,1,3
6005,0,21,0,0,0.69337,0.525,8.1079,0.81818,7703.7,0.865,35,42,19,20,25,5,11
6006,1,18,5,0,0.85862,0.775,3.7427,NaN,NaN,NaN,41,78,17,16,14,4,1
6007,1,19,9,0,0.91179,0.95,3.6322,NaN,NaN,0.9232,37,62,17,25,24,14,21
6008,1,21,10,0,0.81768,0.975,3.3607,NaN,NaN,0.933,36,45,14,26,25,1,4
6009,1,21,0,0,0.89997,0.975,3.3042,0.9,3218.2,NaN,35,60,18,28,25,4,6
6010,0,20,2,0,0.76411,0.5,3.6499,NaN,NaN,0.885,36,51,22,28,24,17,9
6011,1,19,0,0,0.85607,0.5,NaN,0,0,0.94,31,70,21,24,22,17,19
6012,0,19,2,0,NaN,NaN,NaN,0.22222,2057.7,0.859,28,68,22,29,24,5,9
6014,0,19,0,0,0.67858,0.725,5.4318,0.064516,16131,0.37,23,44,21,29,31,16,18
6015,0,20,3,0,0.87896,0.925,3.4173,0.090909,11704,0.964,43,83,16,16,12,6,12
6016,1,20,7.5,0,0.88013,0.475,NaN,0.54545,6933.8,0.931,41,75,16,22,15,5,1
6017,1,21,10,0,0.89653,0.95,3.2489,0.3,8112,0.982,39,66,13,23,18,0,0
6019,0,20,12,0,0.87401,0.95,3.441,0.63636,5938,0.903,43,74,19,20,16,1,3
