"T1_sex","T1_age","T1_age_category","T1_education","T1_occupation","T1_sexual_orientation","T2_relationship_status","T2_relationship_type","MV_1","MV_2","MV_3","T1_pref_WT_1","T1_pref_WT_2","T1_pref_WT_3","T1_pref_WT_4","T1_pref_WT_5","T1_pref_VA_1","T1_pref_VA_2","T1_pref_VA_3","T1_pref_VA_4","T1_pref_VA_5","T1_pref_SR_1","T1_pref_SR_2","T1_pref_SR_3","T1_pref_SR_4","T1_pref_SR_5","T1_pref_CH_1","T1_pref_CH_2","T1_pref_CH_3","T1_pref_CH_4","T1_pref_CH_5","T2_pref_WT_1","T2_pref_WT_2","T2_pref_WT_3","T2_pref_WT_4","T2_pref_WT_5","T2_pref_VA_1","T2_pref_VA_2","T2_pref_VA_3","T2_pref_VA_4","T2_pref_VA_5","T2_pref_SR_1","T2_pref_SR_2","T2_pref_SR_3","T2_pref_SR_4","T2_pref_SR_5","T2_pref_CH_1","T2_pref_CH_2","T2_pref_CH_3","T2_pref_CH_4","T2_pref_CH_5","T2_partner_WT_1","T2_partner_WT_2","T2_partner_WT_3","T2_partner_WT_4","T2_partner_WT_5","T2_partner_VA_1","T2_partner_VA_2","T2_partner_VA_3","T2_partner_VA_4","T2_partner_VA_5","T2_partner_SR_1","T2_partner_SR_2","T2_partner_SR_3","T2_partner_SR_4","T2_partner_SR_5","T2_partner_CH_1","T2_partner_CH_2","T2_partner_CH_3","T2_partner_CH_4","T2_partner_CH_5"
"female",NA,"25 - 29","high school degree","non-student","heterosexual","relationship","committed",3,3,4,6,7,7,7,6,6,4,6,7,4,3,7,5,6,5,6,7,5,6,5,6,7,6,7,5,6,5,5,7,4,4,6,4,6,3,6,7,6,7,5,5,6,6,6,5,6,6,6,6,5,5,6,5,4,5,5,6,6,6,6
"female",NA,"18 - 24","high school degree","university student","heterosexual","single",NA,2,4,3,5,6,6,6,3,1,5,5,7,2,1,7,2,1,3,5,4,3,6,5,5,5,6,7,5,3,4,4,7,3,4,6,1,1,3,1,4,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male",NA,"35 - 40","high school degree","non-student","heterosexual","relationship","committed",4,5,4,6,6,4,6,6,5,7,6,7,7,5,5,4,4,3,5,6,5,6,4,6,6,6,6,6,6,7,6,6,7,6,5,5,4,4,6,5,4,5,5,4,2,5,6,4,4,5,2,6,1,2,5,5,3,2,3,6,7,6,4
"female",NA,"18 - 24","high school degree","university student","heterosexual","single",NA,1,4,1,7,7,7,7,7,1,1,1,1,3,3,5,1,2,1,6,5,5,5,3,6,3,7,7,5,4,6,5,6,4,5,6,5,6,1,6,6,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female",NA,"30 - 34","high school degree","university student","heterosexual","relationship","committed",5,5,5,7,7,7,7,5,7,6,5,7,4,6,6,4,6,1,5,7,5,5,6,6,6,7,7,5,7,6,3,7,3,6,7,4,5,3,5,7,4,7,5,5,4,6,6,5,7,7,5,7,6,4,5,6,7,7,7,4,6,5,3
"female",NA,"25 - 29","high school degree","university student","heterosexual","single",NA,3,3,3,4,5,5,3,3,5,3,3,4,4,5,2,4,3,5,4,4,4,3,4,4,2,4,2,2,5,2,4,5,2,5,3,2,2,4,3,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male",NA,"18 - 24","high school degree","university student","heterosexual","relationship","affair",2,3,3,6,6,5,6,6,6,6,5,6,3,4,5,3,3,2,4,7,4,5,3,6,5,7,7,5,6,5,4,6,4,3,4,3,4,3,4,6,2,4,4,6,5,6,7,6,5,5,5,5,3,4,4,4,4,4,4,5,4,4,4
"female",NA,"18 - 24","high school degree","university student","heterosexual","single",NA,4,4,3,7,7,7,7,6,6,5,5,6,2,2,7,2,2,1,3,7,4,5,3,6,5,5,6,5,6,5,4,7,2,2,6,2,2,2,4,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male",NA,"25 - 29","high school degree","university student","heterosexual","single",NA,2,3,3,6,5,5,6,6,4,4,4,5,2,5,6,4,6,3,6,4,4,5,5,6,6,6,7,7,5,5,4,4,2,5,6,5,6,4,6,4,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female",NA,"25 - 29","high school degree","university student","heterosexual","single",NA,3,3,3,7,6,7,7,7,4,4,4,5,6,5,6,5,7,4,5,7,5,6,4,7,7,7,7,7,5,5,5,5,5,6,6,5,6,5,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
