cond,subj,nationality,order test,sex,months,days,age in days,Character-Familiarization Trials,Order-Familiarization Trials,disobey,obey,average reliability
Leader,stanley-1,usa,dis-ob,M,20,5,605,75.00,.,60.00,39.70,0.99
Leader,stanley-2,usa,dis-ob,M,20,23,623,75.00,.,60.00,43.30,0.98
Leader,stanley-hab-1,usa,dis-ob,M,21,24,654,75.00,35.00,41.70,30.85,0.97
Leader,Stanley-hab-9,usa,dis-ob,M,21,13,643,75.00,35.00,53.35,39.40,0.95
Leader,Stanley-hab-33,ita,dis-ob,M,20,4,604,75.00,35.00,33.20,18.60,0.97
Leader,stanley-hab-4,usa,dis-ob,F,20,1,601,72.70,23.35,34.90,15.40,0.93
Leader,Stanley-hab-8,usa,dis-ob,F,21,1,631,71.85,13.60,28.70,22.40,0.94
Leader,Stanley-hab-37,ita,dis-ob,F,21,23,653,75.00,23.50,60.00,44.60,0.98
Leader,Stanley-hab-6,usa,ob-dis,M,20,21,621,75.00,35.00,35.90,49.30,0.93
Leader,Stanley-hab-7,usa,ob-dis,M,20,5,605,75.00,35.00,56.70,45.65,0.96
Leader,Stanley-hab-32,ita,ob-dis,M,22,21,681,75.00,35.00,52.60,44.90,0.96
Leader,Stanley-hab-45,ita,ob-dis,M,20,7,607,38.95,30.50,37.45,34.70,0.97
Leader,stanley-hab-3,usa,ob-dis,F,20,22,622,45.15,35.00,33.00,44.90,0.96
Leader,Stanley-hab-11,usa,ob-dis,F,20,4,604,75.00,21.65,32.30,17.10,0.98
Leader,Stanley-hab-39,ita,ob-dis,F,21,12,642,41.10,24.55,36.75,19.80,0.9
Leader,Stanley-hab-43,ita,ob-dis,F,20,18,618,75.00,22.25,39.30,34.25,0.94
Bully,Stanley-hab-17,usa,dis-ob,M,23,22,712,73.65,21.70,17.60,24.40,0.87
Bully,Stanley-hab-27,ita,dis-ob,M,20,19,619,44.40,19.70,43.60,30.60,0.95
Bully,Stanley-hab-28,ita,dis-ob,M,20,25,625,34.60,35.00,37.35,60.00,0.95
Bully,Stanley-hab-48,ita,dis-ob,M,20,9,609,75.00,35.00,55.70,38.90,0.97
Bully,Stanley-hab-16,usa,dis-ob,F,22,2,662,75.00,29.65,31.85,48.80,0.97
Bully,Stanley-hab-20,usa,dis-ob,F,20,18,618,41.75,13.95,17.00,25.80,.
Bully,Stanley-hab-23,ita,dis-ob,F,22,17,677,75.00,35.00,45.40,34.50,0.97
Bully,Stanley-hab-46,ita,dis-ob,F,23,0,690,64.90,35.00,60.00,45.40,0.96
Bully,Stanley-hab-14,usa,ob-dis,M,20,3,603,75.00,35.00,41.20,47.25,0.98
Bully,Stanley-hab-31,ita,ob-dis,M,20,21,621,75.00,35.00,45.95,51.40,0.93
Bully,Stanley-hab-49,ita,ob-dis,M,20,7,607,57.30,35.00,38.15,60.00,0.97
Bully,Stanley-hab-50,ita,ob-dis,F,20,9,609,33.40,32.05,43.50,60.00,0.96
Bully,Stanley-hab-18,usa,ob-dis,F,23,5,695,75.00,35.00,54.95,60.00,0.98
Bully,Stanley-hab-19,usa,ob-dis,F,22,24,684,69.25,35.00,57.25,40.00,0.98
Bully,Stanley-hab-30,ita,ob-dis,F,20,22,622,53.90,35.00,46.50,41.55,0.94
Bully,Stanley-hab-47,ita,ob-dis,F,21,6,636,71.70,25.55,27.10,52.70,0.97
