cond,subj,nationality,order test,sex,age,,age in days,Char-Fam,Order-Fam,disobey,obey,average reliability
Powerless-character,Stanley-hab-77,ita,dis-ob,M,23,5,695,61.45,26.50,23.50,43.65,0.95
Powerless-character,Stanley-hab-81,ita,dis-ob,M,21,10,640,75.00,33.10,17.40,50.60,0.98
Powerless-character,Stanley-hab-92,ita,dis-ob,M,20,6,606,54.35,24.50,39.00,38.95,0.96
Powerless-character,Stanley-hab-94,ita,dis-ob,M,20,5,605,75.00,35.00,47.40,57.70,0.99
Powerless-character,Stanley-hab-76,ita,dis-ob,F,20,5,605,68.15,25.85,19.85,17.00,0.95
Powerless-character,Stanley-hab-80,ita,dis-ob,F,21,19,649,66.55,29.70,39.55,30.70,0.99
Powerless-character,Stanley-hab-85,ita,dis-ob,F,21,5,635,70.15,26.05,60.00,53.85,0.96
Powerless-character,Stanley-hab-95,ita,dis-ob,F,20,0,600,63.30,29.15,37.80,51.50,0.99
Powerless-character,Stanley-hab-88,ita,ob-dis,M,21,20,650,58.00,17.70,37.15,42.10,0.97
Powerless-character,Stanley-hab-89,ita,ob-dis,M,20,1,601,49.20,35.00,28.30,44.00,0.97
Powerless-character,Stanley-hab-90,ita,ob-dis,M,21,0,630,75.00,35.00,49.20,60.00,0.98
Powerless-character,Stanley-hab-79,ita,ob-dis,F,20,4,604,62.50,26.60,20.95,30.40,0.89
Powerless-character,Stanley-hab-83,ita,ob-dis,F,22,0,660,75.00,35.00,45.30,60.00,0.96
Powerless-character,Stanley-hab-86,ita,ob-dis,F,20,1,601,75.00,35.00,50.40,60.00,0.98
Powerless-character,Stanley-hab-87,ita,ob-dis,F,20,3,603,75.00,22.15,25.25,19.10,0.94
Powerless-character,Stanley-hab-91,ita,ob-dis,F,22,8,668,53.95,23.15,30.30,20.70,0.96
Bully-present,Stanley-hab-96A,ita,dis-ob,M,22,5,665,60.95,14.85,60.00,23.50,0.84
Bully-present,Stanley-hab-57,ita,dis-ob,M,23,6,696,75.00,35.00,40.90,32.25,0.97
Bully-present,Stanley-hab-59,ita,dis-ob,M,20,8,608,75.00,28.80,46.75,33.45,0.99
Bully-present,Stanley-hab-64,ita,dis-ob,M,20,13,613,75.00,23.15,56.05,37.65,0.95
Bully-present,Stanley-hab-38,ita,dis-ob,F,23,4,694,75.00,23.35,52.80,41.80,0.95
Bully-present,Stanley-hab-51,ita,dis-ob,F,20,6,606,75.00,32.70,58.05,36.90,0.93
Bully-present,Stanley-hab-53,ita,dis-ob,F,20,27,627,75.00,22.50,37.65,37.00,0.96
Bully-present,Stanley-hab-54,ita,dis-ob,F,20,23,623,75.00,35.00,60.00,29.80,0.94
Bully-present,Stanley-hab-65,ita,ob-dis,M,21,20,650,57.25,31.55,36.35,39.30,0.97
Bully-present,Stanley-hab-71,ita,ob-dis,M,23,23,713,75.00,35.00,54.30,60.00,0.99
Bully-present,Stanley-hab-75,ita,ob-dis,M,22,19,679,74.25,27.80,29.85,30.10,0.96
Bully-present,Stanley-hab-55,ita,ob-dis,F,20,1,601,55.35,25.80,16.10,22.50,0.97
Bully-present,Stanley-hab-58,ita,ob-dis,F,20,5,605,64.90,17.30,16.65,21.90,0.84
Bully-present,Stanley-hab-63,ita,ob-dis,F,20,1,601,45.40,35.00,23.10,27.30,0.97
Bully-present,Stanley-hab-70,ita,ob-dis,F,21,22,652,67.90,31.35,59.70,48.55,0.96
Bully-present,Stanley-hab-72,ita,ob-dis,F,23,4,694,64.30,35.00,56.35,40.05,0.98
