participant_id,group,AR_pre,TTS_pre,GNG_pre,GR_pre,MS_pre,PM_pre,RMS_pre,age_round,age_bin,AR_post,TTS_post,GNG_post,GR_post,MS_post,PM_post,RMS_post,AR_1,TTS_1,GNG_1,GR_1,MS_1,PM_1,RMS_1,GI_1,AR_2,TTS_2,GNG_2,GR_2,MS_2,PM_2,RMS_2,GI_2,AR_d,TTS_d,GNG_d,GR_d,MS_d,PM_d,RMS_d,GI_d,lost_track_details_pre,misplaced_items_pre,lost_concentration_pre,remembered_names_pre,felt_creative_pre,good_concentration_pre,felt_anxious_pre,in_bad_mood_pre,felt_sad_pre,felt_training_benefits_pre,rwc_ave_pre,lost_track_details_post,misplaced_items_post,lost_concentration_post,remembered_names_post,felt_creative_post,good_concentration_post,felt_anxious_post,in_bad_mood_post,felt_sad_post,felt_training_benefits_post,rwc_ave_post,lost_track_details_d,misplaced_items_d,lost_concentration_d,remembered_names_d,felt_creative_d,good_concentration_d,felt_anxious_d,in_bad_mood_d,felt_sad_d,felt_training_benefits_d,rwc_ave_d,crosswords_active_days,lumosity_active_days,active_days,exclude,est_hours
1,crosswords,14,-526.797,-595,3,6,15,5,51,"[50,55)",12,-501.478,-662,6,6,13,4,98.40077352,88.62153481,74.34986031,83.65783834,108.3483539,124.5704746,100.3547446,94.02504129,93.36024906,90.64893538,68.02219313,94.93967009,108.3483539,112.9173723,87.08262768,88.03270697,-5.040524455,2.027400577,-6.327667181,11.28183176,0,-11.65310223,-13.27211693,-5.992334319,1,1,2,2,4,2,2,3,4,NA,2.333333333,1,2,1,2,4,1,1,3,4,3,2.111111111,0,1,-1,0,0,-1,-1,0,0,NA,-0.222222222,56,0,56,0,29.26789472
2,lumosity,17,-527.63,-340,13,6,15,5,24,"[18,25)",19,-260.226,-312,9,6,16,5,104.6197456,79.06710317,121.5175556,113.3005653,96.84357409,117.2726016,91.48974509,106.3479733,110.4571215,100.7343773,131.5841755,100.9495717,96.84357409,125.1710578,91.48974509,115.378512,5.837375932,21.66727409,10.06661991,-12.35099356,0,7.898456144,0,9.030538698,3,5,2,NA,4,2,2,2,5,NA,3.125,4,4,4,5,4,3,2,2,4,NA,3.555555556,1,-1,2,NA,0,1,0,0,-1,NA,0.430555556,0,54,54,0,11.35943167
3,crosswords,18,-116.13,-336,8,8,15,6,19,"[18,25)",21,-427.918,-439,14,6,17,5,107.5594805,117.8408698,122.6273848,98.00675126,122.8533768,117.2726016,104.3762811,124.188516,115.6695646,87.50279701,90.87252798,116.3986931,96.84357409,135.1689656,91.48974509,109.1575992,8.110084095,-30.33807281,-31.75485678,18.39194185,-26.00980276,17.89636398,-12.88653604,-15.03091675,1,1,1,5,1,1,5,5,1,NA,2.333333333,4,4,4,2,5,5,4,4,2,4,3.777777778,3,3,3,-3,4,4,-1,-1,1,NA,1.444444444,6,0,6,0,0.574864722
4,crosswords,20,-290.774,-340,18,6,15,7,21,"[18,25)",15,-352.808,-322,17,7,14,5,113.1947867,97.97061891,121.5175556,127.4130571,96.84357409,117.2726016,116.828507,124.3819811,98.69131405,93.02444084,127.8026259,124.5353301,109.7384325,110.5257196,91.48974509,115.1161468,-14.50347262,-4.946178062,6.285070311,-2.877727017,12.89485844,-6.74688207,-25.33876193,-9.265834334,3,2,2,4,3,4,3,4,4,NA,3.222222222,2,3,3,4,3,2,1,1,1,3,2.222222222,-1,1,1,0,0,-2,-2,-3,-3,NA,-1,21,0,21,0,7.613530555
5,lumosity,22,-383.797,-370,9,7,11,6,31,"[30,35)",20,-391.296,-394,13,8,13,5,119.4782075,92.28765849,114.310638,100.7885497,113.2855782,94.78840165,106.3436639,111.1302484,114.036921,91.40777998,105.4292117,114.3567219,127.8178215,105.2736597,94.19503153,114.3201178,-5.441286479,-0.879878512,-8.881426364,13.56817218,14.53224332,10.4852581,-12.14863241,3.189869447,2,3,3,4,4,4,3,4,5,NA,3.555555556,1,2,2,3,4,4,2,4,4,NA,2.888888889,-1,-1,-1,-1,0,0,-1,0,-1,NA,-0.666666667,0,43,43,0,8.665998889
6,crosswords,17,-209.268,-450,4,6,13,5,25,"[25,30)",14,-157.142,-483,5,6,5,5,105.14905,105.8505055,89.29859075,85.11177864,97.78409342,103.2608009,92.55730046,94.21818617,95.83748326,112.1023717,81.31107462,88.31670083,97.78409342,73.86029964,92.55730046,84.16042532,-9.311566721,6.251866171,-7.987516138,3.20492219,0,-29.40050122,0,-10.05776085,2,5,3,3,2,1,2,2,3,NA,2.555555556,1,5,3,4,1,1,2,1,4,NA,2.444444444,-1,0,0,1,-1,0,0,-1,1,NA,-0.111111111,15,0,15,0,3.408564722
7,lumosity,20,-66.897,-415,14,5,13,3,45,"[45,50)",23,-103.832,-358,9,5,7,6,116.5937953,136.1483102,103.9967314,121.7921456,90.62371635,109.2550155,70.9995542,113.3784599,126.5140124,127.2616815,122.8509453,105.6293095,90.62371635,85.05687515,112.1601026,118.8153421,9.92021716,-8.886628722,18.85421386,-16.16283609,0,-24.19814038,41.1605484,5.436882226,3,2,4,2,4,4,2,1,1,NA,2.555555556,4,4,4,2,4,4,3,4,4,NA,3.666666667,1,2,0,0,0,0,1,3,3,NA,1.111111111,0,0,0,0,0
8,crosswords,9,-473.296,-380,10,5,14,6,27,"[25,30)",14,-547.385,-295,8,8,14,7,81.16770745,84.34085065,108.3466686,103.6198926,84.41604731,109.5750208,105.265139,93.51318629,95.83748326,79.95293388,142.4537517,97.16322361,124.0991782,109.5750208,117.9069261,118.0387438,14.6697758,-4.387916765,34.10708318,-6.456669019,39.68313089,0,12.64178707,24.52555752,4,4,5,3,4,5,2,3,2,NA,3.555555556,5,5,5,2,5,5,3,4,4,NA,4.222222222,1,1,0,-1,1,0,1,1,2,NA,0.666666667,40,0,40,0,5.968255278
9,crosswords,16,-227.897,-393,9,5,14,4,40,"[40,45)",12,-264.024,-369,9,5,11,4,102.8641225,109.5842112,108.1136106,103.5235123,89.19765074,115.5465008,83.89115329,103.4663517,90.54717631,106.3628229,116.6947955,103.5235123,89.19765074,97.89831865,83.89115329,96.74381309,-12.31694614,-3.221388302,8.58118487,0,0,-17.64818219,0,-6.722538592,4,4,4,2,3,4,2,1,1,NA,2.777777778,4,5,4,5,4,5,3,4,5,NA,4.333333333,0,1,0,3,1,1,1,3,4,NA,1.555555556,39,0,39,0,9.5456375
10,lumosity,11,-334.177,-456,3,6,16,5,50,"[50,55)",22,-320.396,-310,5,7,15,6,90.64893538,102.8096976,97.50556981,83.65783834,108.3483539,130.4358042,100.3547446,103.6887205,125.2755784,104.0847731,135.221953,91.23424614,122.5895151,124.5704746,113.5721504,130.8000955,34.62664302,1.275075481,37.7163832,7.576407801,14.24116122,-5.865329598,13.21740582,27.11137501,5,4,4,2,4,4,4,5,5,NA,4.111111111,4,4,4,3,4,4,5,5,5,NA,4.222222222,-1,0,0,1,0,0,1,0,0,NA,0.111111111,0,69,69,0,28.23780681
11,lumosity,9,-703.425,-546,10,5,3,4,46,"[45,50)",12,-331.264,-479,9,5,10,4,78.63009026,74.39047185,78.20785438,108.8947683,90.62371635,69.95995629,85.77869325,69.92948823,91.34256473,100,88.72191056,105.6293095,90.62371635,94.15551644,85.77869325,88.20608431,12.71247447,25.60952815,10.51405618,-3.265458775,0,24.19556015,0,18.27659608,1,1,1,2,2,2,3,2,2,NA,1.777777778,3,2,2,1,2,4,4,4,3,NA,2.777777778,2,1,1,-1,0,2,1,2,1,NA,1,0,64,64,0,13.14956625
12,lumosity,11,-581.489,-352,7,6,10,3,52,"[50,55)",11,-521.282,-367,8,5,7,5,90.64893538,84.88702179,125.4608746,98.57903137,108.3483539,95.91522691,72.89427246,93.52136866,90.64893538,89.08900435,122.1844035,102.449485,94.13413715,87.58922469,100.3547446,96.3074386,0,4.20198256,-3.276471143,3.870453678,-14.21421678,-8.32600222,27.46047216,2.786069949,3,3,3,4,4,4,3,4,4,NA,3.555555556,4,4,4,2,5,4,4,5,4,NA,4,1,1,1,-2,1,0,1,1,0,NA,0.444444444,0,32,32,0,7.725893611
13,lumosity,9,-358.931,-553,2,5,11,5,21,"[18,25)",9,-545.051,-463,7,4,14,6,80.97848585,92.01046298,67.54231392,80.89819664,84.26850625,93.83254199,91.48974509,71.15850659,80.97848585,77.96897951,84.51464032,95.15443402,72.77499024,110.5257196,104.3762811,80.45900826,0,-14.04148347,16.97232641,14.25623738,-11.493516,16.69317757,12.88653604,9.300501676,3,4,3,4,5,1,2,5,5,NA,3.555555556,4,5,4,5,5,5,4,4,4,NA,4.444444444,1,1,1,1,0,4,2,-1,-1,NA,0.888888889,0,21,21,0,7.671435139
14,lumosity,20,-361.798,-396,8,6,7,4,45,"[45,50)",12,-357.241,-359,7,6,10,6,116.5937953,97.33610368,109.3155735,102.0059322,104.7795905,85.05687515,85.77869325,100.2385,91.34256473,97.5390417,122.8509453,98.19568586,104.7795905,94.15551644,112.1601026,105.6016076,-25.25123052,0.202938026,13.53537177,-3.810246317,0,9.098641291,26.38140935,5.363107686,4,4,5,5,4,4,4,4,4,NA,4.222222222,4,4,5,1,4,4,2,4,4,NA,3.555555556,0,0,0,-4,0,0,-2,0,0,NA,-0.666666667,0,46,46,0,12.84557431
15,lumosity,10,-47.359,-406,4,4,11,5,31,"[30,35)",7,-453.189,-416,9,6,2,5,84.29277128,135.7744753,101.9025756,84.88656428,74.19763012,94.78840165,94.19503153,91.56382299,74.06850565,87.01426107,99.15297919,100.7885497,99.44522366,57.55369454,94.19503153,76.66090864,-10.22426563,-48.76021424,-2.74959642,15.90198546,25.24759353,-37.2347071,0,-14.90291435,2,3,2,4,4,3,3,4,4,NA,3.222222222,3,3,4,5,4,4,5,5,5,5,4.222222222,1,0,2,1,0,1,2,1,1,NA,1,0,34,34,0,8.672374028
16,crosswords,22,-341.62,-385,8,6,5,6,32,"[30,35)",21,-369.063,-380,15,6,10,4,119.4782075,95.92179992,108.0474594,97.62556081,99.44522366,75.50610365,106.3436639,100.6336772,116.4859951,93.2711346,109.8622644,121.5601153,99.44522366,90.92165997,81.62188133,103.5927753,-2.992212425,-2.65066532,1.81480506,23.93455452,0,15.41555633,-24.72178261,2.959098051,1,2,2,3,4,3,2,2,3,NA,2.444444444,3,2,2,2,2,2,1,1,2,NA,1.888888889,2,0,0,-1,-2,-1,-1,-1,-1,NA,-0.555555556,38,0,38,0,9.848784444
17,lumosity,24,-15.849,-438,10,7,15,6,43,"[40,45)",21,-164.087,-434,13,7,16,6,127.6055141,144.7405581,94.33572787,106.7766773,115.4548854,122.4612015,111.0122544,132.4095361,117.3073931,116.5953758,95.30509975,117.3073931,115.4548854,131.2628551,111.0122544,127.8425703,-10.29812105,-28.1451823,0.969371873,10.53071581,0,8.801653549,0,-4.566965738,4,3,3,1,2,4,4,4,4,NA,3.222222222,3,3,4,NA,5,4,4,4,4,NA,3.875,-1,0,1,NA,3,0,0,0,0,NA,0.652777778,0,50,50,0,14.89680542
18,crosswords,11,-628.255,-446,6,5,1,4,71,"[70,75)",11,-533.173,-414,4,3,10,3,97.61021823,93.10111592,109.9684667,103.603941,103.1158876,62.60135901,99.28581714,91.3974351,97.61021823,97.36888838,120.2406884,96.64053026,83.74393104,106.6354181,86.82455717,97.02558276,0,4.26777246,10.27222165,-6.963410765,-19.37195661,44.03405905,-12.46125997,5.628147653,4,4,4,NA,NA,3,NA,2,3,NA,3.333333333,5,4,4,NA,NA,3,3,2,3,NA,3.428571429,1,0,0,NA,NA,0,NA,0,0,NA,0.095238095,63,0,63,0,15.34536111
19,crosswords,20,-357.241,-403,15,7,13,6,26,"[25,30)",17,-673.242,-400,15,7,16,6,113.0659127,92.90149564,101.0063204,118.1318246,110.899714,103.2608009,105.265139,111.900814,105.14905,72.56922959,101.9951391,118.1318246,110.899714,123.5587754,105.265139,110.0729477,-7.91686274,-20.33226605,0.988818742,0,0,20.29797457,0,-1.827866339,1,4,1,4,2,2,2,1,2,NA,2.111111111,5,5,3,NA,2,4,5,2,3,NA,3.625,4,1,2,NA,0,2,3,1,1,NA,1.513888889,55,0,55,0,15.71786722
20,lumosity,16,-184.97,-428,2,5,11,5,66,"[65,70)",13,-221.795,-419,2,6,9,4,112.0385783,125.0860782,111.4706451,84.80659994,100.7313896,104.6698357,106.1187811,112.0648798,101.0452738,120.2144332,114.5113235,84.80659994,113.384778,96.73671212,92.72714482,106.1569356,-10.99330452,-4.871645062,3.040678385,0,12.65338841,-7.933123574,-13.39163629,-5.907944195,3,3,4,2,4,4,2,4,4,NA,3.333333333,3,4,5,1,4,5,3,4,4,NA,3.666666667,0,1,1,-1,0,1,1,0,0,NA,0.333333333,0,35,35,0,18.34493653
21,lumosity,8,-294.287,-412,7,6,14,4,54,"[50,55)",10,-408.93,-382,7,6,12,4,81.66962262,106.0577963,109.8407384,98.57903137,108.3483539,119.4061229,87.08262768,103.0618773,88.20324674,97.37059822,119.3041858,98.57903137,108.3483539,106.2023984,87.08262768,101.2797075,6.533624119,-8.68719811,9.463447456,0,0,-13.20372445,0,-1.782169775,3,3,3,1,4,2,3,3,2,NA,2.666666667,2,3,1,2,5,2,2,2,2,3,2.333333333,-1,0,-2,1,1,0,-1,-1,0,NA,-0.333333333,0,3,3,0,1.856341806
