"StartDate","EndDate","Impact_hockey","CF_hockey","impact_inv","CF_inv","impact_sale","CF_sale","sex","country","age_1","feedback","position","Imp_tot","CF_tot","Imp2","CF2","posnum"
18274,18274,6,6,7,6,4,5,1,1,25.0,,"early",5.666666666666667,5.666666666666667,5.0,5.5,0.0
18274,18274,5,3,7,2,4,2,2,1,34.0,,"late",5.333333333333333,2.3333333333333335,4.5,2.5,1.0
18274,18274,4,3,4,4,7,4,2,1,38.0,,"early",5.0,3.6666666666666665,5.5,3.5,0.0
18274,18274,6,3,1,7,7,2,1,3,22.0,,"early",4.666666666666667,4.0,6.5,2.5,0.0
18274,18274,7,7,7,7,7,7,1,3,21.0,,"late",7.0,7.0,7.0,7.0,1.0
18274,18274,4,4,5,5,3,5,1,1,60.0,,"late",4.0,4.666666666666667,3.5,4.5,1.0
18274,18274,5,7,7,7,5,7,1,4,30.0,,"late",5.666666666666667,7.0,5.0,7.0,1.0
18274,18274,7,2,7,4,6,3,2,1,31.0,,"late",6.666666666666667,3.0,6.5,2.5,1.0
18274,18274,3,5,5,6,4,3,1,3,19.0,,"early",4.0,4.666666666666667,3.5,4.0,0.0
18274,18274,7,1,5,7,7,7,2,4,30.0,,"late",6.333333333333333,5.0,7.0,4.0,1.0
18274,18274,7,1,7,5,7,4,2,1,35.0,"The questions seemed a little difficult to answer. For example, the salary could have been very unfair because it was too much for the work they were doing rather than too little or could have been unfair because it was fair for certain people and not for others e.g. men and women I felt I needed more information.","early",7.0,3.3333333333333335,7.0,2.5,0.0
18274,18274,7,7,7,7,7,7,1,3,27.0,"I felt the questions about income inequality didn't provide enough information for me to have any real opinion or to give a definitive answer.","early",7.0,7.0,7.0,7.0,0.0
18274,18274,5,6,7,7,7,7,1,1,33.0,,"late",6.333333333333333,6.666666666666667,6.0,6.5,1.0
18274,18274,6,4,7,5,6,3,2,1,37.0,"No","late",6.333333333333333,4.0,6.0,3.5,1.0
18274,18274,7,2,7,2,7,2,2,1,56.0,,"early",7.0,2.0,7.0,2.0,0.0
18274,18274,7,2,7,2,7,2,2,1,33.0,,"late",7.0,2.0,7.0,2.0,1.0
18274,18274,6,3,4,3,2,1,2,1,38.0,,"early",4.0,2.3333333333333335,4.0,2.0,0.0
18274,18274,7,6,7,7,7,7,2,1,25.0,"This was thought provoking!","late",7.0,6.666666666666667,7.0,6.5,1.0
18274,18274,7,7,7,7,1,7,2,1,50.0,,"late",5.0,7.0,4.0,7.0,1.0
18274,18274,7,7,7,7,7,7,2,1,43.0,,"late",7.0,7.0,7.0,7.0,1.0
18274,18274,7,3,5,4,7,2,2,1,30.0,,"late",6.333333333333333,3.0,7.0,2.5,1.0
18274,18274,5,3,6,3,7,5,1,3,28.0,,"early",6.0,3.6666666666666665,6.0,4.0,0.0
18274,18274,7,5,7,7,6,6,1,3,40.0,,"late",6.666666666666667,6.0,6.5,5.5,1.0
18274,18274,4,5,5,5,5,3,1,2,25.0,,"early",4.666666666666667,4.333333333333333,4.5,4.0,0.0
18274,18274,4,3,5,7,3,2,2,3,26.0,,"early",4.0,4.0,3.5,2.5,0.0
18274,18274,6,1,7,2,4,1,2,3,38.0,,"early",5.666666666666667,1.3333333333333333,5.0,1.0,0.0
18274,18274,6,6,4,5,5,6,2,3,21.0,,"early",5.0,5.666666666666667,5.5,6.0,0.0
18274,18274,7,6,7,6,7,6,1,1,63.0,"none","early",7.0,6.0,7.0,6.0,0.0
18274,18274,7,1,7,7,7,5,1,2,21.0,,"late",7.0,4.333333333333333,7.0,3.0,1.0
18274,18274,6,5,7,5,6,5,1,3,21.0,,"late",6.333333333333333,5.0,6.0,5.0,1.0
18274,18274,7,4,7,4,7,4,1,3,31.0,,"early",7.0,4.0,7.0,4.0,0.0
18274,18274,4,2,7,5,2,2,1,1,31.0,,"early",4.333333333333333,3.0,3.0,2.0,0.0
18274,18274,6,7,6,7,6,6,2,1,23.0,,"late",6.0,6.666666666666667,6.0,6.5,1.0
18274,18274,7,5,4,6,5,5,2,3,23.0,,"early",5.333333333333333,5.333333333333333,6.0,5.0,0.0
18274,18274,3,3,3,5,5,5,2,3,20.0,,"early",3.6666666666666665,4.333333333333333,4.0,4.0,0.0
18274,18274,7,6,6,7,5,5,2,1,49.0,,"early",6.0,6.0,6.0,5.5,0.0
18274,18274,7,4,7,7,7,7,1,3,42.0,,"early",7.0,6.0,7.0,5.5,0.0
18274,18274,6,5,7,7,6,6,1,3,29.0,,"early",6.333333333333333,6.0,6.0,5.5,0.0
18274,18274,7,1,7,6,7,4,2,3,30.0,,"late",7.0,3.6666666666666665,7.0,2.5,1.0
18274,18274,5,4,4,4,6,4,2,3,31.0,,"early",5.0,4.0,5.5,4.0,0.0
18274,18274,4,5,7,6,2,3,1,3,45.0,,"early",4.333333333333333,4.666666666666667,3.0,4.0,0.0
18274,18274,7,7,7,7,7,7,2,4,32.0,,"late",7.0,7.0,7.0,7.0,1.0
18274,18274,7,3,6,1,6,6,2,3,21.0,,"early",6.333333333333333,3.3333333333333335,6.5,4.5,0.0
18274,18274,7,1,7,4,6,4,2,1,27.0,,"late",6.666666666666667,3.0,6.5,2.5,1.0
18274,18274,7,3,5,4,6,4,1,1,38.0,,"late",6.0,3.6666666666666665,6.5,3.5,1.0
18274,18274,7,7,7,7,6,6,1,3,22.0,,"late",6.666666666666667,6.666666666666667,6.5,6.5,1.0
18274,18274,5,2,6,3,5,2,1,3,34.0,,"early",5.333333333333333,2.3333333333333335,5.0,2.0,0.0
18274,18274,5,5,5,5,4,3,2,1,33.0,,"early",4.666666666666667,4.333333333333333,4.5,4.0,0.0
18274,18274,7,2,4,6,3,6,1,1,32.0,"n/a","late",4.666666666666667,4.666666666666667,5.0,4.0,1.0
18274,18274,7,6,7,3,6,5,2,3,25.0,,"late",6.666666666666667,4.666666666666667,6.5,5.5,1.0
