"StartDate","EndDate","Impact","Counterfactual measure","mcheck_late","Gender","AGE_1","Timing","Counterfactual thinking"
18247,18247,7,6,7,2,33.0,"Early","Not induced"
18247,18247,6,5,4,2,36.0,"Early","Not induced"
18247,18247,4,5,4,1,39.0,"Early","Not induced"
18247,18247,3,5,2,1,30.0,"Early","Not induced"
18247,18247,3,7,2,1,29.0,"Early","Induced"
18247,18247,6,7,6,1,29.0,"Early","Induced"
18247,18247,2,1,2,2,39.0,"Early","Induced"
18247,18247,5,4,5,1,26.0,"Late","Not induced"
18247,18247,7,7,7,1,35.0,"Late","Not induced"
18247,18247,1,1,1,1,47.0,"Early","Not induced"
18247,18247,2,5,3,1,28.0,"Early","Not induced"
18247,18247,5,5,6,1,33.0,"Late","Induced"
18247,18247,2,7,3,1,35.0,"Early","Induced"
18247,18247,5,4,7,1,33.0,"Late","Induced"
18247,18247,6,7,7,1,33.0,"Late","Induced"
18247,18247,4,7,5,2,42.0,"Early","Not induced"
18247,18247,3,5,4,1,33.0,"Late","Not induced"
18247,18247,7,5,7,1,33.0,"Late","Induced"
18247,18247,4,3,5,1,26.0,"Late","Not induced"
18247,18247,7,7,7,1,28.0,"Late","Not induced"
18247,18247,1,7,7,1,32.0,"Late","Induced"
18247,18247,3,2,3,1,54.0,"Early","Not induced"
18247,18247,6,5,7,1,56.0,"Early","Induced"
18247,18247,7,7,1,1,29.0,"Early","Not induced"
18247,18247,2,4,2,1,27.0,"Early","Not induced"
18247,18247,5,4,3,1,23.0,"Late","Induced"
18247,18247,1,7,3,1,37.0,"Early","Induced"
18247,18247,5,4,5,2,58.0,"Late","Induced"
18247,18247,6,7,7,2,28.0,"Late","Induced"
18247,18247,3,7,2,2,32.0,"Early","Induced"
18247,18247,7,7,7,1,56.0,"Late","Induced"
18247,18247,1,7,2,1,48.0,"Early","Induced"
18247,18247,7,7,7,1,33.0,"Late","Induced"
18247,18247,3,4,5,1,26.0,"Early","Not induced"
18247,18247,4,5,5,1,30.0,"Late","Induced"
18247,18247,4,3,5,1,30.0,"Early","Not induced"
18247,18247,5,4,6,1,68.0,"Early","Not induced"
18247,18247,7,7,2,2,37.0,"Early","Induced"
18247,18247,5,6,3,2,36.0,"Early","Induced"
18247,18247,7,6,2,1,58.0,"Early","Not induced"
18247,18247,2,4,4,1,33.0,"Early","Not induced"
18247,18247,7,7,1,2,34.0,"Early","Induced"
18247,18247,7,7,7,2,39.0,"Late","Induced"
18247,18247,4,5,6,1,38.0,"Early","Not induced"
18247,18247,5,4,7,1,30.0,"Late","Not induced"
18247,18247,3,6,2,1,25.0,"Early","Not induced"
18247,18247,2,2,3,1,27.0,"Early","Not induced"
18247,18247,6,7,7,1,35.0,"Late","Not induced"
18247,18247,7,7,7,1,29.0,"Late","Induced"
18247,18247,4,5,5,1,29.0,"Late","Induced"
18247,18247,2,5,3,2,36.0,"Early","Not induced"
18247,18247,6,7,7,1,56.0,"Late","Not induced"
18247,18247,7,7,7,2,43.0,"Late","Induced"
18247,18247,5,7,7,1,32.0,"Late","Induced"
18247,18247,7,1,7,1,50.0,"Late","Induced"
18247,18247,6,5,7,2,47.0,"Late","Induced"
18247,18247,7,4,7,1,34.0,"Late","Induced"
18247,18247,4,5,7,2,33.0,"Late","Not induced"
18247,18247,4,6,7,1,32.0,"Late","Not induced"
18247,18247,7,7,7,1,39.0,"Late","Induced"
18247,18247,5,5,7,1,54.0,"Late","Induced"
18247,18247,2,7,7,2,30.0,"Late","Induced"
18247,18247,5,6,7,1,32.0,"Early","Induced"
18247,18247,5,3,6,2,23.0,"Late","Induced"
18247,18247,5,5,2,1,30.0,"Early","Induced"
18247,18247,4,5,7,2,38.0,"Late","Induced"
18247,18247,3,3,4,2,44.0,"Early","Induced"
18247,18247,5,6,5,1,25.0,"Late","Not induced"
18247,18247,6,2,7,1,36.0,"Early","Induced"
18247,18247,1,6,2,1,32.0,"Early","Not induced"
18247,18247,7,1,7,2,52.0,"Late","Not induced"
18247,18247,6,7,7,2,34.0,"Early","Induced"
18247,18247,3,6,4,1,29.0,"Late","Induced"
18247,18247,1,2,2,1,60.0,"Early","Not induced"
