"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
5,6,6,5,,7,7,7,7,,2,2,1,1,2,84.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,5.5,7.0,5.5
2,2,3,6,,4,4,2,5,,1,2,1,1,2,46.0,16.0,1,"No",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,2.0,4.5,4.5
5,6,5,5,,4,2,2,5,,1,2,1,1,1,36.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.5,4.5,5.0
5,5,2,3,,4,6,6,4,,2,2,1,3,2,21.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,5.0,4.0,2.5
2,3,6,3,,5,3,4,4,,1,2,1,1,4,41.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,2.5,4.5,4.5
6,6,5,5,,7,1,1,7,,2,2,1,1,4,22.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,6.0,7.0,5.0
3,2,6,5,,6,3,4,5,,1,2,1,1,2,28.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,2.5,5.5,5.5
5,4,4,5,,3,7,7,4,,1,2,1,4,4,20.0,14.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,4.5,3.5,4.5
7,7,7,7,,4,7,7,4,,1,2,1,2,2,35.0,14.0,1,"NO",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,7.0,4.0,7.0
3,3,4,7,,4,2,2,7,,2,2,1,1,1,35.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,3.0,5.5,5.5
3,5,4,3,,4,2,2,3,,1,2,1,1,1,29.0,18.0,1,"none",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,4.0,3.5,3.5
5,5,5,3,,4,5,5,3,,2,2,1,1,1,42.0,19.0,7,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,3.5,4.0
6,6,5,7,,5,2,2,7,,1,2,1,1,1,38.0,18.0,3,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,6.0,6.0,6.0
5,5,4,6,,6,3,5,3,,1,2,1,1,4,36.0,12.0,1,"none",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.0,4.5,5.0
3,4,5,5,,5,3,3,5,,1,2,1,1,3,43.0,14.0,1,"a fatal heart attack? lol",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,3.5,5.0,5.0
5,5,3,3,,5,3,3,5,,2,2,1,1,4,20.0,14.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,5.0,5.0,3.0
5,5,4,4,,4,3,4,5,,2,2,1,1,1,31.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,5.0,4.5,4.0
6,6,6,7,,7,7,6,6,,1,2,1,2,2,30.0,12.0,1,"good",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.5,6.0,6.5,6.5
2,2,4,5,,5,1,1,5,,1,2,1,1,3,29.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,2.0,5.0,4.5
2,2,5,5,,4,1,1,6,,1,2,1,1,2,36.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,2.0,5.0,5.0
5,5,4,5,,4,6,3,5,,1,2,1,1,2,28.0,11.0,1,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.0,4.5,4.5
5,5,3,4,,6,5,3,5,,1,2,1,1,3,38.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,5.5,3.5
5,4,3,4,,5,5,5,4,,2,2,1,2,2,29.0,16.0,1,"Fun study",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.5,4.5,3.5
5,5,5,5,,6,3,4,6,,2,2,1,1,2,25.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,5.0,6.0,5.0
4,4,3,4,,4,1,1,4,,1,2,1,2,2,24.0,16.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,4.0,4.0,3.5
2,2,5,5,,5,4,5,5,,1,2,1,1,1,44.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,2.0,5.0,5.0
3,4,5,5,,6,1,1,6,,1,2,1,1,2,54.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,3.5,6.0,5.0
4,4,4,3,,4,3,2,5,,1,2,1,1,2,35.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,4.0,4.5,3.5
6,6,4,3,,5,4,6,6,,1,2,1,1,2,30.0,17.0,1,"thanks",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,5.5,3.5
5,5,5,5,,5,4,4,5,,2,2,1,1,2,50.0,16.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,5.0,5.0
4,4,4,4,,4,4,4,4,,2,2,1,1,3,21.0,14.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.0,4.0,4.0
4,5,5,4,,4,5,2,4,,1,2,1,3,3,31.0,15.0,1,"This was great.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,4.5,4.0,4.5
7,7,1,4,,5,7,5,5,,1,2,1,4,4,25.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,7.0,5.0,2.5
7,6,6,7,,7,7,6,6,,1,2,1,1,2,58.0,14.0,2,"no",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.5,6.5,6.5,6.5
1,1,5,7,,6,1,2,7,,1,2,1,1,1,34.0,19.0,1,"Thanks!",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,1.0,6.5,6.0
5,6,6,5,,5,2,4,4,,1,2,1,3,1,26.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,5.5,4.5,5.5
7,7,4,4,,4,7,7,4,,2,2,1,1,2,33.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,7.0,4.0,4.0
6,6,6,5,,7,7,7,7,,2,2,1,1,4,58.0,12.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,6.0,7.0,5.5
3,2,3,3,,2,1,3,4,,2,2,1,1,2,27.0,12.0,1,"good",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,2.5,3.0,3.0
4,5,4,4,,4,1,2,7,,2,2,1,1,2,56.0,16.0,2,"I appreciated the opportunity to participate in your interesting survey!",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,4.5,5.5,4.0
4,5,4,5,,4,4,4,4,,1,2,1,1,2,30.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.5,4.0,4.5
5,5,4,3,,4,1,2,4,,2,2,1,1,2,51.0,16.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,5.0,4.0,3.5
3,5,3,3,,4,5,5,3,,1,2,1,1,1,30.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.0,3.5,3.0
4,2,5,4,,4,5,2,5,,1,2,1,1,4,62.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,3.0,4.5,4.5
4,4,3,5,,4,3,3,4,,1,2,1,1,3,38.0,15.0,6,"none",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,4.0,4.0,4.0
4,4,3,3,,4,1,2,5,,2,2,1,1,2,37.0,16.0,1,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,4.0,4.5,3.0
3,2,7,5,,3,7,5,4,,2,2,1,3,4,23.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,2.5,3.5,6.0
5,5,4,5,,5,2,2,6,,2,2,1,1,4,35.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,5.5,4.5
3,3,3,4,,4,2,2,3,,2,2,1,1,4,26.0,13.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,3.0,3.5,3.5
4,4,5,5,,3,5,6,5,,2,2,1,1,2,32.0,16.0,6,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,4.0,4.0,5.0
3,3,6,3,,4,3,4,4,,2,2,1,1,2,31.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,3.0,4.0,4.5
