StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,att_check,doc_a,doc_b,nurse_a,nurse_b,firefighter_a,firefighter_b,ceo_a,ceo_b,tax_a,tax_b,author_a,author_b,elderly_a,elderly_b,charity_a,charity_b,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country
13/02/2019 07:19,13/02/2019 07:21,0,100,91,1,anonymous,EN-GB,1,6,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,26,male,5,,"$25,000 to $39,999",2,32500,79131303,781b8371,United States
13/02/2019 07:19,13/02/2019 07:22,0,100,155,1,anonymous,EN-GB,1,6,1,6,1,5,4,5,4,6,1,7,2,7,1,7,1,29,female,5,,"$60,000 to $84,999",4,72500,bef6a5d2,e0fe8e8a,United States
13/02/2019 07:20,13/02/2019 07:22,0,100,126,1,anonymous,EN-GB,1,7,1,7,2,7,2,7,2,6,2,4,4,7,1,7,1,35,male,5,,"$200,000 or more",8,225000,56e618bf,9f37c95c,United States
13/02/2019 07:22,13/02/2019 07:23,0,100,36,1,anonymous,EN-GB,2,3,6,5,5,4,4,5,4,4,5,5,5,5,3,6,3,25,male,6,,"$115,000 to $149,999",6,132500,64f624f1,9489167a,United States
13/02/2019 07:22,13/02/2019 07:24,0,100,90,1,anonymous,EN-GB,1,7,4,7,1,7,3,5,4,5,4,5,4,7,4,7,4,31,female,4,,"$25,000 to $39,999",2,32500,cbcaf0f9,ba5892ab,United States
13/02/2019 07:25,13/02/2019 07:27,0,100,104,1,anonymous,EN-GB,1,7,6,7,6,7,6,6,7,6,7,7,6,7,6,6,7,29,female,6,,"$85,000 to $114,999",5,100000,b1eb7956,6b3057f0,United States
13/02/2019 07:24,13/02/2019 07:29,0,100,247,1,anonymous,EN-GB,1,7,3,7,3,7,4,7,4,5,4,5,4,6,6,6,5,25,female,3,,"$40,000 to $59,999",3,50000,fb6d3b06,461dbebb,United States
13/02/2019 07:32,13/02/2019 07:33,0,100,91,1,anonymous,EN-GB,1,7,4,6,4,5,4,6,4,4,4,5,4,4,4,4,4,36,male,2,,"$25,000 to $39,999",2,32500,86dbf963,302a2fac,United States
13/02/2019 07:32,13/02/2019 07:34,0,100,139,1,anonymous,EN-GB,3,6,3,7,3,6,4,5,4,5,3,5,4,7,4,7,3,29,male,4,,"$40,000 to $59,999",3,50000,d50fc097,f6336fb7,United States
13/02/2019 07:36,13/02/2019 07:37,0,100,93,1,anonymous,EN-GB,1,7,5,7,4,4,7,5,4,6,5,7,5,5,6,4,5,48,male,5,,"$60,000 to $84,999",4,72500,871297c2,73aaac37,United States
