Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,DistributionChannel,UserLanguage,private,government,reasons,OUS1,OUS2,OUS3,OUS4,OUS5,OUS6,OUS7,OUS8,OUS9,OUS10,EC_EC_1,EC_EC_2,EC_EC_3,EC_EC_4,EC_EC_5,EC_EC_6,EC_EC_7,EC_EC_8,gender,gender_3_TEXT,age,own_religious,education,income,ses,political,prolific_id,fair_task,task_comments,SC0,PROLIFIC_PID,SESSION_ID,condition
100,385,1,15/08/2018 10:42,R_3lLb9BgGkoQ2Qh0,,anonymous,EN-GB,,7,"The doctor is only 1 of 3 that can complete those types of surgeries, the man chose to have a family instead of focusing on his career. Doctors are more important.",6,6,5,4,1,4,5,4,7,2,5,4,4,2,6,5,4,2,2,,30,1,3,3,2,4,5b71961699982e0001460ad3,1,,44,,,government
100,491,1,15/08/2018 10:42,R_1OPmJvCUOsHT31T,,anonymous,EN-GB,,1,I do no agree. All people are equal in Gods eyes and this is playing god,4,5,6,5,2,4,2,4,4,2,6,1,6,6,2,1,6,2,2,,35,5,5,7,1,4,5b73a71e62af7600016b6d98,1,,38,,,government
100,266,1,15/08/2018 10:43,R_1ptlFZl8o0fkwrv,,anonymous,EN-GB,6,,"As mentioned in the passage, Allen is a doctor so it would be more beneficial to rescuing him. ",5,6,3,3,5,3,3,5,3,2,6,2,5,5,2,2,6,2,3,Non-binary,21,1,3,1,2,3,5b72b1e8660a9e00012cadac,1,,38,,,private
100,340,1,15/08/2018 10:47,R_1LhC0SMqoLqvSXY,,anonymous,EN-GB,4,,I would have a moral dilemma on who to save as my decision would mean one person would die,6,7,7,5,5,4,6,4,1,2,7,1,7,7,4,2,7,6,2,,49,2,4,11,2,4,5969e63d06679c00014b82ac,1,,47,,,private
100,568,1,15/08/2018 10:50,R_2PcdFvWw62YRrMd,,anonymous,EN-GB,,2,It feels wrong to value one human life over the other so I disagree. However I didn’t strongly disagree as there is a part of me that thinks the doctor makes much more of a useful contribution to the society. ,2,2,2,2,2,2,2,2,2,2,6,2,6,6,2,2,6,2,2,,34,1,4,4,3,1,5b72fe298eb4a10001cb764f,1,,20,,,government
100,281,1,15/08/2018 10:53,R_3oBANSN5zYhPQGs,,anonymous,EN-GB,,2,Everyone is equal and everyone should be evaucuted ,4,4,6,5,4,2,4,4,3,2,6,2,6,6,2,2,6,2,2,,29,1,3,4,1,4,59e50831e75b450001a6917c,1,,38,,,government
100,243,1,15/08/2018 10:53,R_w7WHdsuD4gezEqJ,,anonymous,EN-GB,4,,I would be swayed by my knowledge of them as a person rather than occupation etc.,1,1,1,5,4,1,1,5,2,2,5,4,5,5,5,2,5,2,1,,41,1,5,5,3,2,576020968ddaf40006ce9746,1,,23,,,private
100,384,1,15/08/2018 10:59,R_2AR1ugmF6eFLgHA,,anonymous,EN-GB,4,,"I don’t think one person should or over another, no matter what value they have in this earth",5,5,5,3,5,3,5,4,4,2,5,3,5,5,3,3,5,2,2,,25,1,2,4,1,4,59860ff8644ea4000126ec36,1,,41,,,private
100,314,1,15/08/2018 11:00,R_2Bn5FeLnB1LBTjU,,anonymous,EN-GB,7,,"Although both of them are human beings and deserve to live, Allen is useful to society and is needed for his expertise ",6,3,2,7,3,1,4,5,5,2,5,2,6,6,2,2,6,2,2,,29,1,3,2,3,4,5b3b5972ac7a460001f90ab2,1,,38,,,private
100,172,1,15/08/2018 11:04,R_2zpVtgBCBTYfzKF,,anonymous,EN-GB,,7,5b71961699982e0001460ad3,5,6,7,4,2,4,5,5,7,2,6,5,5,5,6,5,5,2,2,,30,1,3,3,2,4,5b71961699982e0001460ad3,1,,47,,,government
100,552,1,15/08/2018 11:04,R_2txMUscZnuwghPt,,anonymous,EN-GB,,6,"The choice comes down to damage control, saving as many people as possible.",5,4,2,2,5,2,2,2,5,2,4,2,5,4,6,3,2,2,1,,23,1,3,2,2,3,markdunn2012@gmail.com,1,no,31,,,government
100,323,1,15/08/2018 11:10,R_21ss2tgwCaTP4No,,anonymous,EN-GB,6,,Because he can save other lives.,5,3,5,3,5,3,3,4,5,2,5,3,6,3,5,3,5,2,2,,45,5,2,2,2,3,5b719f72ddd1aa00012c97b5,1,,38,,,private
100,226,1,15/08/2018 11:11,R_2bQ5ReQfLndFAzI,,anonymous,EN-GB,,5,Because he can save more people than the unemployed person can,5,4,4,5,5,5,4,5,5,2,6,3,7,4,3,5,5,2,2,,22,6,4,3,1,6,5b7322683ec5550001b84e6d,1,,44,,,government
