StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,DistributionChannel,UserLanguage,Private-one,Private-rule,Government-one,Government-rule,reasons,gender,gender_3_TEXT,age,religion,education,income,ses,political,prolific,fair,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,actor,generality
28/09/2018 19:17,28/09/2018 19:21,0,100,230,1,28/09/2018 19:21,R_2uUKEZcpgL95CrO,,anonymous,EN-GB,,,3,,Perception of saving a 'high qualified' person over someone who society deems lesser.,1,,40,2,4,6,2,4,5ba2540a7b196f00019681b8,1,,,,,,,,,,,government,one-off
28/09/2018 19:20,28/09/2018 19:22,0,100,122,1,28/09/2018 19:22,R_3iJ5UEkIogrp04O,,anonymous,EN-GB,,6,,,you have to earn your worth,1,,29,1,4,5,2,4,5bae1bb1254aa90001899ead,1,,,,,,,,,,,private,rule
28/09/2018 19:22,28/09/2018 19:25,0,100,179,1,28/09/2018 19:25,R_39ruT1IYJai09gZ,,anonymous,EN-GB,,,,6,i agree because saving the unemployed person will not benefit people as much as saving somebody who is trained to save lives,1,,18,1,2,1,1,4,5bae6ec5f44c140001883dc4,1,,,,,,,,,,,government,rule
28/09/2018 19:22,28/09/2018 19:26,0,100,234,1,28/09/2018 19:26,R_pcGSb241IlYUjtL,,anonymous,EN-GB,5,,,,"Greater societal benefit, although this is a view based on pre-existing perception of employment value and a relatively dismissive view of a non-income-based contribution.",1,,33,1,5,5,3,3,5ba8d11202ed500001dfd7c8,2,,,,,,,,,,,private,one-off
28/09/2018 19:26,28/09/2018 19:27,0,100,80,1,28/09/2018 19:27,R_3QGj9Plr700nvot,,anonymous,EN-GB,6,,,,Because person A is more valuable and more useful in case anyone needs treatment from the volcano ,2,,24,2,4,11,3,5,5b2509947f7816000145fa13,1,,,,,,,,,,,private,one-off
28/09/2018 19:25,28/09/2018 19:27,0,100,120,1,28/09/2018 19:27,R_0wunLkC9ARcpW2B,,anonymous,EN-GB,,,7,,There was no easy choice and one person will die anyway. The person picked could save many more lives.,2,,34,1,4,5,1,3,5a804807000dab00018c6e5a,1,,,,,,,,,,,government,one-off
28/09/2018 19:24,28/09/2018 19:27,0,100,181,1,28/09/2018 19:27,R_2axzY3LyCDACZ2Y,,anonymous,EN-GB,,,,5,More context re the individuals required,1,,51,3,5,6,2,2,5bae6e6254fa5500019a5317,1,,,,,,,,,,,government,rule
28/09/2018 19:27,28/09/2018 19:31,0,100,260,1,28/09/2018 19:31,R_31Fx8QFqw7ERELV,,anonymous,EN-GB,,,,1,"just because someone was lucky enough to have a good education and maybe even brighter than another, their life should not be worth any more",2,,55,1,3,2,1,1,5a1491827542890001aa7abf,1,,,,,,,,,,,government,rule
28/09/2018 19:32,28/09/2018 19:37,0,100,278,1,28/09/2018 19:37,R_3GAEUXa6luaYUWf,,anonymous,EN-GB,,,,1,"It is impossible to place a value on somebody's life based on what they do for a living. Equality should be universal and one can not place a greater weight on one life over the other.
It is also impossible or at least near impossible to remove all bias in the decision making process of how to determine what is most ""valuable"" than the other 
The government has a responsibility over all the population of the island and need to invest to keep all their citizens safe and buy more boats. ",2,,24,1,4,6,3,3,5bae14368a1e7e000105998a,1,,,,,,,,,,,government,rule
28/09/2018 19:32,28/09/2018 19:41,0,100,580,1,28/09/2018 19:41,R_1GNug5rTiOTmdsO,,anonymous,EN-GB,6,,,,"In this situation it is impossible to do the right thing - one person will die.  If we disregard their careers, we have no information to distinguish the two people and so the choice would be random (it may otherwise be decided by the relative locations, ease of access, chance of success, etc, but we have no information about that either).  So the fact that one is a doctor who is of benefit to society is the only differentiating fact, and therefore for the good of society it seems beneficial to rescue this person.",1,,49,4,5,6,3,3,5637cce1dc62e5000acb3ff1,1,,,,,,,,,,,private,one-off
28/09/2018 22:42,28/09/2018 22:46,0,100,230,1,28/09/2018 22:46,R_25BBdD410Z65RvM,,anonymous,EN-GB,4,,,,Need more information. ,2,,43,4,4,1,2,3,5ba64a6a30d662000117f556,1,,,,,,,,,,,private,one-off
28/09/2018 22:48,28/09/2018 22:50,0,100,125,1,28/09/2018 22:50,R_3m1ZuvofsU8tAjG,,anonymous,EN-GB,,,6,,"Because if Person B was saved instead, other people outside of the island would most likely die due to not having access to life-saving heart surgery. ",1,,18,1,2,2,1,3,5badd3d7de6f4900019e4148,1,,,,,,,,,,,government,one-off
28/09/2018 22:47,28/09/2018 22:51,0,100,262,1,28/09/2018 22:51,R_3HB2ggNxjQ0DjsQ,,anonymous,EN-GB,,5,,,I can see why someone would suggest that but it would be hard to actually come to that agreement. Personally o would have it hard to choice between 2 people based on what they do? But I can see why this choice was made. ,1,,27,1,2,4,1,4,5bad3638b95cc700014b6785,1,,,,,,,,,,,private,rule
28/09/2018 22:48,28/09/2018 22:52,0,100,213,1,28/09/2018 22:52,R_3Jk4NGuAy7j0h5q,,anonymous,EN-GB,5,,,,"The choice would mostly come down to personal attatchment to either person, however the group is leaning more towards person A and in this dilema, it is a group choice. I also think person A has more of a chance to do good in the world, so saving him would be more beneficial to the human race.",1,,24,2,2,2,1,4,5ba9213e4584060001d688cc,1,,,,,,,,,,,private,one-off
