StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Agree_doctor,Agree_fire,Agree_donor,neg_cons,unfair,moral_worth,Attention_check,Attention_check_DO,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,PROLIFIC_PID,generality,context,FL_16_DO,FL_31_DO
10/03/2019 14:09,10/03/2019 14:10,0,100,68,1,10/03/2019 14:10,R_1mIQB1mkl5hAiGX,,,,,anonymous,EN-GB,7,7,7,1,1,7,4,3|4|2|1,23,male,5,,"$40,000 to $59,999",3,50000,5bbe2ecb,7bbdc371,United States,,one-off,healthcare,FL_32,Donor|Doctors|Firefighters
10/03/2019 14:10,10/03/2019 14:11,0,100,105,1,10/03/2019 14:11,R_2WD9903dxdnEho4,,,,,anonymous,EN-GB,6,2,5,6,5,6,4,4|3|2|1,38,male,6,,"$10,000 to $24,999",1,17500,6295b695,02bdc348,United States,,rule,volcano,FL_18,Donor|Doctors|Firefighters
10/03/2019 14:15,10/03/2019 14:17,0,100,103,1,10/03/2019 14:17,R_3KOSKOYd0LW0S4e,,,,,anonymous,EN-GB,5,6,5,7,6,6,4,3|4|1|2,28,male,5,,"$60,000 to $84,999",4,72500,986a243c,09de0413,United States,,one-off,volcano,FL_17,Doctors|Firefighters|Donor
10/03/2019 14:21,10/03/2019 14:22,0,100,64,1,10/03/2019 14:22,R_1E3WYEUciUeK0Cj,,,,,anonymous,EN-GB,5,5,4,5,6,7,4,3|4|2|1,35,male,5,,"$40,000 to $59,999",3,50000,53a9ee35,67b468d2,United States,,one-off,healthcare,FL_32,Doctors|Firefighters|Donor
10/03/2019 14:22,10/03/2019 14:24,0,100,98,1,10/03/2019 14:24,R_urYEpZaoNJChAm5,,,,,anonymous,EN-GB,6,2,6,5,5,7,4,2|3|1|4,24,male,5,,"$85,000 to $114,999",5,100000,6d7849c0,380e69f9,United States,,rule,healthcare,FL_33,Firefighters|Doctors|Donor
10/03/2019 14:23,10/03/2019 14:25,0,100,88,1,10/03/2019 14:25,R_2QYYOloFrEHq5W7,,,,,anonymous,EN-GB,6,6,6,6,2,6,4,2|3|4|1,34,male,5,,"$40,000 to $59,999",3,50000,837b4872,deb2c8b8,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
10/03/2019 14:23,10/03/2019 14:26,0,100,147,1,10/03/2019 14:26,R_1QA4OXZWAJisQw7,,,,,anonymous,EN-GB,3,2,2,7,7,7,4,1|2|4|3,31,female,4,,"$25,000 to $39,999",2,32500,cbcaf0f9,b5282bf8,United States,,rule,volcano,FL_18,Doctors|Donor|Firefighters
10/03/2019 14:27,10/03/2019 14:28,0,100,52,1,10/03/2019 14:28,R_2OUYj44zmOmfVDf,,,,,anonymous,EN-GB,3,3,3,5,7,7,4,3|1|2|4,47,female,2,,"$85,000 to $114,999",5,100000,6b402de7,d4056e1b,United States,,one-off,volcano,FL_17,Donor|Firefighters|Doctors
10/03/2019 14:36,10/03/2019 14:38,0,100,134,1,10/03/2019 14:38,R_5BdbmDy7T8f5u7L,,,,,anonymous,EN-GB,5,3,4,5,6,6,4,2|3|1|4,54,female,2,,"$60,000 to $84,999",4,72500,9c417a0a,197f4ddf,United States,,rule,healthcare,FL_33,Firefighters|Doctors|Donor
10/03/2019 14:40,10/03/2019 14:41,0,100,91,1,10/03/2019 14:41,R_tQjKQjZn9nWLPmV,,,,,anonymous,EN-GB,1,1,1,7,7,7,4,3|1|4|2,49,female,2,,"$40,000 to $59,999",3,50000,32bf3cb7,d383d69f,United States,,rule,healthcare,FL_33,Donor|Doctors|Firefighters
