StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,agreement,comp_check,trustworthiness,negative_cons,neg_cons_reasons,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,condition
25/04/2019 20:01,25/04/2019 20:02,0,100,55,1,25/04/2019 20:02,R_2lT6sNBUgxkb7ix,anonymous,EN-GB,1,4,1,16,The policy would basically let anyone they consider unworthy die. ,30,female,5,,"$60,000 to $84,999",4,72500,2de2f4a4,b814f45c,United States,hypothetical-rule
25/04/2019 20:04,25/04/2019 20:05,0,100,72,1,25/04/2019 20:05,R_1geccHD3BpOD1vk,anonymous,EN-GB,5,4,6,17,nepotism and favorites will eventually become the norm,35,male,5,,"$200,000 or more",8,225000,56e618bf,dfd9000d,United States,concrete-norule
25/04/2019 20:08,25/04/2019 20:08,0,100,27,1,25/04/2019 20:08,R_1GPS4jmA40hXGCe,anonymous,EN-GB,5,4,6,13,,25,male,5,,"$10,000 to $24,999",1,17500,ce9f52d5,ed0a355a,United States,concrete-norule
25/04/2019 20:09,25/04/2019 20:11,0,100,79,1,25/04/2019 20:11,R_2WVyiUOyYHNs1rv,anonymous,EN-GB,6,4,4,15,"Though I think it's the right decision, it could result in negative feedback or publicity.",34,male,5,,"$60,000 to $84,999",4,72500,4936b98f,0d832362,United States,hypothetical-rule
25/04/2019 20:11,25/04/2019 20:12,0,100,101,1,25/04/2019 20:12,R_1DZSDOzgmu9pxed,anonymous,EN-GB,5,4,4,16,"It could reduce trust in the hospital, and it could possibly lead to biased decisions being made about who to donate organs to and people who might not actually deserve the organs could receive them for whatever reason.",24,male,5,,"$85,000 to $114,999",5,100000,6d7849c0,a6c0ff96,United States,hypothetical-rule
25/04/2019 20:13,25/04/2019 20:14,0,100,79,1,25/04/2019 20:14,R_0dLP32IxGk7iQOl,anonymous,EN-GB,7,4,5,15,"It could lead to only valuable people being saved while ""less valuable"" people die.",22,female,2,,"$85,000 to $114,999",5,100000,f1985482,6c6534b6,United States,concrete-norule
25/04/2019 20:15,25/04/2019 20:16,0,100,78,1,25/04/2019 20:16,R_3GcW2X0xne8FNdt,anonymous,EN-GB,1,4,1,17,People would become critical of this process.,30,female,4,,"$40,000 to $59,999",3,50000,3f49a779,d6ce9f88,United States,hypothetical-rule
25/04/2019 20:24,25/04/2019 20:25,0,100,72,1,25/04/2019 20:25,R_z8oZxXBA4pCiNwJ,anonymous,EN-GB,6,4,5,14,,44,female,5,,"$60,000 to $84,999",4,72500,d2317ea8,59cd244d,United States,concrete-norule
25/04/2019 20:27,25/04/2019 20:27,0,100,45,1,25/04/2019 20:27,R_3EZpWYijUGIrY8X,anonymous,EN-GB,7,4,4,13,,36,male,2,,"$25,000 to $39,999",2,32500,86dbf963,eaafbff1,United States,hypothetical-rule
25/04/2019 20:26,25/04/2019 20:27,0,100,56,1,25/04/2019 20:27,R_2cixmMRm1CtuoIt,anonymous,EN-GB,1,4,1,17,"How are they going to determine who is ""worthy"" or not? Seems ethically really questionable.",36,female,5,,"$60,000 to $84,999",4,72500,8effe7fe,4f8c64b8,United States,concrete-rule
25/04/2019 20:26,25/04/2019 20:28,0,100,93,1,25/04/2019 20:28,R_1E42fXKVclv48co,anonymous,EN-GB,4,4,1,17,Prioritizing people's lives based on human capital alone is pretty disgusting.,24,male,5,,"$25,000 to $39,999",2,32500,da1753c7,0d526e22,United States,concrete-norule
25/04/2019 20:27,25/04/2019 20:28,0,100,66,1,25/04/2019 20:28,R_WvtfdZfoFVzIJUJ,anonymous,EN-GB,3,4,4,15,It could lead people to trust the hospital less.,31,male,5,,"$115,000 to $149,999",6,132500,d3f13af6,1ac98c72,United States,concrete-rule
25/04/2019 20:26,25/04/2019 20:28,0,100,110,1,25/04/2019 20:28,R_1LtfrYsruik1nov,anonymous,EN-GB,5,4,4,15,Favoritism could come into play which would lead to even bigger problems.,30,male,2,,"$25,000 to $39,999",2,32500,8f27955c,e3b10f35,United States,hypothetical-rule
25/04/2019 20:28,25/04/2019 20:29,0,100,36,1,25/04/2019 20:29,R_1BSdI6b5lFCmly8,anonymous,EN-GB,7,4,6,11,,35,male,5,,"$40,000 to $59,999",3,50000,a9fde92c,e24e770d,United States,hypothetical-rule
25/04/2019 20:28,25/04/2019 20:30,0,100,122,1,25/04/2019 20:30,R_RyID221PBYBv4bf,anonymous,EN-GB,5,4,4,16,"Anything could lead to negative consequences in the long term. In this case, one thing that comes to mind is what happens when somebody is considered less useful by some people and not others?",44,male,2,,"$40,000 to $59,999",3,50000,85172219,4a2af775,United States,concrete-rule
25/04/2019 20:29,25/04/2019 20:31,0,100,153,1,25/04/2019 20:31,R_1NboN9ODKesTOVH,anonymous,EN-GB,5,4,6,15,I think there is a possibility that people could be paid off to vote for a specific person's organ transplant over another.,44,female,5,,"$40,000 to $59,999",3,50000,57142250,720d4be2,United States,concrete-rule
25/04/2019 20:31,25/04/2019 20:32,0,100,38,1,25/04/2019 20:32,R_2ZD49NlntFuSIWi,anonymous,EN-GB,7,4,7,11,,29,male,2,,"$40,000 to $59,999",3,50000,70125269,4723c595,United States,concrete-norule
25/04/2019 20:30,25/04/2019 20:32,0,100,122,1,25/04/2019 20:32,R_D90pQ2tv2tpwIIp,anonymous,EN-GB,6,4,4,16,If this sort of reasoning became the common way of deciding who gets organs then it would lead to a merit based system for organ transplants. But who is to decide what is meritous and what isn't. ,38,male,6,,"$10,000 to $24,999",1,17500,6295b695,7963a931,United States,concrete-norule
25/04/2019 20:31,25/04/2019 20:32,0,100,69,1,25/04/2019 20:32,R_2tKdbMukQ9Ew3Da,anonymous,EN-GB,1,4,1,17,bias,25,male,5,,"$85,000 to $114,999",5,100000,cf463fa5,3c0e0f0a,United States,hypothetical-rule
25/04/2019 20:30,25/04/2019 20:32,0,100,142,1,25/04/2019 20:32,R_1rqz4LwAfBVbULJ,anonymous,EN-GB,2,4,3,16,it might create disparities between working people and non-working people in terms of descrimination,40,male,5,,"$115,000 to $149,999",6,132500,800bbadc,ace81e34,United States,hypothetical-rule
25/04/2019 20:31,25/04/2019 20:34,0,100,130,1,25/04/2019 20:34,R_22mnoHqCP7k9JXa,anonymous,EN-GB,5,4,6,16,People could misrepresent their benefit to society,50,male,5,,"$200,000 or more",8,225000,a78c21e5,b6d4c4e7,United States,concrete-rule
25/04/2019 20:32,25/04/2019 20:34,0,100,114,1,25/04/2019 20:34,R_1IiPfBnV9VNvZHt,anonymous,EN-GB,4,4,4,16,its a tough choice and the other man may do great things,32,female,2,,"$40,000 to $59,999",3,50000,f4e85d27,191cc497,United States,concrete-norule
25/04/2019 20:34,25/04/2019 20:36,0,100,75,1,25/04/2019 20:36,R_31XYkoCS0He1zCj,anonymous,EN-GB,7,4,5,17,They may start judging everyone on how worthy they are of getting a new organ instead of being unbiased,27,male,4,,"$40,000 to $59,999",3,50000,bfd086b5,5a52495b,United States,concrete-norule
25/04/2019 20:34,25/04/2019 20:38,0,100,225,1,25/04/2019 20:38,R_8enhe150II999uN,anonymous,EN-GB,6,4,6,15,People who didn't receive kidneys may experience physical struggles later in life.,23,male,4,,"$25,000 to $39,999",2,32500,21278799,20a5d4b9,United States,hypothetical-rule
