Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,agreement,attn_check,negative_cons,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,condition,proposal
100,20,1,07/08/2019 10:58,R_1hWk8BYKDnPGYiu,,,,,anonymous,EN-GB,2,4,6,42,male,5,,"$85,000 to $114,999",5,100000,e2cbc73f,98fe5a9d,United States,policy-base,policy
100,81,1,07/08/2019 10:59,R_qVhN5gOQIJkvmut,,,,,anonymous,EN-GB,5,4,2,36,female,5,,"$25,000 to $39,999",2,32500,d6067973,eea60bc3,United States,oneoff,proposal
100,65,1,07/08/2019 10:59,R_2nq56HJ5sTiosZH,,,,,anonymous,EN-GB,6,4,3,49,female,5,,"$25,000 to $39,999",2,32500,c34eeed3,0b7130d8,United States,oneoff,proposal
100,117,1,07/08/2019 11:01,R_1GOJ5gBwvesWojn,,,,,anonymous,EN-GB,6,4,2,48,female,5,,"$85,000 to $114,999",5,100000,7960895d,4864006a,United States,policy-repeal,policy
100,258,1,07/08/2019 11:02,R_smW6pmdjLj3jXkB,,,,,anonymous,EN-GB,1,4,7,52,female,4,,"$60,000 to $84,999",4,72500,3e78c370,87180091,United States,policy-base,policy
100,70,1,07/08/2019 11:06,R_OEdmtF7rsaRU9H3,,,,,anonymous,EN-GB,3,4,6,41,male,8,,"$115,000 to $149,999",6,132500,5.81E+09,00e9fac7,United States,policy-base,policy
100,91,1,07/08/2019 11:07,R_1i4zSJXoR2rOxzl,,,,,anonymous,EN-GB,4,4,6,41,male,2,,"$25,000 to $39,999",2,32500,aed83f37,d60e425c,United States,policy-base,policy
100,122,1,07/08/2019 11:07,R_cA5ZZMo4R9WDCy5,,,,,anonymous,EN-GB,1,4,7,39,female,5,,"$115,000 to $149,999",6,132500,18a6a68f,f16d0e69,United States,oneoff,proposal
100,113,1,07/08/2019 11:08,R_3pkWs66XAzHRj3t,,,,,anonymous,EN-GB,6,4,6,29,male,5,,"$85,000 to $114,999",5,100000,ed6bc9d0,ada0bd4d,United States,policy-repeal,policy
100,314,1,07/08/2019 11:10,R_1IMYCRkc7uO4QUJ,,,,,anonymous,EN-GB,4,4,5,35,female,2,,"$10,000 to $24,999",1,17500,d7a691bb,0ec073c1,United States,policy-repeal,policy
