"","subject","pep_baseline","pep_counting","pep_self_affirmation","pep_stroop","cycles_baseline","cycles_counting","cycles_self_affirmation","cycles_stroop","na_cycles_baseline","na_cycles_counting","na_cycles_self_affirmation","na_cycles_stroop","group","affirmation","depletion","cycles_percent_baseline","cycles_percent_counting","cycles_percent_affirmation","cycles_percent_stroop","pep_counting_r","pep_self_affirmation_r","pep_stroop_r","pep_stroop_r_aff","z_pep_baseline","z_pep_counting_r","z_pep_self_affirmation_r","z_pep_stroop_r","z_cycles_baseline","z_cycles_counting","z_cycles_self_affirmation","z_cycles_stroop","z_na_cycles_baseline","z_na_cycles_counting","z_na_cycles_self_affirmation","z_na_cycles_stroop"
"1",2,86.0186567164179,86.0310734463277,89.8033980582524,86.6074660633484,669,546,417,442,1,15,5,0,"ed aff",1,1,0.00149476831091181,0.0274725274725275,0.0119904076738609,0,0.0124167299097735,3.78474134183452,0.588809346930503,-3.19593199490402,-1.60777086773985,0.197341387290962,-0.457026590606631,0.0745030064267455,-0.677827124126867,-0.846297357149657,-0.799654134262871,-0.78011803276198,-0.553461091721254,-0.101862360677187,-0.569127380993874,-0.597989579267533
"2",3,134.78125,131.984848484848,143.653301886792,128.494082840237,727,563,441,508,2,2,17,1,"no.ed no.aff",0,0,0.00275103163686382,0.00355239786856128,0.0385487528344671,0.00196850393700787,-2.7964015151515,8.87205188679246,-6.2871671597633,-15.1592190465558,1.10341005644275,-0.105739663774537,0.194802142213028,-0.434564926339478,-0.000916860729812284,-0.523095320959386,-0.432223395648998,0.055375737144953,-0.330286232128129,-0.367363110828101,-0.226642782894411,-0.421447752114403
"3",4,102.411363636364,93.4735099337748,110.850111856823,96.6148514851485,740,604,451,505,2,0,4,0,"no.ed aff",1,0,0.0027027027027027,0,0.00886917960088692,0,-8.9378537025888,8.43874822045963,-5.79651215121511,-14.2352603716747,-0.606489935276247,-0.755977631152742,-0.0771628988274947,-0.775118306586527,-0.184835919406762,-0.265172315269045,-0.432707945957329,-0.089777444176914,-0.452754683036626,-0.510738194681455,-0.562047529042152,-0.608386087415631
"4",5,129.098591549296,132.617866004963,138.831147540984,124.642424242424,480,403,305,331,4,0,0,1,"ed no.aff",0,1,0.00833333333333333,0,0,0.00302114803625378,3.51927445566702,9.73255599168783,-4.45616730687154,-14.1887232985594,1.45389986922326,0.553632101827068,0.411614345263662,-0.701044441817674,NA,NA,-2.14952920069494,NA,-0.304823412475395,-0.413253928464314,-0.397832737100485,-0.456627875186413
"5",6,120.169300225734,125.975357710652,141.807517084282,123.365458015267,737,644,468,540,1,15,29,16,"ed aff",1,1,0.00135685210312076,0.0232919254658385,0.061965811965812,0.0296296296296296,5.8060574849182,21.6382168585488,3.19615778953354,-18.4420590690153,0.414187661916851,1.06355624216395,1.89200445987102,0.35416009973089,-0.116215790646643,0.1080478269676,-0.0793601243423199,0.481558125528122,-0.553461091721254,-0.101862360677187,0.242301756264719,1.0223692806832
"6",7,118.134920634921,116.855714285714,121.828729281768,116.466836734694,840,701,543,589,0,1,0,1,"no.ed no.aff",0,0,0,0.0014265335235378,0,0.00169779286926995,-1.27920634920635,3.69380864684733,-1.66808390022676,-5.36189254707409,0.205787414324638,0.0871290452152769,-0.483171062627319,-0.000684805444997489,1.19054365766132,1.20971143783243,1.27054081290272,1.09220989092432,-0.382948854928455,-0.404436452287818,-0.606974663202201,-0.421447752114403
"7",8,93.8018867924528,81.3292253521127,92.8348909657321,87.682563338301,975,852,646,673,0,0,4,2,"no.ed aff",1,0,0,0,0.00619195046439629,0.00297176820208024,-12.4726614403402,-0.966995826720748,-6.1193234541518,-5.15232762743105,-1.04491811375737,-1.16731228437048,-1.32472479265343,-0.80848380771617,1.82378563252799,2.3424409358486,2.46469576252579,2.38377069778541,-0.539199491253643,-0.510738194681455,-0.562047529042152,-0.397889635229632
"8",9,132.196215139442,129.129360465116,127.359582542694,122.451140065147,837,695,532,617,3,7,5,3,"ed no.aff",0,1,0.003584229390681,0.0100719424460432,0.0093984962406015,0.00486223662884927,-3.06685467432595,-4.83663259674775,-9.74507507429567,-4.90844247754792,1.68825145216606,-0.317505034659923,-1.35783082430617,-1.3389511994287,0.613193883031981,0.477442198969003,0.558565578549732,1.46063194695424,-0.340063113339603,-0.335595472108604,-0.359063429886795,-0.399815697869285
"9",10,105.546436285097,87.4004092769441,109.607645875252,86.025041736227,787,734,498,599,0,1,1,0,"ed aff",1,1,0,0.00136239782016349,0.00200803212851406,0,NA,4.06120959015432,-19.5213945488701,-23.5826041390245,-0.451588834057929,NA,-0.420650900105004,-2.08246269687551,0.296733719265287,0.984487281769162,0.344342234434475,1.24113866980482,-0.610575012734258,-0.360030757565918,-0.704365570536972,-0.597989579267533
"10",11,105.294258373206,97.5117967332123,113.073529411765,99.8369098712446,696,553,409,467,0,2,1,1,"no.ed no.aff",0,0,0,0.00361663652802893,0.00244498777506112,0.00214132762312634,-7.7824616399934,7.77927103855897,-5.45734850196111,-13.2366195405201,-0.48662164073625,-0.739577024194003,0.0517273387449578,-0.356618329723283,-0.32777771090791,-0.648661028118213,-0.966423931665225,-0.46944155057053,-0.382948854928455,-0.367363110828101,-0.584602199654684,-0.421447752114403
"11",12,109.382183908046,113.385771543086,120.157178217822,111.472553699284,623,501,410,424,27,2,6,5,"no.ed aff",1,0,0.043338683788122,0.00399201596806387,0.0146341463414634,0.0117924528301887,4.0035876350402,10.7749943097758,2.09036979123803,-8.68462451853777,-0.251508547946713,0.749977905806023,0.232712809145278,0.0400630887560288,-1.18487303249768,-1.34817298004774,-1.0419056487666,-1.28238101262303,0.627805419676085,-0.449776721662708,-0.515867271144901,-0.0821449569506337
"12",14,105.337477797513,98.3207792207792,106.073581560284,110.714165261383,948,786,596,599,2,16,32,6,"ed aff",1,1,0.00210970464135021,0.0203562340966921,0.0536912751677852,0.010016694490818,-7.0166985767341,0.736103762770369,5.37668746386949,4.64058370109912,-0.463960647672484,-0.853590893929018,-0.858144251320384,0.588037774315661,1.6264311411817,1.49087452232118,1.72843660643867,1.24113866980482,-0.49634717070825,-0.0834217608994201,0.343730398422043,0.00964499321399244
"13",15,96.9936842105263,97.5805647840532,105.771812080537,100.086776859504,800,604,457,485,6,2,10,1,"no.ed no.aff",0,0,0.0075,0.0033112582781457,0.0218818380743982,0.00206185567010309,0.586880573526841,8.77812787001061,3.09309264897782,-5.68503522103279,-0.934214809632206,0.32434953189282,0.182504927942006,0.446542434398287,0.768787721947644,-0.00827592160819503,-0.165123127640885,-0.239033960841781,-0.224960986527478,-0.367363110828101,-0.383250027727031,-0.421447752114403
"14",16,93.501246882793,96.09229390681,112.025821596244,104.036214953271,671,561,430,428,0,3,4,0,"no.ed aff",1,0,0,0.0053475935828877,0.00930232558139535,0,2.59104702401703,18.5245747134511,10.534968070478,-7.9896066429731,-1.06022787187166,0.585604919918873,1.26060397397702,0.912889569310273,-0.774601396357816,-0.717298806390249,-0.744736037640127,-1.22348700924298,-0.539199491253643,-0.419295985153334,-0.562047529042152,-0.608386087415631
"15",17,118.636585365854,121.134168157424,128.6038647343,123.002369668246,696,561,427,423,9,2,13,1,"ed no.aff",0,1,0.0129310344827586,0.0035650623885918,0.0304449648711944,0.00236406619385343,2.49758279157031,9.96727936844586,4.36578430239278,-5.60149506605308,0.662393852273306,0.418494522064069,0.440121776728945,0.362990476985231,-0.643953881526497,-0.97906900562625,-0.694077381012783,-1.33870218699609,-0.128624908154358,-0.391065798076969,-0.29703253834489,-0.456627875186413
"16",18,113.909198113208,108.929071803853,111.646080760095,108.242886178862,705,576,440,494,8,5,19,2,"ed aff",1,1,0.0113475177304965,0.00868055555555556,0.0431818181818182,0.00404858299595142,-4.98012630935466,-2.26311735311253,-5.66631193434576,-3.40319458123322,0.0435455432847021,-0.549100293696095,-1.25276005158076,-0.596404267493352,-0.380503476990278,-0.554150872215803,-0.474815659200661,-0.110657214077436,-0.153663644630225,-0.286268358454852,-0.0957937175930282,-0.395444721773691
"17",19,114.907110091743,113.844197138315,NA,109.580082135524,739,633,496,531,8,4,86,44,"no.ed no.aff",0,0,0.0108254397834912,0.00631911532385466,NA,0.0828625235404896,-1.06291295342834,NA,-5.32702795621951,NA,0.031733677643098,0.114624669340035,NA,-0.344377049156483,0.12560991998429,0.355864629152403,0.485933775628892,0.349785435131687,-0.172298363727152,-0.293216427908668,1.31705720188426,1.17859764842742
"18",20,NA,173.537330316742,189.477272727273,184.092405063291,553,442,336,396,1,0,6,1,"no.ed aff",1,0,0.00180831826401447,0,0.0178571428571429,0.00252525252525253,4.65213394211972,20.5920763526504,15.2072086886688,-5.38486766398157,NA,0.825447235430128,1.53483387514692,1.39580837731366,-1.78318583520165,-1.96853258414428,-2.14143320993456,-1.69463903628342,-0.495977087145135,-0.510738194681455,-0.515867271144901,-0.503137861322631
"19",21,116.955380577428,119.294673539519,NA,122.860215053763,729,596,459,465,58,14,47,0,"ed no.aff",0,1,0.0795610425240055,0.023489932885906,NA,0,2.33929296209108,NA,5.90483447633562,NA,0.535201831696014,0.397557770587455,NA,0.548618691624852,-0.349727808970258,-0.598636974575251,-0.312319526669921,-0.732660776553237,1.59812043419181,-0.257937015752894,-0.0334012492917949,-0.485033963844977
"20",22,106.640995260664,103.161266568483,114.088983050847,111.035852713178,709,679,473,516,2,0,1,0,"ed aff",1,1,0.00282087447108604,0,0.00211416490486258,0,-3.47972869218044,7.44798779018396,4.3948574525148,-3.05313033766916,-0.386783236580537,-0.324773871128588,0.0249568553990935,0.482729361137058,-0.347467516197323,0.448885392723763,-0.00874306454618744,0.172576209212179,-0.49634717070825,-0.378471357343685,-0.704365570536972,-0.597989579267533
"21",23,129.994011976048,125.149553571429,134.547197640118,128.954954954955,554,450,341,333,3,2,2,0,"no.ed no.aff",0,0,0.00541516245487365,0.00444444444444444,0.00586510263929619,0,-4.84445840461935,4.55318566407007,-1.03905702109296,-5.59224268516303,0.845267065921211,-0.36609251558664,-0.370655183489356,0.0584010007701164,-1.82501128269145,-1.94198781185413,-2.10160007069971,-2.18469805188455,-0.303954920727967,-0.367363110828101,-0.562229736107167,-0.458658110266538
"22",24,131.754926108374,131.003759398496,141.85142118863,134.919512195122,678,536,427,411,2,4,40,1,"no.ed aff",1,0,0.00294985250737463,0.00746268656716418,0.0936768149882904,0.0024330900243309,-0.751166709878134,10.0964950802561,3.16458608674756,-6.93190899350856,0.887798844169122,0.196681835777985,0.142717825282968,0.151093169472667,-0.714770116087419,-0.980163045414204,-0.789311479309098,-1.47378652360821,-0.452754683036626,-0.388815248643961,0.269197113108366,-0.503137861322631
"23",25,92.8051359516616,NA,81.1118568232662,77.0738045738046,562,624,455,499,2,72,8,18,"ed no.aff",0,1,0.00355871886120996,NA,0.0175824175824176,0.0360721442885772,NA,-11.6932791283954,-15.731331377857,-4.03805224946164,-1.29189171011053,NA,-2.19057864764769,-2.06096669237295,-1.83869005493668,-0.294291349734452,-0.360039258462779,-0.242055825242354,-0.375302814203811,0.385518765480132,-0.33580184555858,0.0262756320091715
"24",27,126.48488372093,117.297297297297,122.15881147541,117.775929549902,767,629,494,513,32,0,6,2,"no.ed no.aff",0,0,0.0417209908735332,0,0.0121457489878543,0.00389863547758285,-9.18758642363294,-4.32607224552039,-8.70895417102807,-4.38288192550768,0.656043789917921,-0.918199134963334,-1.53319210240644,-0.662048429491069,0.420839074983862,0.305638346288873,0.452546242127877,0.119377845402939,0.459653109876756,-0.441509793747534,-0.472739881917099,-0.384237393962267
"25",28,102.090729783037,105.847322720695,108.778084714549,112.174863387978,840,691,545,550,0,0,2,1,"no.ed aff",1,0,0,0,0.0036697247706422,0.00181818181818182,3.75659293765717,6.68735493151132,10.0841336049407,3.39677867342934,-0.622817863072765,0.721235896131884,-0.309464726033752,0.866291703212262,0.669896655884621,0.649595236534322,0.963989226337099,0.572780093848709,-0.539199491253643,-0.510738194681455,-0.608227786939403,-0.503137861322631
"26",29,88.8971428571429,91.7700145560408,105.206114398422,95.44,897,699,514,551,2,12,7,1,"ed no.aff",0,1,0.00222965440356745,0.0171673819742489,0.0136186770428016,0.00181488203266788,2.87287169889791,16.3089715412792,6.54285714285714,-9.76611439842209,-1.58755202556762,0.468133406700552,1.21032778470291,0.625572003798285,1.14815037858878,0.520920145374832,0.343826785481872,0.508281159115467,-0.375302814203811,-0.28012514614024,-0.343555707001319,-0.456627875186413
