caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,conf.external,conf.internal,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,evol1,evol2,evol.science3,q20f1,q21af2,q21bf2,q21cf2,global.warm.science,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,big.bang.science,q33,q34,q35,q37,q38,gmo.science,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knowledge.sum,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1,believ,believ2,filter_$,agreement.science.MEAN,COO_1,COO_2,agreement.science.2MEAN,COO_3,COO_4,religion.2cat
100744,1.92857142857143,1,81914,1,4,4,S,3,2,2,3,3,4,9,4, ,4,4,2,2,2,2,1,1,2, , , , ,2,2,1,1,1,2, ,1,1, ,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,1,4,9,2,9,9,1,8,8,3,2,8,3,2,61,4, ,2,1,1, , , ,1, ,1,6,2, ,99,1,9,5,2,3,4,9,9,1, ,1,2,1, , , ,1, ,2,.000693996710009265,.000819177269401972,2,.000562445214351569,.00040860755368402, 
100983,1.92857142857143,1,82014,1,3,37,U,3,1,2,4,4,4,4,4,4, ,2,2,2,2,2,1,1,2, , , , ,2,1,2,2, ,1,2, , , ,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,3,1,2,1,3,2,1,6,2,54,6,2,2,9,9, , , ,9, ,1,1,2, ,99,1,2,1,6,3,4,9,9,2,2,1,2,1, , , ,1, ,1.5,2.92824043925057E-005,3.20873230454086E-005,1.5,.00013112537541862,6.86993712721182E-005, 
101462,30.1428571428571,1,81814,1,1,34,S,3,2,2,3,1,4,4,4, ,4,2,1,2,2,2,1,1,2, , , , ,2,2,2,2, ,1, ,2, ,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,3,1,2,1,2,2,1,5,1,50,4, ,2,1,1, , , ,1, ,1,2,2, ,99,1,2,4,4,1,3,9,2,2,2,1,1,1, , , ,1, ,1.25,.000148593960325497,.000180374525691765,1,.000331433850398745,.000293709314776861, 
101785,2,1,81914,1,3,11,U,5,1,9,3,2,3,4,3,3, ,1,1,2,1,1,2,2,1,1,8, , ,1,1,1,1,2,1,2, , , ,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,3,1,2,2,3,3,1,4,2,44,6,2,2,2,2, , , ,2, ,1,6,1, ,99,1,2,3,6,1,3,2,3,2,1,1,1,1, , , ,1, ,1.5,1.07107970231718E-007,3.21587420580384E-008,1.5,4.4851317302525E-006,1.36960985095016E-005, 
102574,5.71428571428571,1,82014,1,2,29,R,1,2,1,2,1,3,4,3, ,2,2,2,2,1,1,1,1,2, , , , ,1,1,1,1,2,1, ,1,2, ,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,3,1,2,1,3,2,1,6,1,32,7,1,1,1,1, , , ,3,3, ,1,1,1,99,1,1,3,7,1,1, ,3,6,2,1,1,1, , , ,1, ,1.25,4.6538417760186E-005,5.45660808487509E-005,1,.000181264220111225,.000211469871118488, 
102737,1.78571428571429,1,82514,1,3,37,U,3,1,9,3,2,2,3,2,1, ,3,9,9,1,1,9,2,2, , , , ,9,1,2,9, ,9,9, , , ,9,2,9,1,9,1,1,1,1,1,1,1,9,2,2,2,9,2,9,3,9,1,8,8,3,2,8,3,1,99,6,2,2,1,1, , , ,1, ,1,9,9, ,99,1,9,9,10,9,3,9,2,9,9,9,9,9,9, , ,1, , , , , , , , 
102859,8.57142857142857,1,82114,1,2,18,U,2,1,2,3,1,4,4,1,2, ,1,2,2,2,2,2,2,2, , , , ,2,2,2,1,1,1,3, , , ,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,3,3,2,8,2,2,1,3,1,70,8,2,2,9,9, , , ,9, ,1,1,2, ,99,1,9,3,10,1,9,9,2,2,2,1,1,1, , , ,1, ,1.75,.000275573059783983,.000358200641339881,1.5,3.90079021723923E-007,5.43835376804987E-006, 
103540,1.64285714285714,1,82214,1,2,26,U,5,1,1,3,1,4,4,1,4, ,1,1,1,1,1,1,2,2, , , , ,1,1,1,2, ,1,2, , , ,2,9,1,9,1,9,2,1,1,2,1,1,2,2,1,2,1,9,2,1,3,1,1,8,3,2,4,3,2,60,4, ,1,4,1,7, , ,3,1, ,3,2, ,99,1,2,1,1,1,2, ,1,1, ,1,1,1, , , ,1, ,1.75,.000101785115357088,.000123152164536308,1.5,1.10489735968059E-005,2.1341135114634E-006, 
103590,1.35714285714286,1,82214,1,3,13,S,5,2,1,2,1,2,4,2, ,1,1,1,2,1,1,1,2,2, , , , ,1,1,1,1,1,1, ,1,1, ,1,9,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,9,1,2,3,1,2,1,3,2,1,6,2,63,8,1,2,1,1, , , ,1, ,1,1,2, ,99,1,2,5,10,1,3,2,3,2,2,1,1,1, , , ,1, ,1,.000996296449183877,.00118072517483115,1,.000334538522919052,.000303649855662572, 
103717,1,1,82414,1,2,26,S,5,1,2,2,2,2,3,2,2, ,2,1,1,1,1,1,2,2, , , , ,1,1,1,1,1,1,3, , , ,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,3,2,1,8,1,2,1,2,2,99,8,2,2,2,2, , , ,2, ,1,6,2, ,99,1,9,1,10,1,2, ,9,9,1,1,1,1, , , ,1, ,1.75,.000101659829683679,.000147718484756844,1.5,.000107246819808856,6.83857427133349E-005, 
