ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,V10,Q4,Consent,Consent2,prompt,Conflicts,Coexist,Compete,Attention,prompt,religious_forecast_1,religious_forecast_2,noreligious_forecast_1,noreligious_forecast_2,You_1,You_2,prompt,Hydraulics_rel_1,Hydraulics_rel_2,Hydraulics_sci_1,Hydraulics_sci_2,prompt,Generosity,Caregiving,Bravery,Reciprocity,Public_goods,Respect,Equity,attention,Age,Gender,State,Race,Race_TEXT,Religion,Religion_TEXT,Income,Q25,Q26,Ladder,Conservative,code,LocationLatitude,LocationLongitude,LocationAccuracy
R_OuH6b4JDGf2MYMx,,Anonymous,,,24.20.124.0,0,5/9/20 10:25,5/9/20 10:26,0,1,1,1,1,4,4,4,12,1,0,0,0,0,0,2,1,-50,-50,-48,-50,1,18,6,6,5,6,6,6,moo,,,,,,,,,,,,,,,,-1
R_3Pv65asLTBU3BeL,,Anonymous,,,185.232.22.209,0,5/9/20 9:43,5/9/20 9:48,1,1,1,1,1,7,6,7,10,1,0,99,4,100,14,100,1,-14,10,6,33,1,20,7,9,8,8,9,9,wolves,21,2,la,1,,2,,2,1,1,9,9,1,40.71569824,-74,-1
R_2rjvYK8lIrv1qkF,,Anonymous,,,68.100.174.128,0,5/9/20 9:40,5/9/20 9:40,0,1,1,1,1,7,2,7,12,1,1,0,0,1,1,0,1,,,-49,-50,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_2YXl9HsS6sn2HAo,,Anonymous,,,24.208.188.198,0,5/9/20 10:28,5/9/20 10:32,1,1,1,1,1,5,3,5,12,1,5,99,4,95,68,97,1,50,-40,-41,35,1,20,1,9,9,7,7,8,woof (bark) ?,22,1,Ohio,1,,3,,2,1,1,4,8,1,40.74159241,-84.15219879,-1
R_wRct6t3pfVZN4Jj,,Anonymous,,,69.144.236.171,0,5/9/20 9:39,5/9/20 9:46,1,1,1,1,1,6,4,5,12,1,10,60,20,65,15,56,1,-23,26,-36,23,1,20,9,6,6,6,7,8,LOL LOL,8,1,MONTONA,1,,2,,3,1,1,5,5,1,45.19650269,-109.2687988,-1
R_3prMWVSVjKOq0Fe,,Anonymous,,,167.142.35.53,0,5/9/20 9:54,5/9/20 9:57,1,1,1,1,1,5,4,4,12,1,15,7,44,13,25,15,1,1,-13,-5,24,1,19,7,6,8,7,7,7,bark,14,1,texas,1,,2,,2,1,1,7,5,1,43.04330444,-92.03019714,-1
R_3HBb2VV0DOfpIow,,Anonymous,,,68.35.229.206,0,5/9/20 10:46,5/9/20 10:52,1,1,1,1,1,5,2,3,12,1,18,68,32,19,51,33,1,-35,8,18,-11,1,17,6,7,8,8,9,5,bark,6,1,Florida,1,,0,,2,1,1,1,3,1,30.49079895,-84.31580353,-1
R_1jkxC3aSzpoqezA,,Anonymous,,,73.79.166.153,0,5/9/20 10:02,5/9/20 10:07,1,1,1,1,1,6,7,5,12,1,18,44,38,64,96,0,1,34,-34,50,-47,1,19,5,9,8,7,4,9,woof,20,2,Ohio,1,,3,,2,1,1,3,4,1,40.10360718,-80.73609924,-1
R_2sR4KGD2jIWG4vd,,Anonymous,,,107.213.18.195,0,5/9/20 10:02,5/9/20 10:22,1,1,1,1,1,6,7,6,12,1,23,50,40,32,27,16,1,19,8,-27,-38,1,20,8,8,8,8,8,8,bark,12,2,illinois,1,,2,,2,1,1,10,8,1,32.51950073,-96.8105011,-1
R_3LXQU92LiNlPXxg,,Anonymous,,,71.34.73.47,0,5/9/20 10:48,5/10/20 2:19,1,1,1,1,1,1,1,1,12,1,24,77,15,77,0,100,1,0,0,0,0,1,21,1,1,9,7,8,4,bark,35,2,oregon,1,,0,,4,1,1,8,2,1,45.54719543,-122.6417007,-1
