"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","Gender","Gender_3_TEXT","Age","State","income","Education","Hispanic","Race","Race_6_TEXT","Pets_1","Pets_2","Pets_3","Pets_4","Pets_5","Pets_6","Pets_7","Pets_8","Pets_9","Pets_10","Pets_10_TEXT","Donations_1","Donations_2","Donations_3","Donations_4","Donations_5","Donations_6","Donations_7","Donations_8","Donations_9","Donations_10","Donations_11","Donations_12","Donations_13","Donations_14","Donations_15","Donations_16","Donations_17","Impossible_1","Impossible_2","Impossible_3","Impossible_4","Impossible_5","Impossible_8","Impossible_6","Impossible_7","Impossible_11","Impossible_9","Impossible_10","Blue_dress","Don","assignment_id","participant_id","age","year_of_birth","education","educationScore","gender","femaleAs1MaleAs0","income_1","incomeScore","householdIncomeEstimate","computer_country","device","Location","Age_1","AttnCheck","FL_45_DO_Farmedidentifiableappeal.FIA.","FL_45_DO_Companionidentifiableappeal.CIA.","FL_45_DO_Farmedstatisticalappeal.FSA.","FL_45_DO_Companionstatisticalappeal.CSA.","FL_45_DO_Farmedidentifiableandstatisticalappeal.FISA.","FL_45_DO_Companionidentifiableandstatisticalappeal.CISA.","FL_45_DO_Farmednotextappeal.FNTA.","FL_45_DO_Companionnotextappeal.CNTA.","Flagged_susp","speeder","location.fail","ran.fail","type.fail","computer.fail","dress.fail","suspicious.fail","dupe","IP.fail","rejects","don","cond","CvF","stat","ident","donors","anim.don","AgeGroup","gender.coll","age.gend","regions","reg","race2","race.coll","caseid","weightvec"
"19-09-05 12:36","19-09-05 12:37",100,67,TRUE,"19-09-05 12:37","Man",NA,26,"Ohio",1,"Bachelor's degree","No","Caucasian/White",NA,NA,"Cat(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner",NA,NA,"Went to a sporting event",NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","29b0bb58","c3a52762",25,1994,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$10,000 to $24,999",1,17500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CISA","Companion","stat appeal","ident victim","non-donor",0,2,1,8,"Midwest",2,1,1,1,0.732271038750967
"19-09-05 12:36","19-09-05 12:38",100,95,TRUE,"19-09-05 12:38","Man",NA,42,"New York",4,"High school graduate","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","0","0bb27729","2b26bb2c",42,1977,"Completed only high school or the equivalent (for example: GED), no college",2,"male",0,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,1,0,0,0,"CNTA","Companion","no stat appeal","no ident victim","non-donor",0,3,1,9,"Northeast",1,1,1,2,0.413450700723664
"19-09-05 12:37","19-09-05 12:38",100,81,TRUE,"19-09-05 12:38","Man",NA,42,"Oklahoma",5,"Bachelor's degree","No","Caucasian/White",NA,NA,NA,"Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local social service charities, such as shelters and food banks in your community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchased a new television","Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,"Went to a sporting event",NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","e662fde0","8eb644c5",41,1978,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$115,000 to $149,999",6,132500,"United States","desktop",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"FSA","Farmed","stat appeal","no ident victim","non-donor",0,3,1,9,"South",3,1,1,3,0.420050958533464
"19-09-05 12:36","19-09-05 12:39",100,184,TRUE,"19-09-05 12:39","Woman",NA,40,"Idaho",3,"Some college, no degree","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)","Fish",NA,"Small mammal(s): Rabbit, mouse, guinea pig, ferret, etc.",NA,NA,NA,NA,NA,NA,"Animal rescues, shelters, advocacy groups, or other animal charities (pets, wildlife, marine life, farm animals, etc.)","Local social service charities, such as shelters and food banks in your community","Place of worship (church, synagogue, mosque, etc.)","Health charities",NA,"Charities that support military troops and/or veterans",NA,"Fire, police and emergency rescue charities",NA,NA,"Youth development (sports, extracurricular activities, out-of-school time enrichment, leadership)",NA,NA,NA,NA,NA,"Purchased a new television","Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,"Went to a sporting event",NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","30","6fd57452","a8f0b3ee",40,1979,"Completed trade/technical/vocational training",3,"female",1,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,30,"FISA","Farmed","stat appeal","ident victim","donor",1,3,2,3,"West",4,1,1,4,0.353202030869355
"19-09-05 12:35","19-09-05 12:40",100,267,TRUE,"19-09-05 12:40","Woman",NA,48,"California",3,"Associate degree","Yes","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health charities","ChildrenŠ—Ès charities",NA,"Emergency relief efforts in the case of a natural disaster, etc.",NA,"Environmental or nature conservation charities (not specifically animal-related)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","25","24229bea","0f17915a",48,1971,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,"female",1,"$40,000 to $59,999",3,50000,"United States","desktop",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,25,"CSA","Companion","stat appeal","no ident victim","donor",0,4,2,4,"West",4,1,1,5,0.621334003243371
"19-09-05 12:39","19-09-05 12:41",100,96,TRUE,"19-09-05 12:41","Man",NA,39,"Illinois",1,"Master's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,NA,"Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","c09ef948","6295b695",39,1980,"Completed master's degree (MA, MS, MEng, MEd, MBA, or other)",6,"male",0,"$10,000 to $24,999",1,17500,"United States","desktop",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CIA","Companion","no stat appeal","ident victim","non-donor",0,3,1,9,"Midwest",2,1,1,6,1.07586077444404
"19-09-05 12:40","19-09-05 12:41",100,93,TRUE,"19-09-05 12:41","Woman",NA,21,"Idaho",2,"High school graduate","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formal education (K-12 schools, colleges, scholarship funds)",NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner",NA,NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","61149a6f","26fe4684",22,1997,"Completed only high school or the equivalent (for example: GED), no college",2,"female",1,"$40,000 to $59,999",3,50000,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"FNTA","Farmed","no stat appeal","no ident victim","non-donor",0,1,2,1,"West",4,1,1,7,1.95815854008855
"19-09-05 12:41","19-09-05 12:43",100,111,TRUE,"19-09-05 12:43","Man",NA,51,"Florida",5,"Bachelor's degree","Yes","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner",NA,NA,"Went to a sporting event",NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","815c10b4","ceee74db",51,1968,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$150,000 to $199,999",7,175000,"United States","desktop",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"FIA","Farmed","no stat appeal","ident victim","non-donor",0,4,1,10,"South",3,1,1,8,0.991436793990049
"19-09-05 12:40","19-09-05 12:46",100,343,TRUE,"19-09-05 12:46","Man",NA,29,"Arizona",3,"Bachelor's degree","No","Caucasian/White",NA,NA,NA,"Dog(s)",NA,NA,NA,"Reptile(s) or amphibian(s): Snake, lizard, frog, toad, etc.",NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","10","2b00dfb8","04c52a59",29,1990,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,10,"CSA","Companion","stat appeal","no ident victim","donor",0,2,1,8,"West",4,1,1,9,0.284837883035609
"19-09-09 8:37","19-09-09 8:39",100,91,TRUE,"19-09-09 8:39","Man",NA,31,"Maryland",5,"Bachelor's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health charities","ChildrenŠ—Ès charities",NA,NA,"Fire, police and emergency rescue charities",NA,NA,"Youth development (sports, extracurricular activities, out-of-school time enrichment, leadership)",NA,NA,NA,NA,NA,NA,"Went to the movies",NA,NA,"Read a book","Typed faster than 220 words per minute",NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","586b77ee","d3f13af6",31,1988,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$115,000 to $149,999",6,132500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,0,"FISA","Farmed","stat appeal","ident victim","non-donor",0,2,1,8,"South",3,1,1,10,0.285902376069607
