"Participant_ID","Room","Enjoyment_Prediction_Q1","Enjoyment_Prediction_Q2","Enjoyment_Prediction_Q3","Engagement_Prediction_Q1","Engagement_Prediction_Q2","Engagement_Prediction_Q3","Interest_Prediction_Q1","Interest_Prediction_Q2","Interest_Prediction_Q3","Boredom_Prediction_Q1","Boredom_Prediction_Q2","Boredom_Prediction_Q3","Enjoyment_Experience_Q1","Enjoyment_Experience_Q2","Enjoyment_Experience_Q3","Engagement_Experience_Q1","Engagement_Experience_Q2","Engagement_Experience_Q3","Interest_Experience_Q1","Interest_Experience_Q2","Interest_Experience_Q3","Boredom_Experience_Q1","Boredom_Experience_Q2","Boredom_Experience_Q3","Time_Felt1","Time_Felt2","Stress_level","Participate_Again","Age","Gender","Ethnicity","Enjoyment_Prediction_Q2_Reversed","Enjoyment_Experience_Q2_Reversed","Boredom_Prediction_Q1_Reversed","Boredom_Prediction_Q2_Reversed","Boredom_Prediction_Q3_Reversed","Boredom_Experience_Q1_Reversed","Boredom_Experience_Q2_Reversed","Boredom_Experience_Q3_Reversed","Predicted_Intrinsic_Motivation_Index","Experienced_Intrinsic_Motivation_Index","Predicted_Enjoyment_Index","Predicted_Engagement_Index","Predicted_Interest_Index","Predicted_Boredom_Index","Experienced_Enjoyment_Index","Experienced_Engagement_Index","Experienced_Interest_Index","Experienced_Boredom_Index"
"1","A501","2","5","2","3","2","6","2","3","2","6","6","6","5","3","5","2","3","1","5","4","5","2","2","3","-1","15","2","6","19","1","1","3","5","2","2","2","6","6","5","2.583333333","4.333333333","2.333333333","3.666666667","2.333333333","6","5","2","4.666666667","2.333333333"
"2","A501","3","6","2","3","1","2","2","3","2","6","4","4","6","2","5","5","3","3","4","4","4","2","2","1","-1","14","2","7","18","1","1","2","6","2","4","4","6","6","7","2.5","4.916666667","2.333333333","2","2.333333333","4.666666667","5.666666667","3.666666667","4","1.666666667"
"3","A501","2","6","2","2","2","2","2","2","2","6","6","6","3","5","3","3","3","3","3","3","3","5","5","5","0","20","5","6","21","1","1","2","3","2","2","2","3","3","3","2","3","2","2","2","6","3","3","3","5"
"4","A501","4","5","4","4","5","5","4","3","3","5","5","5","5","3","4","6","7","6","5","5","4","2","3","2","-1","15","1","6","19","1","1","3","5","3","3","3","6","5","6","3.666666667","5.333333333","3.666666667","4.666666667","3.333333333","5","4.666666667","6.333333333","4.666666667","2.333333333"
"5","A501","6","1","7","4","4","2","2","6","6","2","4","1","6","4","5","5","3","3","6","6","6","5","5","2","1","30","2","6","19","1","1","7","4","6","4","7","3","3","6","5.083333333","4.666666667","6.666666667","3.333333333","4.666666667","2.333333333","5","3.666666667","6","4"
"6","A501","3","6","2","2","1","4","2","2","3","7","6","6","3","3","2","4","3","6","3","2","3","5","6","6","0","25","5","6","18","1","1","2","5","1","2","2","3","2","2","2.166666667","3.166666667","2.333333333","2.333333333","2.333333333","6.333333333","3.333333333","4.333333333","2.666666667","5.666666667"
"7","A501","1","1","1","3","1","2","2","2","3","7","7","7","3","2","2","1","1","1","1","1","1","5","5","7","0","20","6","6","19","1","1","7","6","1","1","1","3","3","1","2.083333333","2","3","2","2.333333333","7","3.666666667","1","1","5.666666667"
"8","A501","2","6","2","1","1","2","2","2","2","2","5","4","1","7","1","2","2","2","3","2","3","3","3","4","-1","12","3","7","18","1","1","2","1","6","3","4","5","5","4","2.416666667","2.583333333","2","1.333333333","2","3.666666667","1","2","2.666666667","3.333333333"
"9","A501","4","6","5","5","5","6","3","4","3","6","5","5","4","6","2","3","3","5","3","3","3","5","5","5","-1","10","4","6","19","0","1","2","2","2","3","3","3","3","3","3.75","3.083333333","3.666666667","5.333333333","3.333333333","5.333333333","2.666666667","3.666666667","3","5"
"10","A501","2","7","1","1","2","1","2","2","1","6","7","7","2","3","1","1","1","1","2","2","3","7","6","7","-1","17","5","6","20","1","1","1","5","2","1","1","1","2","1","1.416666667","1.833333333","1.333333333","1.333333333","1.666666667","6.666666667","2.666666667","1","2.333333333","6.666666667"
