"Enjoyment_Prediction_THINKING_Q1","Enjoyment_Prediction_THINKING_Q2","Enjoyment_Prediction_THINKING_Q3","Engagement_Prediction_THINKING_Q1","Engagement_Prediction_THINKING_Q2","Engagement_Prediction_THINKING_Q3","Interest_Prediction_THINKING_Q1","Interest_Prediction_THINKING_Q2","Interest_Prediction_THINKING_Q3","Boredom_Prediction_THINKING_Q1","Boredom_Prediction_THINKING_Q2","Boredom_Prediction_THINKING_Q3","Enjoyment_Prediction_THINKING_Q2_Reversed","Enjoyment_Prediction_NEWS_Q1","Enjoyment_Prediction_NEWS_Q2","Enjoyment_Prediction_NEWS_Q3","Engagement_Prediction_NEWS_Q1","Engagement_Prediction_NEWS_Q2","Engagement_Prediction_NEWS_Q3","Interest_Prediction_NEWS_Q1","Interest_Prediction_NEWS_Q2","Interest_Prediction_NEWS_Q3","Boredom_Prediction_NEWS_Q1","Boredom_Prediction_NEWS_Q2","Boredom_Prediction_NEWS_Q3","Enjoyment_Prediction_NEWS_Q2_Reversed","Enjoyment_Experience_Q1","Enjoyment_Experience_Q2","Enjoyment_Experience_Q3","Engagement_Experience_Q1","Engagement_Experience_Q2","Engagement_Experience_Q3","Interest_Experience_Q1","Interest_Experience_Q2","Interest_Experience_Q3","Boredom_Experience_Q1","Boredom_Experience_Q2","Boredom_Experience_Q3","Enjoyment_Experience_Q2_Reversed","Predicted_Enjoyment_Index_THINKING","Predicted_Enjoyment_Index_NEWS","Experienced_Enjoyment_Index","Predicted_Engagement_Index_THINKING","Predicted_Engagement_Index_NEWS","Experienced_Engagement_Index","Predicted_Interest_Index_THINKING","Predicted_Interest_Index_NEWS","Experienced_Interest_Index","Predicted_Boredom_Index_THINKING","Predicted_Boredom_Index_NEWS","Experienced_Boredom_Index","Age","Participate_Again","Time_Felt1","Time_Felt2","Lottery_Choice","Post_experiment_question_WASTE","Post_experiment_question_REFRESH","Participant_ID","Activity_Condition","Boredom_Prediction_THINKING_Q1_Reversed","Boredom_Prediction_THINKING_Q2_Reversed","Boredom_Prediction_THINKING_Q3_Reversed","Boredom_Prediction_NEWS_Q1_Reversed","Boredom_Prediction_NEWS_Q2_Reversed","Boredom_Prediction_NEWS_Q3_Reversed","Boredom_Experience_Q1_Reversed","Boredom_Experience_Q2_Reversed","Boredom_Experience_Q3_Reversed","Predicted_Intrinsic_Motivation_Index_THINKING","Predicted_Intrinsic_Motivation_Index_NEWS","Experienced_Intrinsic_Motivation_Index","Gender"
"2","7","2","1","2","1","3","1","2","7","5","5","1","4","4","5","6","6","4","5","5","4","3","2","3","4","3","3","2","1","1","2","3","2","2","6","6","6","5","1.666666667","4.333333333","3.333333333","1.333333333","5.333333333","1.333333333","2","4.666666667","2.333333333","5.666666667","2.666666667","6","20","6","0","20","81","5","4","6","0","1","3","3","5","6","5","2","2","2","1.833333333","4.916666667","2.25","male"
"3","2","3","2","1","2","2","3","3","3","2","2","6","4","1","3","3","3","3","3","3","4","2","2","2","7","4","3","4","5","3","5","5","4","5","3","3","4","5","4","4.666666667","4.333333333","1.666666667","3","4.333333333","2.666666667","3.333333333","4.666666667","2.333333333","2","3.333333333","20","4","0","20","81","1","5","7","0","5","6","6","6","6","6","5","5","4","3.5","4.25","4.5","male"
"1","7","2","6","1","6","1","1","1","7","7","7","1","6","1","4","6","6","2","2","3","3","3","3","3","7","5","4","3","5","5","4","4","2","4","3","3","4","4","1.333333333","5.666666667","4","4.333333333","4.666666667","4.666666667","1","2.666666667","3.333333333","7","3","3.333333333","19","5","-1","10","81","2","5","8","0","1","1","1","5","5","5","5","5","4","1.916666667","4.5","4.166666667","male"
"2","7","2","1","1","4","3","2","1","7","7","7","1","5","5","5","7","6","2","5","7","7","3","2","2","3","6","2","7","7","7","2","7","7","7","3","2","1","6","1.666666667","4.333333333","6.333333333","2","5","5.333333333","2","6.333333333","7","7","2.333333333","2","19","6","-1","10","81","1","7","9","0","1","1","1","5","6","6","5","6","7","1.666666667","5.333333333","6.166666667","female"
"4","3","3","4","3","4","4","2","4","5","5","4","5","3","4","3","3","3","3","3","2","4","3","5","4","4","5","2","5","7","6","5","6","5","6","1","1","1","6","4","3.333333333","5.333333333","3.666666667","3","6","3.333333333","3","5.666666667","4.666666667","4","1","19","5","-1","15","80","1","6","10","0","3","3","4","5","3","4","7","7","7","3.583333333","3.333333333","6","female"
"4","2","5","4","2","1","4","3","5","2","2","2","6","6","1","6","5","5","6","5","4","6","5","2","2","7","4","2","4","3","5","1","2","2","4","2","2","2","6","5","6.333333333","4.666666667","2.333333333","5.333333333","3","4","5","2.666666667","2","3","2","19","6","-1","10","80","2","5","11","0","6","6","6","3","6","6","6","6","6","4.333333333","5.416666667","4.083333333","female"
"3","5","3","4","3","4","2","3","4","5","4","5","3","5","3","4","5","5","5","4","4","3","4","2","2","5","3","5","4","3","3","4","4","3","4","5","4","3","3","3","4.666666667","3.333333333","3.666666667","5","3.333333333","3","3.666666667","3.666666667","4.666666667","2.666666667","4","18","4","0","18","81","4","5","37","0","3","4","3","4","6","6","3","4","5","3.25","4.666666667","3.583333333","male"
"1","4","3","1","2","4","2","3","2","4","3","5","4","5","2","5","4","4","4","3","2","3","5","5","3","6","2","6","1","3","3","5","2","2","2","5","5","6","2","2.666666667","5.333333333","1.666666667","2.333333333","4","3.666666667","2.333333333","2.666666667","2","4","4.333333333","5.333333333","20","6","1","30","81","4","4","38","0","4","5","3","3","3","5","3","3","2","2.833333333","3.916666667","2.5","male"
"1","7","1","1","1","1","1","1","1","7","7","7","1","4","5","3","1","1","3","2","1","2","5","6","5","3","1","7","1","1","1","1","1","1","1","7","7","7","1","1","3.333333333","1","1","1.666666667","1","1","1.666666667","1","7","5.333333333","7","20","1","1","30","81","7","3","39","0","1","1","1","3","2","3","1","1","1","1","2.333333333","1","male"
"3","2","6","4","3","5","5","5","4","3","1","2","6","6","2","6","5","6","6","6","6","6","2","2","2","6","4","2","5","4","4","6","5","5","5","2","1","4","6","5","6","5","4","5.666666667","4.666666667","4.666666667","6","5","2","2","2.333333333","20","5","-1","13","81","3","6","40","0","5","7","6","6","6","6","6","7","4","4.916666667","5.916666667","5.083333333","male"
