id,trial,location,image,imagecategory,target_delay,rt_ej,imageduration,rt_detection,target_correct,ej_correct
1,1,2,18,0,544.17,917.62,1888.59,416.13,0,0
1,2,1,26,1,640.2,789.58,1675.19,234.74,0,0
1,3,1,4,0,533.5,1109.68,1984.62,330.77,0,0
1,4,0,31,1,533.5,1312.41,2123.33,266.75,0,1
1,5,3,2,0,608.19,832.26,1728.54,277.42,0,0
1,6,3,1,0,810.92,682.88,1717.87,213.4,0,0
1,7,3,24,1,853.6,554.84,1589.83,170.72,0,0
1,8,2,26,1,981.64,512.16,1739.21,234.74,0,0
1,9,1,22,1,1067,533.5,1909.93,298.76,0,0
1,10,2,38,1,938.96,469.48,1621.84,202.73,0,0
1,11,3,22,1,533.5,384.12,1237.72,309.43,0,0
1,12,3,20,0,640.2,512.16,1429.78,266.75,1,0
1,13,0,33,1,906.95,458.81,1653.85,277.42,0,0
1,14,0,35,1,800.25,501.49,1557.82,245.41,0,0
1,15,1,10,0,757.57,458.81,1536.48,309.43,0,0
1,16,1,28,1,533.5,480.15,1323.08,298.76,0,0
1,17,1,17,0,629.53,437.47,1344.42,266.75,0,0
1,18,3,5,0,960.3,586.85,1771.22,213.4,0,0
1,19,1,15,0,992.31,640.2,1941.94,298.76,0,0
1,20,0,13,0,757.57,533.5,1525.81,224.07,0,0
1,21,1,13,0,746.9,522.83,1589.83,309.43,0,0
1,22,0,40,1,928.29,458.81,1579.16,181.39,0,0
1,23,1,5,0,661.54,682.88,1600.5,245.41,0,0
1,24,2,28,1,778.91,384.12,1387.1,213.4,0,0
1,25,3,4,0,704.22,448.14,1397.77,234.74,0,0
1,26,1,21,1,640.2,469.48,1365.76,245.41,0,0
1,27,2,23,1,586.85,490.82,1280.4,192.06,0,0
1,28,2,39,1,949.63,405.46,1600.5,234.74,0,0
1,29,1,3,0,554.84,565.51,1643.18,512.16,0,0
1,30,3,15,0,1056.33,480.15,1739.21,192.06,0,0
1,31,0,7,0,1067,864.27,2155.34,213.4,0,0
1,32,3,9,0,672.21,522.83,1483.13,277.42,0,0
1,33,1,7,0,842.93,394.79,1568.49,320.1,0,0
1,34,3,3,0,565.51,640.2,1451.12,234.74,0,0
1,35,1,29,1,672.21,426.8,1323.08,213.4,0,0
1,36,2,10,0,992.31,416.13,1600.5,181.39,0,0
1,37,1,32,1,949.63,448.14,1685.86,277.42,0,0
