id,trial,image,imagecategory,pointx,pointy
1,1,22,1,-8.624134,-2.862405
1,2,37,1,4.035847,-7.030973
1,3,38,1,4.130856,3.465346
1,4,3,0,1.781961,-6.685827
1,5,35,1,-1.177581,-0.031831
1,6,18,0,-1.082125,-3.084622
1,7,30,1,-4.510659,0.063662
1,8,27,1,-5.237476,-2.417719
1,9,33,1,0.159155,3.972496
1,10,21,1,-1.781961,-2.099905
1,11,29,1,0,6.59161
1,12,39,1,7.96961,8.063246
1,13,2,0,9.121311,-2.481265
1,14,19,0,-7.406912,-6.371633
1,15,15,0,-7.312986,1.145763
1,16,17,0,1.209398,3.052883
1,17,32,1,4.826859,0.254646
1,18,4,0,-0.254646,-1.050305
1,19,7,0,10.049739,4.194183
1,20,24,1,2.258829,0.222816
1,21,34,1,0.031831,-8.779646
1,22,26,1,5.994093,4.415744
1,23,6,0,-0.763898,-0.413796
1,24,10,0,-4.162521,4.953257
1,25,11,0,3.338471,6.277298
1,26,28,1,-0.445625,-0.859372
1,27,36,1,2.798899,-2.767143
1,28,31,1,4.447385,-0.700247
1,29,12,0,-3.211562,0.413796
1,30,9,0,7.125016,-5.489898
1,31,14,0,5.61603,-4.289153
1,32,23,1,2.068116,-2.989397
1,33,25,1,-8.748554,-5.679076
1,34,8,0,-4.668794,-6.497357
1,35,40,1,-6.465932,4.98485
1,36,13,0,-7.125016,-3.11636
1,37,16,0,5.61603,-4.320805
1,38,20,0,1.940948,-0.095493
1,39,1,0,3.909135,-2.798899
1,40,5,0,-4.289153,3.11636
2,1,28,1,5.237476,-0.318307
2,2,21,1,7.312986,1.050305
2,3,33,1,1.495717,-5.962607
2,4,3,0,2.195263,-2.417719
2,5,5,0,-0.604766,2.894156
2,6,1,0,-0.604766,0.66842
2,7,14,0,-1.336659,0.127324
2,8,2,0,-1.622946,-0.190985
2,9,35,1,2.862405,4.858463
2,10,31,1,0.732073,0.891196
2,11,19,0,-1.75016,-1.940948
2,12,30,1,-8.997143,4.573921
2,13,40,1,-0.859372,-3.43363
2,14,16,0,-1.336659,-0.318307
2,15,27,1,-3.623893,-2.767143
2,16,10,0,-3.465346,-0.159155
2,17,29,1,-2.576572,-2.640102
2,18,11,0,-0.795724,0.923019
2,19,23,1,1.909152,0.254646
2,20,25,1,-0.413796,-1.654751
2,21,22,1,-0.859372,-1.241214
2,22,18,0,-1.718358,-1.113944
2,23,20,0,-3.211562,-2.195263
2,24,36,1,0.190985,2.227047
2,25,4,0,-0.095493,-2.640102
2,26,13,0,-2.481265,0.572939
2,27,12,0,1.463907,-0.286477
2,28,15,0,-0.604766,0.159155
2,29,8,0,0,-0.636594
2,30,37,1,-4.162521,-2.163478
2,31,32,1,1.972741,-6.528779
2,32,7,0,0.827548,-0.031831
2,33,24,1,2.481265,-6.717224
2,34,6,0,1.336659,-0.222816
2,35,26,1,6.497357,0.063662
2,36,17,0,-7.062325,-0.763898
2,37,34,1,-7.500798,4.795252
2,38,9,0,1.781961,4.3841
2,39,39,1,4.194183,6.088528
2,40,38,1,4.668794,-7.18769
3,1,23,1,7.907163,0.222816
3,2,30,1,-0.572939,7.250347
3,3,39,1,-0.891196,8.063246
3,4,24,1,-0.254646,-7.844696
3,5,33,1,-8.624134,0.541111
3,6,20,0,8.188026,0.604766
3,7,25,1,0.732073,-7.875932
3,8,8,0,-8.810733,-0.063662
3,9,28,1,-0.159155,-7.375608
3,10,1,0,7.875932,-0.572939
3,11,19,0,-7.782211,-1.781961
3,12,32,1,0.350137,-7.688448
3,13,7,0,8.125646,1.113944
