StartDate,Progress,Duration (in seconds),ResponseId,consent,prolificid,stresstrue_1,simpletrue_1,crackstrue_1,needtrue_1,unpredictabletrue_1,worktrue_1,irrespontrue_1,valuetrue_1,povertytrue_1,cheattrue_1,togethertrue_1,wellbeingtrue_1,economytrue_1,crimetrue_1,benefittrue_1,fairtrue_1,ubinormal_1,ubipandemic_1,stressnormal_1,simplenormal_1,cracksnormal_1,neednormal_1,unpredictablenormal_1,worknormal_1,irresponnormal_1,valuenormal_1,povertynormal_1,cheatnormal_1,togethernormal_1,wellbeingnormal_1,economynormal_1,crimenormal_1,benefitnormal_1,fairnormal_1,strespandemic_1,simplepandemic_1,crackspandemic_1,needpandemic_1,unpredictpandemi_1,workpandemic_1,irresponpandemic_1,valuepandemic_1,povertypandemic_1,cheatpandemic_1,togetherpandemic_1,wellbeingpandemic_1,economypandemic_1,crimepandemic_1,benefitpandemic_1,fairpandemic_1,sec4a_1,sec4a_2,sec4b_1,sec4b_2,sec4b_3,age,gender,country,country_3_TEXT,benefits,ladder_1,ladder_2,ladder_3,ladder_4,ladder_5,ladder_6,ladder_7,ladder_8,ladder_9,ladder_10,poleconomic_1,polsocial_1,leftright_1,affected_1,PROLIFIC_PID
07/05/2020 10:30,100,566,R_eFDZ5ZWHOF3Cc9P,"I consent, begin the study",58d3d69a47aa1e00010476f4,100,100,100,100,100,8,50,100,100,100,100,100,100,100,0,100,100,100,100,90,100,100,100,51,71,83,100,86,100,100,100,81,39,100,100,100,100,100,100,90,76,100,100,100,100,100,91,95,70,100,85,100,100,100,100,33,Female,UK,,No,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,83,30,40,74,58d3d69a47aa1e00010476f4
07/05/2020 10:29,100,639,R_ZdS6ousrjZL2hUt,"I consent, begin the study",5d1d0aefdb7eb70018f1ab9e,70,96,90,25,90,34,50,80,50,100,80,75,51,26,63,80,85,95,100,88,90,100,100,26,50,88,100,96,91,100,65,50,75,100,100,100,100,100,100,80,50,86,100,90,80,100,75,60,70,100,75,86,100,100,100,22,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,80,90,20,75,5d1d0aefdb7eb70018f1ab9e
07/05/2020 10:33,100,486,R_3eh0Rcl6cBAoaaC,"I consent, begin the study",5dcc4770c95a6f000c06c50f,87,72,100,58,100,62,51,88,72,100,74,86,66,72,55,71,100,100,66,70,100,61,89,59,57,84,94,61,81,81,71,73,63,72,78,100,100,53,100,25,37,81,100,28,79,87,77,37,75,63,81,81,28,68,96,48,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,91,33,10,77,5dcc4770c95a6f000c06c50f
07/05/2020 10:38,100,363,R_23fAdVKch8O4Rbu,"I consent, begin the study",5cddd90cab57db0001af8fec,90,36,79,30,61,72,71,31,100,11,37,75,10,50,40,10,0,31,100,56,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,26,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,27,83,29,100,5cddd90cab57db0001af8fec
07/05/2020 10:35,100,504,R_3PweFOrqwBEnchR,"I consent, begin the study",5be87656822047000181d875,100,100,100,100,100,5,50,100,100,100,100,100,100,75,50,100,100,100,100,50,100,100,100,9,0,100,100,60,72,100,76,61,51,100,100,51,100,100,100,8,0,100,100,62,76,100,85,72,50,100,90,99,63,5,100,33,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,90,100,11,100,5be87656822047000181d875
07/05/2020 10:38,100,377,R_3fwtWxc5IObCwUk,"I consent, begin the study",59dbb88b0fb3a90001bd90b0,80,70,80,10,73,73,50,92,92,0,92,71,91,92,61,50,94,100,85,63,93,72,92,59,84,82,83,69,68,75,70,71,82,73,85,83,85,82,92,66,66,72,83,64,81,72,79,75,82,92,81,94,78,81,91,26,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,87,69,33,71,59dbb88b0fb3a90001bd90b0
07/05/2020 10:39,100,370,R_2ZTZe9Jj6cz7kwz,"I consent, begin the study",5dc5ad0596a93942f4ae4253,100,81,100,21,75,70,72,80,80,95,74,87,71,84,56,100,75,66,77,63,100,73,62,44,38,61,100,72,42,69,54,91,29,56,81,94,100,100,86,33,44,75,85,37,37,73,84,69,50,50,94,54,82,89,94,28,Female,UK,,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,70,81,20,77,5dc5ad0596a93942f4ae4253
07/05/2020 10:37,100,478,R_1DUUczq95dIoXaX,"I consent, begin the study",5c2cb14400c669000153b304,60,35,71,71,77,35,22,45,53,50,37,81,59,19,52,28,30,60,67,41,60,91,61,39,42,66,65,71,41,83,76,62,29,77,62,69,83,81,72,19,25,40,74,60,64,70,40,28,22,88,50,40,61,80,87,21,Female,UK,,No,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,45,30,20,31,5c2cb14400c669000153b304
07/05/2020 10:35,100,588,R_2R2gPTEebm7o9Ji,"I consent, begin the study",5d860d009a855a0015f957f4,82,57,67,44,53,50,50,89,60,72,67,72,50,56,56,68,60,66,55,90,74,92,80,80,39,55,81,96,57,95,50,98,85,100,53,100,38,67,84,75,24,64,88,65,30,80,45,85,55,89,86,86,69,73,76,30,Female,UK,,No,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,81,50,82,77,5d860d009a855a0015f957f4
07/05/2020 10:37,100,512,R_33Bh6LCuTSvUcjk,"I consent, begin the study",5b697e6cdc84c60001745cda,95,89,95,5,26,98,100,98,96,87,69,62,6,78,95,27,23,31,77,42,82,85,64,82,69,92,47,78,42,89,35,57,30,52,71,76,86,89,26,32,85,37,56,87,55,64,33,63,30,53,96,95,94,85,94,41,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,72,29,37,78,5b697e6cdc84c60001745cda
