Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,consent,prolificid,ubinormal_1,ubipandem_1,shirking_1,shirking_2,shirking_3,unfairrich_1,unfairrich_2,unfairrich_3,unfairdesert_1,unfairdesert_2,unfairdesert_3,irrespnsibility_1,irrespnsibility_2,irrespnsibility_3,value_1,value_2,value_3,efficiency_1,efficiency_2,efficiency_3,expense_1,expense_2,expense_3,stress_1,stress_2,stress_3,cheat_1,cheat_2,cheat_3,personalshirking_1,personaldesert_1,personalirrespon_1,personalvalue_1,personalstress_1,sec4_1,sec4_2,sec4_3,age,gender,country,country_3_TEXT,ladder_1,ladder_2,ladder_3,ladder_4,ladder_5,ladder_6,ladder_7,ladder_8,ladder_9,ladder_10,leftright_1,affected_1
382,07/04/2020 09:00,R_3neck3hGvuWjpAj,53.58659363,-2.435394287,"I consent, begin the study",5e7a23228ea2500514c51538,70,90,40,60,20,40,51,51,30,30,20,90,10,10,80,80,90,70,90,100,50,30,10,70,80,85,40,80,70,20,50,0,70,45,60,100,80,34,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,30,20
121,07/04/2020 09:10,R_2ruULJdsbpari57,53.43649292,-1.354003906,"I consent, begin the study",598225db55a180000133825e,100,100,30,100,100,100,100,100,31,76,73,71,70,87,40,80,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,100,0,75,37,39,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,30
354,07/04/2020 09:10,R_2pYLfjjNloEZ7AZ,51.12780762,-3.000106812,"I consent, begin the study",5a231642b14a3100017ff377,74,100,100,0,100,100,100,100,100,99,0,98,100,0,76,25,26,84,35,93,100,0,99,85,66,99,0,0,95,82,77,1,36,80,83,75,67,31,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,25,33
357,07/04/2020 09:12,R_ebXqmF5gGm0bBa9,51.49639893,-0.122406006,"I consent, begin the study",5e31788dbb437f000c10f7a1,80,95,60,70,65,50,50,50,40,50,30,50,40,25,70,70,80,80,85,95,80,80,85,80,65,90,60,60,60,20,30,0,70,85,10,60,30,19,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,45,20
293,07/04/2020 09:13,R_3m7PbCnqyIaLP3l,51.62350464,-4.034393311,"I consent, begin the study",5da643b1636085001524cb89,23,23,88,93,96,20,30,30,85,100,100,100,100,100,30,64,69,42,60,69,100,80,100,69,60,60,100,80,90,28,83,43,28,70,40,62,37,32,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,69,40
304,07/04/2020 09:14,R_pGZArTkzauHqVH3,52.00480652,-3.423400879,"I consent, begin the study",5d11558ba4eb0400163a3c9a,100,100,0,20,0,75,100,0,0,0,0,10,10,0,100,100,100,100,100,100,20,20,50,100,100,100,100,51,0,20,0,0,100,100,70,85,100,25,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0,40
213,07/04/2020 09:23,R_oZAM7pyRYv9tfAR,51.52450562,-0.156692505,"I consent, begin the study",5afc45f20b2d5f0001569764,13,60,100,100,31,100,57,57,100,100,25,100,100,100,21,34,54,64,65,69,100,40,80,87,87,100,7,7,6,91,78,9,19,100,13,81,67,35,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,70,80
417,07/04/2020 09:23,R_6MDiBivxyEv9pe1,54.582901,-5.932601929,"I consent, begin the study",5960374cb752840001ca45a0,30,50,45,40,10,30,30,40,30,30,10,65,65,45,60,60,80,30,40,60,80,60,90,70,70,90,50,40,20,45,40,0,60,40,40,25,55,22,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,30,35
689,07/04/2020 09:25,R_9SKlGfgwDODRJyV,51.24760437,-0.767196655,"I consent, begin the study",5e859ea377cf5a18a1c31eea,40,40,100,100,70,100,100,100,80,100,50,70,90,100,80,100,61,100,100,100,100,100,100,79,100,100,50,72,100,70,21,0,75,0,75,40,70,28,Female,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,50,0
213,07/04/2020 09:26,R_3Oqvbx2twL2hjX6,51.49639893,-0.122406006,"I consent, begin the study",5c6ac450ec453a00014d66d7,100,100,87,73,100,14,16,0,40,73,100,100,100,64,92,72,100,100,100,100,100,100,100,83,85,99,100,100,100,0,20,2,94,95,100,100,100,30,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,75,100
