RSVP_1_upr,RSVP_2_upr,RSVP_3_upr,RSVP_1_inv,RSVP_2_inv,RSVP_3_inv,BM_1_upr,BM_2_upr,BM_3_upr,BM_1_inv,BM_2_inv,BM_3_inv,CFS_1_upr,CFS_2_upr,CFS_3_upr,CFS_1_inv,CFS_2_inv,CFS_3_inv
0.650793651,0.841269841,0.9375,0.610169492,0.703125,0.85483871,0.609375,0.703125,0.984375,0.546875,0.671875,0.875,0.71875,0.6875,0.8125,0.578125,0.5625,0.640625
0.56,0.520833333,0.6,0.509803922,0.5,0.547169811,0.671875,0.796875,0.90625,0.546875,0.75,0.859375,0.59375,0.640625,0.703125,0.5,0.671875,0.640625
0.80952381,0.919354839,0.953125,0.6875,0.761904762,0.709677419,0.609375,0.84375,1,0.609375,0.578125,0.859375,0.8125,0.90625,0.90625,0.796875,0.84375,0.796875
0.689655172,0.771929825,0.827586207,0.706896552,0.771929825,0.767857143,0.890625,0.953125,1,0.703125,0.859375,0.96875,0.59375,0.828125,0.90625,0.59375,0.515625,0.65625
0.90625,0.96875,0.920634921,0.806451613,0.953125,0.761904762,0.640625,0.859375,0.96875,0.65625,0.796875,0.9375,0.5625,0.6875,0.84375,0.484375,0.5625,0.671875
0.5,0.46031746,0.639344262,0.548387097,0.515625,0.564516129,0.734375,0.765625,0.859375,0.6875,0.71875,0.9375,0.703125,0.828125,0.890625,0.671875,0.625,0.765625
0.8125,0.90625,0.968253968,0.693548387,0.75,0.734375,0.546875,0.734375,0.953125,0.546875,0.640625,0.953125,0.796875,0.9375,0.9375,0.703125,0.828125,0.9375
0.770491803,0.796875,0.936507937,0.6,0.737704918,0.766666667,0.859375,0.984375,0.984375,0.53125,0.65625,0.984375,0.609375,0.859375,0.90625,0.546875,0.546875,0.703125
0.921875,0.984375,0.984375,0.5,0.671875,0.857142857,0.515625,0.65625,0.984375,0.5,0.59375,0.71875,0.75,0.828125,0.828125,0.75,0.734375,0.84375
0.548387097,0.548387097,0.833333333,0.55,0.634920635,0.733333333,0.71875,0.796875,1,0.609375,0.671875,0.921875,0.859375,0.875,0.9375,0.640625,0.734375,0.828125
0.741935484,0.774193548,0.78125,0.73015873,0.583333333,0.761904762,0.5625,0.453125,0.640625,0.4375,0.5,0.5625,0.828125,0.9375,1,0.78125,0.9375,0.96875
0.75,0.873015873,0.984126984,0.523809524,0.625,0.765625,0.796875,0.796875,0.890625,0.71875,0.75,0.796875,0.640625,0.75,0.765625,0.46875,0.671875,0.703125
0.806451613,0.9375,0.967741935,0.580645161,0.714285714,0.78125,0.921875,0.96875,1,0.84375,0.921875,1,0.671875,0.75,0.6875,0.609375,0.640625,0.609375
0.904761905,0.904761905,0.984375,0.73015873,0.85483871,0.870967742,0.796875,0.875,1,0.6875,0.703125,0.890625,0.546875,0.59375,0.6875,0.609375,0.515625,0.5
0.609375,0.770491803,0.919354839,0.587301587,0.587301587,0.714285714,0.859375,0.96875,0.96875,0.765625,0.890625,1,0.5625,0.59375,0.703125,0.53125,0.609375,0.625
0.903225806,0.873015873,0.920634921,0.857142857,0.803278689,0.796875,0.859375,0.890625,0.984375,0.734375,0.875,0.96875,0.875,0.8125,0.984375,0.546875,0.59375,0.765625
0.822580645,0.875,0.888888889,0.677419355,0.857142857,0.825396825,0.765625,0.734375,0.96875,0.640625,0.640625,0.828125,0.6875,0.671875,0.84375,0.578125,0.5625,0.5
0.64516129,0.71875,0.84375,0.532258065,0.629032258,0.790322581,0.703125,0.875,0.96875,0.65625,0.71875,0.9375,0.546875,0.609375,0.578125,0.4375,0.578125,0.5625
0.915254237,0.936507937,0.813559322,0.73015873,0.873015873,0.689655172,0.75,0.875,1,0.859375,0.921875,1,0.609375,0.71875,0.75,0.546875,0.5625,0.6875
0.984126984,0.953125,0.96875,0.790322581,0.84375,0.84375,0.703125,0.90625,0.96875,0.609375,0.8125,0.90625,0.5625,0.625,0.734375,0.53125,0.640625,0.609375
0.634920635,0.766666667,0.935483871,0.65,0.754098361,0.952380952,0.828125,0.890625,0.96875,0.609375,0.828125,0.9375,0.625,0.5,0.5,0.546875,0.484375,0.578125
