rsvp_upr,rsvp_inv,bm_upr,bm_inv,cfs_upr,cfs_inv
0.810526316,0.724324324,0.765625,0.697916667,0.790625,0.659375
0.562091503,0.519736842,0.791666667,0.71875,0.7125,0.621875
0.894179894,0.71957672,0.817708333,0.682291667,0.909375,0.875
0.76300578,0.748538012,0.947916667,0.84375,0.85625,0.66875
0.931937173,0.841269841,0.822916667,0.796875,0.76875,0.6375
0.532258065,0.542553191,0.786458333,0.78125,0.807291667,0.6875
0.895287958,0.726315789,0.744791667,0.713541667,0.890625,0.822916667
0.835106383,0.701657459,0.942708333,0.723958333,0.791666667,0.598958333
0.963541667,0.67539267,0.71875,0.604166667,0.802083333,0.776041667
0.641304348,0.639344262,0.838541667,0.734375,0.890625,0.734375
0.765957447,0.693548387,0.552083333,0.5,0.921875,0.895833333
0.868421053,0.638743455,0.828125,0.755208333,0.71875,0.614583333
0.904255319,0.693121693,0.963541667,0.921875,0.703125,0.619791667
0.931578947,0.818181818,0.890625,0.760416667,0.609375,0.541666667
0.764705882,0.62962963,0.932291667,0.885416667,0.619791667,0.588541667
0.89893617,0.819148936,0.911458333,0.859375,0.890625,0.635416667
0.862433862,0.787234043,0.822916667,0.703125,0.734375,0.546875
0.736842105,0.650537634,0.848958333,0.770833333,0.578125,0.526041667
0.889502762,0.766304348,0.875,0.927083333,0.692708333,0.598958333
0.968586387,0.826315789,0.859375,0.776041667,0.640625,0.59375
0.778378378,0.788043478,0.895833333,0.791666667,0.541666667,0.536458333
0.889473684,0.755319149,0.947916667,0.921875,0.890625,0.901041667
0.5,0.510752688,0.78125,0.708333333,0.546875,0.515625
0.920212766,0.720430108,0.921875,0.854166667,0.78125,0.8
0.8,0.516129032,0.5625,0.526041667,0.9125,0.821875
0.583333333,0.622340426,0.692708333,0.59375,0.784375,0.6875
0.614942529,0.529069767,0.713541667,0.65625,0.8875,0.796875
0.728813559,0.627659574,0.9375,0.895833333,0.71875,0.625
0.75,0.740740741,0.890625,0.848958333,0.833333333,0.739583333
0.766081871,0.640718563,0.953125,0.854166667,0.677083333,0.578125
0.875,0.795180723,0.71875,0.697916667,0.776041667,0.828125
0.935828877,0.777777778,0.869791667,0.807291667,0.869791667,0.802083333
0.905263158,0.772486772,0.927083333,0.765625,0.765625,0.692708333
0.968421053,0.887700535,0.765625,0.692708333,0.932291667,0.791666667
0.90052356,0.696335079,0.854166667,0.713541667,0.765625,0.510416667
0.907608696,0.691011236,0.791666667,0.635416667,0.53125,0.583333333
0.968253968,0.918918919,0.854166667,0.682291667,0.541666667,0.520833333
0.912790698,0.817679558,0.958333333,0.796875,0.640625,0.484375
0.867021277,0.71657754,0.848958333,0.713541667,0.786458333,0.692708333
0.659574468,0.567567568,0.979166667,0.890625,0.630208333,0.526041667
