Det-Upr1,Det-Upr2,Det-Upr3,Det-Upr4,Det-Upr5,Det-Inv1,Det-Inv2,Det-Inv3,Det-Inv4,Det-Inv5,Loc-Upr1,Loc-Upr2,Loc-Upr3,Loc-Upr4,Loc-Upr5,Loc-Inv1,Loc-Inv2,Loc-Inv3,Loc-Inv4,Loc-Inv5,Discr-1,Discr-2,Discr-3,Discr-4,Discr-5
0.468746185,0.434564436,1.34023109,3.583404708,4.660534919,0.468746185,0.616962896,1.161302025,2.305044037,4.114916406,-0.148651305,0.359135228,1.704720588,2.323365846,3.111850487,0.585844434,0.253855739,1.326132781,2.331684577,2.682501074,0.330121363,-0.125756988,0.250856962,1.437253227,3.757667266
0.338093888,0.105794939,0.637706565,2.05030376,2.383758709,0.040034224,0.105794939,0.180530478,1.180273484,2.669663465,-0.260765255,0.251369685,0.78150647,3.111850487,2.480335882,-0.054985161,0.409710378,0.050761607,1.587191855,3.111850487,-0.107256207,0.109326771,0.385238248,0.567790754,2.504533782
-0.251723007,0.607191763,1.052871705,2.111343283,2.862935516,-0.980182949,0.285904756,0.434564436,1.410256469,2.680537056,0,0.565603536,0.900286751,2.480335882,3.111850487,-0.198070024,0.832865694,0.689526741,2.323365846,2.682501074,0,0.217870873,-0.214005908,0.288197358,0.712943446
-0.209781257,0.035468454,0.589455798,2.235231898,2.320414039,-0.069642635,0.280113315,0.034821317,0.847039119,2.060700282,0.247585444,0.453365539,1.81064618,2.909685295,3.111850487,0.098549359,0.491456716,0.740288347,2.682501074,2.707520103,-0.070718095,0,-0.244343754,1.421737986,3.463328792
0,0,1.598490217,4.053343156,4.660534919,0.259713756,0.259713756,0,2.141484974,4.374630163,-0.152579585,0.202095005,1.018810287,2.909685295,3.111850487,-0.740288347,0.152579585,0.0987901,1.547193418,3.111850487,0,-0.15061352,-0.035468454,1.576927475,3.350759962
0.321287007,-0.182841429,0.889913433,2.054216124,2.40543662,0.434564436,0.348670269,0.434564436,1.325050027,2.224620712,-0.04927468,0.310280675,0.676493228,2.331684577,2.682501074,0.04927468,0.450926636,0.668177877,1.081462792,2.682501074,0.139454773,-0.035735252,-0.355490418,1.273197733,2.504533782
-0.468746185,0.616962896,0,1.879684508,3.394447214,-0.182841429,-0.285904756,0.251723007,0.434564436,2.054216124,-0.148064779,0.555939879,0.61092504,1.149998725,2.419048311,0.148064779,0.298347051,0.247585444,1.026075521,2.331684577,0.545618513,0,-0.259713756,0,0.545618513
-0.113277429,0.253218783,1.93151641,4.114916406,4.660534919,-0.980182949,0.631184551,1.313309207,3.507724643,4.660534919,0.353844874,1.394732717,2.707520103,3.111850487,3.111850487,0.21076001,1.026075521,1.472390397,3.111850487,3.111850487,0.17495994,0.212531227,-0.0360525,1.255461666,3.297499952
-0.113277429,0.511024047,0,2.34012088,3.114658523,0.096947262,0.138445578,-0.113277429,1.525920831,2.05030376,-0.060128084,0.618369171,0.407885248,0.988640544,2.331684577,0.172366082,0.181176041,-0.249711975,0.558552874,1.667307226,0,-0.285904756,0,-0.285904756,1.741256285
0.468746185,-0.259713756,0.817416454,2.270095502,4.191788734,0,0,0.285904756,1.338776461,3.049580135,0.099520665,0.0987901,0.816715282,2.121200654,2.909685295,0.248831631,0.105013243,0.609140388,2.096656639,2.480335882,-0.036423217,-0.109326771,0.42327282,-0.040034224,2.12449521
