loc_upr_p1,loc_upr_p2,loc_upr_p3,loc_upr_p4,loc_inv_p1,loc_inv_p2,loc_inv_p3,loc_inv_p4,discr_p1,discr_p2,discr_p3,discr_p4
0.271630089,1.098710893,1.573724921,3.268235293,0.489837456,0.648311741,1.723549147,3.074376873,-0.224629434,0.187712715,0.858294453,2.635266053
0.341513116,0.542778909,1.791344373,2.664730864,0.038531936,0.828956371,1.244963305,3.268235293,-0.698950068,0.524847803,0.799592909,3.120893428
0.328140932,0.401995293,1.656015095,2.718904687,0.338453235,0.524386177,1.277518397,3.074376873,-0.524847803,0.274157207,1.636501588,3.079388324
0.320308006,0.244763339,0.463089263,2.067566574,0.172366082,0.439993355,0.776476926,1.851778985,0.026944867,-0.474498707,0.53116565,1.800641866
0.111852423,0.749698232,2.114126209,3.074376873,0.264525401,0.733480941,1.791344373,2.880518453,0.083610701,0.311320173,0.642061375,2.827488985
0,0.696068859,1.098710893,1.414040749,0.513879198,0.610142516,0.91994183,1.703074419,-0.214931502,0.0275949,0.693535098,2.270140686
0.039213346,0.413320746,1.516961919,3.268235293,-0.038531936,0.37855722,1.502310703,3.268235293,0,0.331612281,0.742950014,3.294995693
0.3741074,1.001322454,2.664730864,3.074376873,0.260030796,0.912250003,1.76885739,3.268235293,0.318639364,0.370884544,1.880354808,4.872673273
0.136522352,2.208442362,2.718904687,3.074376873,0.400007506,1.164704644,2.448943274,3.268235293,0.162429561,0.331465727,1.317873858,3.899565999
0.3741074,1.491249242,1.712094388,3.268235293,0.301468323,1.015171174,1.898206888,2.718904687,-0.320120585,0.130657593,0.533176714,2.346338346
0.499099278,1.001322454,1.661994875,3.074376873,0,0.499099278,1.656015095,3.268235293,0,0.052878054,0.953227572,4.173723206
0.304570194,0.494412459,0.828956371,1.791344373,-0.111235452,0.074808319,0.419604141,1.311377697,0.05311771,0.191821671,0.29980065,0.705832967
0.15328995,0.988640544,2.448943274,3.268235293,0.225312055,1.077945249,2.037891485,2.880518453,0.10539229,-0.052298734,0.62224457,3.06524013
0.115730057,1.098710893,2.525046267,2.858589284,0.260767145,1.311377697,1.908541987,3.268235293,0.213998949,0.252817633,1.038690411,2.792282105
0.45062411,0.864800102,1.372931969,3.074376873,0.111235452,1.051260991,1.559044469,2.858589284,-0.268396125,0.093539093,-0.026494018,1.467670037
0.147974052,1.609173217,1.635279193,1.955849051,0.412092174,0.955929635,1.712094388,2.418183752,0.292525685,0.266394184,0.752923388,1.497441169
-0.047449901,1.000199966,1.290356124,2.858589284,0.206231402,0.85271165,2.114126209,2.718904687,-0.074928758,0.125967467,0.304971708,2.712569164
0.373560237,1.723549147,2.718904687,3.074376873,0.415805646,1.429694971,2.718904687,2.858589284,0.209339062,0.637519297,1.397608474,3.693985465
0.039213346,1.114966627,1.559044469,2.880518453,-0.075544667,0.788911579,1.497490197,3.074376873,-0.033950535,0.202288019,0.782513103,2.641155688
0.114076603,0,0.741461678,2.525046267,0.304570194,0.338512427,0.618323576,2.664730864,-0.209339062,0.080856639,0.749366663,2.352857643
0.260030796,0.69243402,1.659111755,2.309258677,0.186780119,1.029687464,0.912250003,2.718904687,0.350589331,0.30234666,0.636960588,1.988292067
0.290156158,1.589054571,1.785876341,2.664730864,0.040044793,1.32354164,1.964645404,2.612042172,0.095357588,0.513051149,0.662390622,2.267042097
0.22758248,1.161006626,1.867579097,2.880518453,0.45130552,1.001322454,1.851778985,2.664730864,0,-0.057308183,0.938636727,3.245725995
0.72312006,0.69243402,1.414040749,3.268235293,0.574643944,0.461850852,1.552249241,2.523772218,0.187712715,-0.131197006,-0.026113679,1.89714306
0.561329099,2.418183752,3.268235293,3.268235293,0.776102692,1.626839695,3.268235293,3.268235293,-0.130657593,0.874441587,1.633604614,3.768498528
0.234381663,1.208456527,1.703074419,3.268235293,0.234381663,0.663716395,1.387744563,3.268235293,-0.062929213,0.389004145,1.3489795,2.917114671
-0.126973263,0.281690233,1.001322454,2.124329576,-0.212410875,0.440527229,1.014867447,1.573724921,-0.0275949,-0.110965032,-0.026384036,1.590680236
0.588171728,1.830411661,1.830411661,2.858589284,0.78150647,1.703074419,1.867579097,3.268235293,0.052514236,0.183804703,0.666397042,2.18469916
0.114076603,0.412092174,1.201632063,2.858589284,0.111852423,0.870003292,1.311377697,2.664730864,-0.479367961,0.197491378,0.133974348,1.641911316
0.281690233,1.488997039,1.748857815,2.880518453,0.09284272,1.037691519,1.28249472,3.074376873,-0.156071762,0.404859266,0.550332824,2.576172458
0.335575463,1.661994875,2.664730864,3.268235293,0.45062411,1.177168079,2.202396163,3.268235293,0.160903978,0.513051149,1.454279177,3.396852412
0,0.338512427,1.208456527,3.074376873,-0.115730057,0.569095596,0.863086915,2.525046267,-0.225827522,0.258003773,0.615947696,2.50154211
0.299074122,0.239068481,0.970936676,2.418183752,-0.290156158,0.815667546,0.749698232,1.661994875,0.162429561,0.110965032,-0.057308183,1.341516976
0.267627273,1.051260991,2.664730864,2.880518453,0.185222478,0.696068859,2.067566574,3.268235293,0.109032154,0.395918489,1.854568125,3.725463735
0.656855512,1.201632063,2.664730864,3.074376873,0.375760853,1.001322454,2.062711566,2.880518453,0.34255939,0.323837653,0.776345476,2.328001067
-0.114076603,0.299299081,0.529050803,1.867579097,0.148178373,0.074808319,0.412092174,1.497490197,0.026131502,-0.082087287,0.488776411,1.049419911
0.297590689,0.264525401,0.78150647,2.309258677,0.338512427,0.45130552,0.650187309,1.723549147,0.128511346,-0.065582133,0.287847129,1.577716176
0.299074122,1.430404155,2.718904687,3.268235293,0.150371072,1.389357234,1.970096258,3.268235293,0,0.999371533,2.270140686,3.245725995
0.148178373,1.208456527,2.664730864,3.268235293,0.110929947,0.761104834,1.867579097,3.074376873,-0.104526092,0.426340591,1.359818948,4.621982677
0.234381663,0.814087466,1.559044469,2.858589284,0.282748113,1.000199966,1.387744563,3.268235293,0.209918382,0.054492387,0.61129752,3.693985465
-0.494412459,0.110929947,0.788911579,2.664730864,-0.110929947,0,0.037248426,1.974441612,0.259778057,0.197289599,0.536694267,2.285432463
0.820261639,1.430404155,2.447537494,3.074376873,-0.159684172,1.089159977,1.964645404,3.074376873,0.398370148,0.398370148,0.276916209,3.06524013
0.529882249,1.409467983,2.014583942,3.268235293,0.074808319,1.117990042,1.964645404,3.074376873,-0.224629434,0.615947696,0.838570158,2.963877376
0.301468323,1.319949336,1.779309143,3.268235293,0.375760853,0.953872552,1.573724921,3.074376873,-0.078412413,0.503544948,0.79937206,2.963877376
-0.111852423,0.970936676,1.723549147,3.074376873,0.45062411,0.580338802,1.661994875,3.268235293,0,0.474990781,2.169929829,4.073668263
0.115730057,1.208456527,1.703074419,3.268235293,0.162551771,0.613175881,2.062711566,3.074376873,-0.235086697,0.605321411,0.870667749,2.604756983
0.400007506,1.08478704,2.612042172,3.074376873,0.178769063,0.596829277,2.067566574,3.268235293,0.156071762,0.402326351,1.289396624,3.661814853
0.185738266,0.648311741,1.372931969,2.16957408,0.461850852,0.819611647,1.104243624,1.867579097,-0.130926649,0,0.395918489,2.212498432
-0.037044105,0.733480941,1.867579097,3.268235293,0.148178373,1.071934175,1.867579097,3.268235293,-0.159121226,0.417595634,1.762115961,4.34782547
-0.074808319,0.37855722,1.071934175,3.074376873,0.188369134,0.456852567,1.867579097,2.858589284,-0.090860177,0.331623962,0.886202404,3.845111883
