id,sex,age,group,rt_proto,rt_amb,intense_proto_base,intense_proto_test,intense_amb_base,intense_amb_test,scl_proto_base,scl_proto_test,scl_amb_base,scl_amb_test,scr_proto_base,scr_proto_test,scr_amb_base,scr_amb_test
1,m,21,view,,,5.00,5.08,4.75,5.00,0.09,-0.85,-0.20,0.96,0.39,-0.40,0.10,-0.09
2,f,20,labeling,7695,11808,5.00,3.33,4.25,4.42,-0.85,1.33,-0.79,0.30,-0.39,-0.03,0.03,0.39
3,m,20,view,,,3.33,2.42,3.50,2.92,-0.75,0.11,1.10,-0.46,-0.40,0.20,0.49,-0.29
4,m,21,labeling,9450,8583,5.92,5.67,4.92,5.75,-,-,-,-,-,-,-,-
5,f,21,view,,,5.58,6.75,5.58,7.08,-,-,-,-,-,-,-,-
6,m,21,labeling,-,-,6.17,6.83,5.67,6.25,-,-,-,-,-,-,-,-
7,f,21,labeling,6452,7569,3.58,3.92,3.42,4.17,-0.78,0.58,0.99,-0.79,0.17,-0.19,-0.14,0.17
8,f,19,view,,,6.25,6.67,5.83,5.75,-0.20,0.77,-1.08,0.50,-0.17,0.17,0.06,-0.07
9,f,21,labeling,4540,5780,5.58,5.67,5.25,6.17,-0.33,-0.96,1.15,0.14,-0.18,-0.55,0.72,0.00
10,f,20,view,,,5.58,5.67,5.25,4.83,1.38,-0.31,-0.26,-0.80,1.14,-0.38,-0.25,-0.50
11,f,21,labeling,3653,3614,4.58,3.83,3.08,3.08,1.07,-0.53,0.72,-1.26,-0.36,-0.11,0.59,-0.12
12,m,21,view,,,6.75,7.17,5.42,6.58,-0.59,-0.64,0.76,0.47,-0.10,-0.26,0.14,0.22
13,m,23,labeling,8260,6904,5.33,5.25,5.17,4.58,-0.07,-0.38,-0.28,0.73,-0.54,-0.02,0.12,0.44
14,f,22,view,,,6.33,6.92,6.17,6.67,0.12,-0.70,-0.42,1.00,-0.02,-0.36,-0.19,0.57
15,f,20,labeling,2352,3301,5.92,5.92,5.58,5.42,-0.18,1.09,-0.74,-0.16,-0.08,0.68,-0.30,-0.29
16,m,20,view,,,6.08,6.58,4.58,6.42,-0.51,1.15,-1.22,0.58,-0.27,0.34,-0.26,0.19
17,m,20,labeling,5549,5321,5.42,5.42,4.25,4.50,-,-,-,-,-,-,-,-
18,m,18,view,,,6.25,6.17,4.92,5.67,-0.27,-0.77,0.72,0.31,-0.22,-0.12,-0.26,0.60
19,f,19,labeling,5396,6218,4.75,6.00,5.50,6.42,1.24,-0.30,-0.30,-0.64,0.35,0.31,-0.34,-0.32
20,f,20,view,,,6.50,6.58,5.58,6.50,-0.22,0.16,-0.78,0.84,0.13,0.35,-0.32,-0.17
21,f,19,labeling,6041,6615,6.25,6.67,5.75,5.83,-1.14,0.44,-0.19,0.89,-0.66,0.25,-0.09,0.51
22,f,20,view,,,6.58,6.67,6.50,6.58,0.74,-0.09,0.85,-1.49,0.23,0.08,-0.00,-0.31
23,f,20,labeling,5610,5359,6.00,6.83,6.08,6.67,0.50,0.38,-0.61,-0.27,0.26,0.31,-0.38,-0.19
24,m,21,view,,,6.33,6.58,4.42,5.92,-0.65,-0.11,-0.23,0.99,-0.25,-0.21,-0.20,0.66
25,f,20,labeling,3857,6728,6.36,6.18,6.33,5.33,-,-,-,-,-,-,-,-
26,m,21,view,,,4.67,5.67,4.50,4.17,1.11,0.29,-0.32,-1.08,0.15,0.49,-0.15,-0.49
27,f,22,labeling,7925,6440,5.92,5.42,6.08,5.58,1.19,0.14,-0.37,-0.96,-0.37,0.59,0.11,-0.32
28,m,20,view,,,5.58,5.92,3.58,5.50,-1.18,0.81,0.07,0.30,-0.67,0.26,0.22,0.18
29,f,19,labeling,5443,3839,4.83,3.75,4.83,3.50,-0.66,0.16,-0.76,1.27,-0.19,-0.15,-0.31,0.65
30,f,19,view,,,5.83,5.83,5.92,5.25,1.12,0.34,-0.42,-1.04,0.61,-0.07,-0.02,-0.52
31,f,20,labeling,3185,3718,4.92,5.17,4.08,4.83,0.87,-0.20,0.75,-1.42,0.35,-0.18,0.31,-0.48
32,m,19,view,,,7.25,6.08,5.25,4.58,-0.79,-0.42,-0.32,1.53,-0.31,-0.25,-0.36,0.92
33,f,18,labeling,3664,4126,5.83,6.67,4.00,6.25,-1.20,0.19,-0.20,1.21,-0.46,0.21,-0.45,0.70
34,m,18,view,,,3.92,6.58,5.42,5.17,0.69,0.41,0.21,-1.30,-0.18,0.42,0.06,-0.30
35,m,21,labeling,5971,6382,5.83,6.75,5.50,7.00,-0.15,1.44,-0.72,-0.57,-0.33,1.07,-0.39,-0.35
36,f,19,view,,,4.83,5.17,3.67,4.08,0.40,-1.08,1.24,-0.56,0.34,-0.03,0.07,-0.38
37,o,20,labeling,4256,6182,4.67,5.17,5.08,5.00,-0.54,0.95,-1.04,0.63,-0.41,-0.10,0.25,0.26
38,f,20,view,,,4.92,5.17,4.58,4.50,1.25,-0.13,-0.27,-0.84,1.18,-0.50,-0.01,-0.67
39,m,20,labeling,7617,9265,3.75,4.83,4.42,3.67,0.30,0.62,-0.49,-0.42,-0.03,0.05,0.38,-0.41
40,f,21,view,,,6.92,7.17,6.17,6.83,-0.27,-0.87,0.27,0.87,0.00,-0.43,-0.10,0.52
41,m,20,labeling,7890,7589,4.92,4.75,3.67,3.67,-1.03,1.31,-0.25,-0.03,-0.45,0.44,-0.25,0.26
42,m,20,labeling,6634,9801,4.08,5.50,4.33,5.50,1.14,0.41,-1.31,-0.23,0.65,0.61,-0.85,-0.41
43,f,19,view,,,5.08,6.33,5.50,4.75,0.98,-0.04,-0.82,-0.12,0.43,-0.20,-0.36,0.12
44,f,20,view,,,4.25,4.25,3.75,3.58,-0.46,-0.26,1.30,-0.58,-0.24,0.06,0.42,-0.24
45,f,20,labeling,4463,5498,6.67,7.00,6.08,6.50,-0.46,-0.61,1.44,-0.36,-0.28,-0.29,0.76,-0.19
46,f,19,view,,,5.08,5.75,5.92,5.58,1.33,-0.39,-0.36,-0.57,0.97,-0.29,-0.26,-0.42
47,m,22,labeling,6290,6777,5.58,5.25,5.25,5.75,0.19,-0.29,-0.54,0.64,0.03,0.18,-0.31,0.10
48,f,19,labeling,6017,6856,5.25,6.00,4.25,6.42,-0.09,-0.41,0.24,0.26,0.06,-0.10,0.06,-0.02
49,f,19,view,,,6.00,5.92,6.25,5.92,-0.66,-0.73,0.55,0.84,-0.32,-0.04,-0.06,0.42
