condition	stimulus	cohort	unrel
VisSame	bag	0.111158124	0.062439555
VisSame	bark	0.058933752	0.051166586
VisSame	barn	0.06981383	0.056183511
VisSame	bat	0.096111519	0.063493519
VisSame	beach	0.101486944	0.099794487
VisSame	beak	0.156008221	0.087645068
VisSame	bed	0.069632495	0.064887573
VisSame	bell	0.057362186	0.059326644
VisSame	braid	0.141354854	0.068934947
VisSame	brain	0.107954545	0.064645793
VisSame	bug	0.079847679	0.045333656
VisSame	bus	0.079908124	0.054460832
VisSame	cab	0.265534333	0.088521518
VisSame	cake	0.094173114	0.071808511
VisSame	cat	0.074226306	0.036901596
VisSame	cave	0.123065764	0.077973888
VisSame	cork	0.074468085	0.056606625
VisSame	corn	0.06014265	0.060082205
VisSame	crowd	0.181645879	0.074620934
VisSame	crown	0.112427466	0.063195116
VisSame	goal	0.088430851	0.081328578
VisSame	goat	0.052587041	0.04463854
VisSame	hole	0.166749134	0.129113063
VisSame	horn	0.122462705	0.081438004
VisSame	horse	0.068907157	0.047207447
VisSame	hose	0.137753868	0.071113395
VisSame	judge	0.102393617	0.05542795
VisSame	jug	0.219475338	0.075797872
VisSame	moon	0.118532398	0.072564072
VisSame	moose	0.098283366	0.056576402
VisSame	peace	0.144106138	0.084494987
VisSame	peach	0.054400387	0.052798598
VisSame	peak	0.136605416	0.115751934
VisSame	peas	0.073259188	0.077067215
VisSame	pig	0.086980174	0.055155948
VisSame	pit	0.102151838	0.071989845
VisSame	plane	0.115147485	0.074498308
VisSame	plate	0.08172147	0.058480416
VisSame	plug	0.145128143	0.094082447
VisSame	plum	0.083837041	0.062016441
VisSame	race	0.131104932	0.098283366
VisSame	rake	0.079424565	0.062409333
VisSame	robe	0.207507253	0.072836074
VisSame	rose	0.156914894	0.067426257
VisSame	snail	0.222242602	0.058602348
VisSame	snake	0.145430368	0.058631528
VisSame	web	0.140413443	0.084532157
VisSame	well	0.121312863	0.060867988
VisNew	bag	0.121256895	0.068163909
VisNew	bark	0.054127266	0.068902679
VisNew	barn	0.049054374	0.073433806
VisNew	bat	0.070823483	0.094710402
VisNew	beach	0.095895223	0.07333902
VisNew	beak	0.137165091	0.088061466
VisNew	bed	0.050778172	0.088307723
VisNew	bell	0.087027187	0.065898345
VisNew	braid	0.126432079	0.060914484
VisNew	brain	0.083628842	0.063509653
VisNew	bug	0.051910954	0.050531915
VisNew	bus	0.077472419	0.048758865
VisNew	cab	0.18935176	0.079339829
VisNew	cake	0.105447203	0.053659377
VisNew	cat	0.052058708	0.034894602
VisNew	cave	0.094070134	0.068163909
VisNew	cork	0.11465721	0.058806147
VisNew	corn	0.081658786	0.049054374
VisNew	crowd	0.116419109	0.075220795
VisNew	crown	0.135687549	0.062721631
VisNew	goal	0.098157998	0.069025808
VisNew	goat	0.045803783	0.05393026
VisNew	hole	0.182117528	0.140678825
VisNew	horn	0.067178881	0.075871749
VisNew	horse	0.07535461	0.057722616
VisNew	hose	0.105644208	0.080378251
VisNew	judge	0.092888101	0.062524626
VisNew	jug	0.187214158	0.071385961
VisNew	moon	0.121601655	0.072818164
VisNew	moose	0.109017697	0.049811096
VisNew	peace	0.100522065	0.065972222
VisNew	peach	0.085894405	0.090794917
VisNew	peak	0.130762411	0.11409082
VisNew	peas	0.056934594	0.059200158
VisNew	pig	0.057033097	0.050088652
VisNew	pit	0.070380221	0.0910658
VisNew	plane	0.134818055	0.069770332
VisNew	plate	0.070774232	0.064248424
VisNew	plug	0.117218282	0.074246454
VisNew	plum	0.068114657	0.065085697
VisNew	race	0.089489756	0.077423168
VisNew	rake	0.087421198	0.057328605
VisNew	robe	0.18715524	0.069370567
VisNew	rose	0.119828605	0.070675729
VisNew	snail	0.243526696	0.071080891
VisNew	snake	0.109465102	0.061915888
VisNew	web	0.12105989	0.081387904
VisNew	well	0.142237983	0.060948582
Text	bag	0.057568706	0.092641844
Text	bark	0.043218085	0.090591755
Text	barn	0.058289007	0.09034242
Text	bat	0.127604167	0.114721853
Text	beach	0.096742021	0.098404255
Text	beak	0.158854167	0.084995567
Text	bed	0.072417996	0.123420878
Text	bell	0.086824025	0.072196365
Text	braid	0.131538121	0.111203457
Text	brain	0.105543113	0.092581187
Text	bug	0.055518617	0.070395612
Text	bus	0.059674202	0.077903369
Text	cab	0.192375887	0.139184397
Text	cake	0.132203014	0.083444149
Text	cat	0.051473848	0.069703014
Text	cave	0.138962766	0.087267287
Text	cork	0.090093085	0.0724457
Text	corn	0.095689273	0.086214539
Text	crowd	0.130263741	0.099069149
Text	crown	0.130873227	0.091422872
Text	goal	0.088929521	0.131898271
Text	goat	0.064827128	0.066433954
Text	hole	0.172458629	0.197635934
Text	horn	0.115341545	0.11019037
Text	horse	0.081006206	0.07712766
Text	hose	0.119182181	0.109652039
Text	judge	0.154864805	0.074689716
Text	jug	0.144448138	0.098487367
Text	moon	0.135361259	0.125332447
Text	moose	0.129875887	0.069370567
Text	peace	0.11314273	0.110067598
Text	peach	0.097905585	0.091727615
Text	peak	0.173703457	0.136441711
Text	peas	0.096243351	0.089954566
Text	pig	0.113253546	0.067071144
Text	pit	0.101784131	0.099263076
Text	plane	0.127050089	0.097739362
Text	plate	0.097185284	0.076435062
Text	plug	0.121509309	0.098071809
Text	plum	0.123670213	0.10447141
Text	race	0.121620124	0.126939273
Text	rake	0.074024823	0.076961436
Text	robe	0.170988475	0.090813387
Text	rose	0.202792553	0.0859375
Text	snail	0.279635258	0.102291326
Text	snake	0.172207447	0.078235816
Text	web	0.139793883	0.102809176
Text	well	0.112597984	0.095548712
None	bag	0.063157895	0.072340426
None	bark	0.048592642	0.08216977
None	barn	0.046487145	0.07535461
None	bat	0.093057111	0.077743561
None	beach	0.099955674	0.072556516
None	beak	0.135028812	0.083333333
None	bed	0.038009752	0.088015293
None	bell	0.055795656	0.087045656
None	braid	0.124742622	0.104552734
None	brain	0.077995521	0.073012318
None	bug	0.070589539	0.069869238
None	bus	0.051695479	0.046154699
None	cab	0.205655095	0.060330347
None	cake	0.098238032	0.05859375
None	cat	0.049312943	0.028424202
None	cave	0.115580674	0.067985372
None	cork	0.082945479	0.050698138
None	corn	0.094027039	0.062250665
None	crowd	0.147974196	0.078004753
None	crown	0.113031915	0.071586879
None	goal	0.080119681	0.092281693
None	goat	0.033577128	0.066295434
None	hole	0.153283002	0.151738733
None	horn	0.084441489	0.102005762
None	horse	0.048925089	0.046431738
