condition	Participant	Min	Max	Crossover	Slope
None	3	4.01565E-08	0.838540417	568.1841152	0.00189457
None	12	0.011140002	0.380569818	577.0071495	0.001061611
None	13	0.008119735	0.277415271	683.4904809	0.000490299
None	14	0.001604146	0.442078022	715.4841525	0.000997556
None	19	0.005607565	0.644054727	652.8539943	0.001911669
None	24	4.79295E-08	0.751735987	686.5518874	0.002661554
None	25	2.67087E-08	0.773167623	569.1715329	0.002099785
None	27	2.13444E-08	0.714100093	632.2346964	0.001359491
None	28	7.33089E-10	0.744222164	605.7876209	0.001368861
None	34	0.000359546	0.960169095	635.1983528	0.002587976
None	36	4.07298E-08	0.937499971	653.2711204	0.001788999
None	37	1.42408E-08	0.909938182	670.0645063	0.00158447
None	39	5.06795E-08	0.848167413	618.3587269	0.001492691
None	46	0.000366614	0.554973778	645.4409013	0.000991206
None	49	2.16903E-06	0.926953191	609.9583182	0.002657276
None	50	2.72749E-08	0.910004623	632.7480634	0.002474566
None	54	3.50923E-08	0.890052333	645.0720674	0.001441757
None	59	1.22881E-08	0.927083261	672.7481499	0.001773025
None	63	5.08891E-08	0.40390817	728.8186702	0.000974742
None	73	0.003385472	0.85058544	618.6185944	0.001867302
None	74	0.004834916	0.947916648	749.0360051	0.001806088
None	75	0.002387807	0.761229796	621.082688	0.001734789
None	76	2.51763E-08	0.869109915	594.5095887	0.001463255
None	79	2.10742E-08	0.938196385	584.5452039	0.002192988
Self-paced	101	1.50432E-08	0.889169145	634.2640077	0.001827896
Self-paced	102	1.02762E-08	0.952127656	604.0283204	0.001293957
Self-paced	103	4.39233E-08	0.926315771	584.6328509	0.001609389
Self-paced	104	1.652E-08	0.854509783	600.4565636	0.00177272
Self-paced	105	5.90495E-06	0.893656094	644.1666684	0.001864893
Self-paced	106	0.002269143	0.91623036	545.7895537	0.0013704
Self-paced	107	0.031170357	0.973821968	575.7354745	0.001560573
Self-paced	108	1.62544E-08	0.8586383	679.5843954	0.001426684
Self-paced	109	0.005582531	0.982672732	614.8759125	0.002115466
Self-paced	110	9.04408E-09	0.857894592	705.5904604	0.001212262
Self-paced	111	0.00124926	0.989582855	629.3569842	0.001981817
Self-paced	112	4.34789E-08	0.890624982	627.3913518	0.001611211
Self-paced	113	0.00742183	0.967342053	663.0612298	0.001896155
Self-paced	114	0.002154322	0.841611385	641.7047256	0.002199816
Self-paced	115	6.877E-05	0.870215319	562.940498	0.001570383
Self-paced	116	1.35466E-08	0.922528449	626.940854	0.001619381
Self-paced	117	8.57395E-08	0.973958317	573.5907233	0.00173969
Self-paced	118	1.90835E-08	0.963541643	593.3692177	0.001478391
Self-paced	119	0.085853558	0.932291579	620.9675446	0.001465946
Self-paced	120	7.69133E-07	0.874969995	662.0651634	0.001756595
Self-paced	121	3.86993E-05	0.953979504	554.4050894	0.001749296
Self-paced	122	0.001663431	0.935287855	649.1385894	0.001856749
Text	4	1.34202E-06	0.744567614	639.9553711	0.002094496
Text	5	7.39344E-09	0.967833344	576.1151152	0.001860094
Text	6	6.003E-08	0.863874301	597.487675	0.001422277
Text	8	4.14201E-08	0.954718124	596.0175926	0.002762161
Text	10	2.5093E-08	0.933611316	617.9481919	0.001666437
Text	11	1.46337E-08	0.869791611	693.0470996	0.001640997
Text	15	1.16413E-08	0.981823155	613.5393789	0.001992439
Text	22	3.83232E-06	0.944259201	529.3754841	0.002148972
Text	29	3.04584E-07	0.801046736	601.1571599	0.001775955
Text	38	3.94716E-06	0.817506482	682.3347494	0.001746184
Text	40	1.00794E-08	0.847368415	573.740731	0.001461743
Text	43	1.93006E-08	0.968749977	597.4222858	0.001667857
Text	51	0.012261212	0.873026372	611.682503	0.002069486
Text	53	4.33009E-06	0.95833326	731.0220225	0.001621816
Text	55	1.26317E-08	0.960271993	549.4402258	0.002347129
Text	60	1.7422E-08	0.8201437	637.9924879	0.001687384
Text	64	4.37483E-08	0.911100983	656.3538467	0.001961414
Text	65	0.005208455	0.812499989	596.3222997	0.001450281
Text	66	1.51122E-08	0.958114957	634.5273265	0.001919796
Text	68	5.57457E-08	0.942536464	681.8174825	0.001707603
Text	70	0.007009104	0.790575914	577.6290304	0.001195992
Text	71	2.98089E-09	0.973958329	622.2744476	0.001850313
Text	72	1.81143E-07	0.631015966	602.1180945	0.001038649
Text	78	3.64727E-05	0.927082123	636.2607942	0.001773501
Vis-Same locs	201	0.013462264	0.968152113	595.3546798	0.002084125
Vis-Same locs	202	4.35602E-08	0.317179147	706.2175183	0.000665495
Vis-Same locs	204	1.46844E-06	0.989579353	556.8576019	0.001943291
Vis-Same locs	205	1.05287E-07	0.197198975	758.7295286	0.000379475
Vis-Same locs	206	1.32872E-08	0.968749961	570.8728516	0.001784518
Vis-Same locs	207	7.03086E-09	0.963541657	639.2610425	0.001874348
Vis-Same locs	208	0.008178196	0.267015425	625.3536324	0.000564538
Vis-Same locs	209	0.017517576	0.869791644	586.8813196	0.00205125
Vis-Same locs	210	8.69422E-08	0.958115096	644.0168492	0.001959599
Vis-Same locs	211	0.006423616	0.907608329	578.2950467	0.0018691
Vis-Same locs	212	2.23976E-08	0.989583267	581.8259204	0.001796928
Vis-Same locs	214	2.70484E-07	0.950094307	698.5950461	0.002970109
Vis-Same locs	215	1.38444E-08	0.963390417	608.7001788	0.001941841
Vis-Same locs	216	1.6419E-08	0.921874962	640.570975	0.001759593
Vis-Same locs	217	0.002282254	0.845469445	693.937902	0.001772137
Vis-Same locs	218	1.46729E-08	0.963057718	590.179493	0.001924829
Vis-Same locs	220	0.003264652	0.921874973	670.5612141	0.001432497
Vis-Same locs	221	1.5281E-08	0.814091398	636.9427725	0.001594167
Vis-Same locs	222	0.023786287	0.968749982	588.6359893	0.001737934
Vis-Same locs	223	5.38246E-09	0.926887278	677.8040938	0.001635739
Vis-Same locs	224	4.30539E-08	0.910097727	579.9088474	0.001825725
Vis-Same locs	225	4.39097E-08	0.733056787	675.3282895	0.001409334
Vis-New locs	1	3.98026E-08	0.636608257	709.5422971	0.001338882
Vis-New locs	2	1.16098E-08	0.973059311	583.2162107	0.002040745
Vis-New locs	7	1.08385E-06	0.931932081	614.4032837	0.0016269
Vis-New locs	9	1.10508E-08	0.87611704	543.0820455	0.002431317
Vis-New locs	16	5.62475E-08	0.973544851	618.3960205	0.00184779
Vis-New locs	17	1.73533E-08	0.935769106	623.609681	0.002204402
Vis-New locs	20	4.1115E-08	0.813829756	741.0756743	0.001359086
Vis-New locs	21	1.22706E-07	0.723346139	599.1672324	0.002584169
Vis-New locs	23	1.44677E-08	0.911882914	641.7264571	0.001938808
Vis-New locs	26	1.57617E-07	0.967193963	588.9161051	0.001798155
Vis-New locs	30	1.34204E-06	0.231483829	659.9579835	0.000583458
Vis-New locs	31	2.47282E-07	0.554327549	670.7501986	0.001344675
Vis-New locs	32	2.92848E-07	0.890624631	589.9957875	0.001450373
