Participant	Condition2	T	C	U
1	VisNewLocs	0.252631579	0.047900336	0.032670773
2	VisNewLocs	0.536458333	0.087378103	0.082820811
7	VisNewLocs	0.481341205	0.169989974	0.101425866
9	VisNewLocs	0.537372562	0.086463874	0.060200576
16	VisNewLocs	0.496566475	0.136130812	0.112391647
17	VisNewLocs	0.463929521	0.099373892	0.04864805
20	VisNewLocs	0.302257809	0.113993889	0.091274332
21	VisNewLocs	0.386026152	0.042719415	0.017231826
23	VisNewLocs	0.435560727	0.105247119	0.063303413
26	VisNewLocs	0.523271277	0.119985594	0.081934286
30	VisNewLocs	0.104748449	0.038591534	0.037067819
31	VisNewLocs	0.244936853	0.045283878	0.039566504
32	VisNewLocs	0.491827349	0.133421986	0.120318041
33	VisNewLocs	0.483100621	0.10106383	0.076324246
35	VisNewLocs	0.394563885	0.10501838	0.073966804
41	VisNewLocs	0.502742686	0.148714539	0.095661569
42	VisNewLocs	0.386042108	0.151888159	0.11164643
47	VisNewLocs	0.273077349	0.063525044	0.026041667
48	VisNewLocs	0.442708333	0.145113032	0.086062168
56	VisNewLocs	0.448498449	0.112062278	0.066530918
57	VisNewLocs	0.313414229	0.054770612	0.035142398
58	VisNewLocs	0.280717389	0.100701793	0.070346441
61	VisNewLocs	0.545656028	0.111092642	0.071600731
62	VisNewLocs	0.505651596	0.147190824	0.116910461
67	VisNewLocs	0.427637411	0.087350399	0.049908577
69	VisNewLocs	0.428163785	0.125969637	0.081324801
77	VisNewLocs	0.556737589	0.11100953	0.036402926
4	Text	0.349872562	0.049368351	0.031263852
5	Text	0.54074301	0.101954996	0.086289963
6	Text	0.46905982	0.16428094	0.143268909
8	Text	0.513741135	0.063996011	0.048689605
10	Text	0.480302527	0.122839096	0.120068706
11	Text	0.363613697	0.097877881	0.088791002
15	Text	0.504681959	0.132341534	0.076310395
22	Text	0.587045656	0.098182624	0.095342974
29	Text	0.430210538	0.099392893	0.070123649
38	Text	0.3536957	0.096852837	0.094345634
