condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
None	bag	0.0208600097662089	0.79933641045431	595.111647757631	0.00246804821547552	2010	0.997863260562989	0.000487927541324664	0.962614713856118	326	1
None	bark	0.00047759880753645	0.793035286041472	562.02950778256	0.00276400419098882	2010	0.998868586144043	0.000271362056279618	0.937149920040706	326	1
None	barn	0.00454819709774629	0.732570143681505	552.720365469426	0.00200065420071695	2010	0.998079171208093	0.000357079727491466	0.96018114732691	326	1
None	bat	9.99305144189222e-09	0.723810902297312	687.686536586627	0.0012074877434214	2010	0.99789978918233	0.000356779257189457	0.960772587907043	326	1
None	beach	0.00428098774126312	0.822912315512528	679.523629419956	0.00172821227597727	2010	0.999091478761936	0.000194934847600494	0.91917056008785	326	1
None	beak	0.023003113537476	0.756894371799707	712.852476899285	0.00166791600197954	2010	0.995664780642783	0.000770252278269591	0.975697629599028	326	1
None	bed	0.0126265277981597	0.767005217420658	610.365800463872	0.00250739585706541	2010	0.997948199923748	0.000448401636400012	0.964692128647668	326	1
None	bell	0.0103050008210659	0.753670441721933	603.345468206483	0.00305613857144566	2010	0.998893778440229	0.000247481451645198	0.947868968906044	326	1
None	braid	9.05392588124165e-08	0.82674889571801	699.47201692194	0.00170234592913649	2010	0.997053804386173	0.000658913886587568	0.975774403477683	326	1
None	brain	1.23669696816542e-07	0.740822238055076	594.776432806677	0.00160299788062452	2010	0.998687466565298	0.000243804739459921	0.922862831206861	326	1
None	bug	0.0102386994499864	0.742376308842462	556.387882727354	0.00240107591316557	2010	0.997499142539775	0.000501721083871902	0.969763262923692	326	1
None	bus	0.00734249390551567	0.790160426864887	561.547898850614	0.00225714717254955	2010	0.998070524961423	0.000424601521391062	0.957105806108445	326	1
None	cab	0.0164078840777867	0.820164109753555	793.103866410761	0.001807278064894	2010	0.996809778717976	0.000637097259291324	0.969674712322689	326	1
None	cake	9.06889126961463e-07	0.784511983770123	587.673169992279	0.00198700777060415	2010	0.998644214188665	0.000295621737266998	0.943232435342072	326	1
None	cat	4.83656603807447e-05	0.788708478157644	497.694150754652	0.00287405547649895	2010	0.996673643858147	0.000765076875376239	0.981006275419578	326	1
None	cave	0.0163749426035441	0.718749988849051	699.171740328461	0.00146003305576886	2010	0.995599179779602	0.000707464884991809	0.973237500742984	326	1
None	cork	0.0185911078126174	0.770638328880836	618.758250734577	0.00211577146318855	2010	0.995242772156207	0.000983018215685084	0.984337164927874	326	1
None	corn	0.00360154085635495	0.775032659173084	608.316601053773	0.00224630967642067	2010	0.998940822571077	0.000231336168150887	0.936908431775603	326	1
None	crowd	7.370668464457e-09	0.808510633320087	655.058821989293	0.00125448152023462	2010	0.989785614913804	0.00192107464044181	0.98942613613355	326	1
None	crown	1.05918344650568e-08	0.820037070897347	620.333949010381	0.00146875939555458	2010	0.997663617564418	0.000529557752770854	0.964850569001293	326	1
None	goal	1.36711903464537e-08	0.739071405697084	626.209944362048	0.00140033605431543	2010	0.996563928593147	0.000574108658379549	0.966496907110582	326	1
None	goat	0.00471384373063344	0.701677997889683	536.119510514122	0.0024901855364949	2010	0.998702421674652	0.000238398468637154	0.940211416036953	326	1
None	hole	0.0222549566073	0.806451580528094	867.669071366503	0.00122475894186031	2010	0.992219837577482	0.00114334181162167	0.979444498418372	326	1
None	horn	5.90283910306688e-07	0.716769854627785	632.987966342302	0.00164252792433245	2010	0.998356334362471	0.00029437292933306	0.947923040623198	326	1
None	horse	0.00887121131633872	0.807144968516884	552.775065040719	0.00227242063950223	2010	0.997264419479546	0.000620499538736316	0.97609541214655	326	1
None	hose	0.0021052669428881	0.733900311562202	651.118334261968	0.00145242876854415	2010	0.99854149185325	0.00024186764668474	0.925546338793449	326	1
None	judge	1.02233096432869e-08	0.757894714400737	678.033947902376	0.00126624702342174	2010	0.998024319590816	0.00032614479955537	0.940035037030684	326	1
None	jug	1.02509896127145e-08	0.718749973566094	707.948932241395	0.00110985656439117	2010	0.998093826921322	0.000265466133803033	0.94892303324545	326	1
None	moon	0.0178919848066648	0.781249928336091	769.593776541533	0.00126689770086318	2010	0.994595245726527	0.000890548448539382	0.979590528370282	326	1
None	moose	0.00775065626782778	0.796045659703137	572.489770185057	0.00341122664258881	2010	0.99760213802539	0.000604677599361491	0.973922543086369	326	1
None	peace	0.0156990601532876	0.69791651068122	740.698324262519	0.00165595632317229	2010	0.998104067924002	0.000312031301797008	0.96144611267563	326	1
None	peach	0.00508552002946344	0.69332871862341	616.357668293164	0.0020495966735276	2010	0.996331334160885	0.000646588908687531	0.975427912772237	326	1
None	peak	0.013818969994253	0.708333154416562	805.239784520489	0.00133962558776128	2010	0.997388805815624	0.000366882039131326	0.951740414763084	326	1
None	peas	0.00359304707335656	0.842382984236165	616.353736361448	0.00186310229288769	2010	0.997768917911414	0.000515267653802853	0.964710415924503	326	1
None	pig	0.0160667469867788	0.703871168557967	587.133838898561	0.00233033036292455	2010	0.998073048929997	0.000349445769246153	0.951463083110531	326	1
None	pit	0.00235703506996621	0.734150561706101	623.096640717317	0.00221674091906097	2010	0.998775480384128	0.000244830914711891	0.9226851605838	326	1
None	plane	0.00105528063120397	0.838599357381228	719.118113124985	0.00192270782102323	2010	0.99736489578661	0.000609490031262933	0.96791668478784	326	1
None	plate	0.00385061986071	0.712692193383236	560.446910944182	0.00224842936481093	2010	0.998201835511045	0.000335020111856338	0.953636069260769	326	1
None	plug	0.0193072211984638	0.841062423332622	686.760836354752	0.00189012768400759	2010	0.996502995283412	0.000789553971531704	0.97483378624295	326	1
None	plum	0.0235628980672655	0.727865954146364	632.830273669587	0.00240982242926158	2010	0.996957244756549	0.000587730183930944	0.970616510468832	326	1
None	race	0.0280525981393847	0.843749930406115	764.241385725415	0.00172038271462085	2010	0.994816480044159	0.00107313612435275	0.983118138635369	326	1
None	rake	0.00836454078969356	0.770830179879233	619.800089783609	0.00227416629861869	2010	0.997657381818307	0.000506342932703565	0.972650052501463	326	1
None	robe	0.026734787868832	0.81249996545194	776.348149816093	0.00154204824487743	2010	0.992691513356185	0.00145743043345847	0.987199873802399	326	1
None	rose	3.82346500571451e-08	0.789473654725556	663.846892460724	0.00159018530826814	2010	0.998358799617288	0.00034370274633041	0.956365174292148	326	1
None	snail	0.0415068910194444	0.749999421963166	911.951278706978	0.00138787376942504	2010	0.989283972749157	0.00138978617034119	0.986653625075526	326	1
None	snake	1.40861727582209e-06	0.749999983525796	651.425310613541	0.00151175463223267	2010	0.996778550984009	0.000596445787982828	0.971976769179753	326	1
None	web	0.0114664839524019	0.757894705532853	655.752484200125	0.00150726084943385	2010	0.99675706310627	0.000580219931769719	0.976816866375131	326	1
None	well	0.0177770393276165	0.729166389513726	651.65526084522	0.00140170273409142	2010	0.994705140943552	0.000841057846542487	0.980639288022493	326	1
SelfPaced	bag	0.0183300963683335	0.954545423672138	618.867359687794	0.00176381299657689	2010	0.998490395308658	0.000422507001840735	0.952949344267569	326	1
SelfPaced	bark	0.0198036962340271	0.927215102431383	523.542109211888	0.00177269618884077	2010	0.998920680873328	0.000257318649290063	0.931325453780922	326	1
SelfPaced	barn	0.0061474123961846	0.930414974427143	581.615523633082	0.00241836734192514	2010	0.999176757729428	0.000245319658363665	0.928977848301779	326	1
SelfPaced	bat	2.28130599300158e-07	0.955980881559214	589.293993734937	0.00186399166999264	2010	0.998990633558781	0.000287225897372918	0.915700549054319	326	1
SelfPaced	beach	0.0626590683056198	0.931818107103003	706.651342540331	0.00167969350817334	2010	0.994940612960165	0.00128862553158502	0.982409008495572	326	1
SelfPaced	beak	0.0069820165390771	0.930226748632993	690.504501250294	0.00163767822688291	2010	0.997971743904233	0.000498908917161738	0.959260719224434	326	1
SelfPaced	bed	8.03787142400481e-08	0.914369575018391	561.1811921672	0.00202344526002157	2010	0.998341794909835	0.000475188363220053	0.95751663394168	326	1
SelfPaced	bell	0.0039242142368705	0.977497370524754	569.055144092535	0.00234809267509512	2010	0.999169154780491	0.00026381016258374	0.931081667749882	326	1
SelfPaced	braid	0.00916866499989888	0.922222029447099	657.731267903348	0.00162636264800175	2010	0.997929392315365	0.000508312650531393	0.960176877680476	326	1
SelfPaced	brain	8.738298312716e-08	0.920454492146117	600.798357292905	0.00158939817250463	2010	0.998805555642589	0.000311969675690749	0.939563478953198	326	1
SelfPaced	bug	0.0198286887000736	0.953020737886215	538.602833459736	0.00227809859674604	2010	0.998221623143694	0.000511416587164007	0.958628536438296	326	1
SelfPaced	bus	0.030118769342193	0.964785932677774	584.350281278886	0.00291456707552816	2010	0.998056103259634	0.000633710404208441	0.968217826935816	326	1
SelfPaced	cab	0.0703543194111698	0.839079703957005	779.336114271634	0.00169089673372498	2010	0.993768275972784	0.00117006356450331	0.982322708086714	326	1
SelfPaced	cake	6.19126218626143e-08	0.910112316787455	568.572400737792	0.00177618665004233	2010	0.999378559127124	0.000161730534664359	0.890916242430292	326	1
SelfPaced	cat	0.00167725729315277	0.982323547321055	501.793635457873	0.00278809502597813	2010	0.999517753378681	0.000157722566207969	0.870883754959252	326	1
SelfPaced	cave	2.17035604543891e-07	0.873563203942166	561.074653763037	0.00119897444078945	2010	0.993018536043335	0.00130218692497329	0.978048233601959	326	1
SelfPaced	cork	0.0150009300116199	0.925014132920566	601.755732355853	0.00234249608267683	2010	0.998949489250856	0.000303853915123406	0.943660235003232	326	1
SelfPaced	corn	1.41401743647407e-08	0.943181755299373	569.53464604417	0.00176475097655104	2010	0.999004478919569	0.000312619767924051	0.948575062867406	326	1
SelfPaced	crowd	0.0783903262188072	0.897727048825548	662.350405588618	0.00139059771383279	2010	0.992438657927982	0.00156046941391819	0.984233047562956	326	1
SelfPaced	crown	0.0297647687182877	0.965877400951235	680.736692622854	0.00204642661300239	2010	0.997939369759773	0.000593234277467755	0.966210330107711	326	1
SelfPaced	goal	0.0331784110469707	0.904211736350148	665.756652961218	0.00176914822244796	2010	0.995341958404817	0.00111331835273921	0.983171013302767	326	1
SelfPaced	goat	9.8285430819578e-06	0.891181066670855	480.586893185954	0.00212971722370599	2010	0.999544075484288	0.000116916006969293	0.852824942447397	326	1
