subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Correct Sequence,Response Sequence,Accuracy
100,1,18,space,7,7,1.5,21.1791369,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle']",1
100,2,6,space,5,2,1.5,16.3542626,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond']",0.4
100,3,12,space,6,6,1.5,17.0671797,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle']",1
100,4,13,space,6,5,1.5,19.8164773,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']",0.833333333
100,5,19,space,7,5,1.5,23.7423568,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Diamond']",0.714285714
100,6,24,space,7,7,1.5,19.156656,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",1
100,7,10,space,6,4,1.5,18.4805156,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']",0.666666667
100,8,5,space,5,5,1.5,17.667189,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond']",1
100,9,2,space,5,5,1.5,13.9892224,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle']",1
100,10,1,space,5,5,1.5,15.4470926,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond']",1
100,11,17,space,7,7,1.5,18.1781106,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Diamond', 'Diamond']",1
100,12,11,space,6,6,1.5,16.733322,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Diamond']",1
100,13,7,space,5,5,1.5,15.1858509,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']",1
100,14,22,space,7,4,1.5,22.0434444,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon', 'Circle']",0.571428571
100,15,8,space,5,5,1.5,17.9249601,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']",1
100,16,16,space,6,6,1.5,18.2440056,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Circle']",1
