subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Correct Sequence,Response Sequence,Accuracy
100,1,12,space,6,4,1.5,24.5751698,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",0.666666667
100,2,2,space,5,3,1.5,26.9461211,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']",0.6
100,3,14,space,6,4,1.5,21.9288422,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon', 'Diamond']",0.666666667
100,4,13,space,6,6,1.5,16.6308816,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle']",1
100,5,16,space,6,6,1.5,19.6998418,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Circle']",1
100,6,19,space,7,3,1.5,45.6215056,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']",0.428571429
100,7,3,space,5,5,1.5,17.1360551,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']",1
100,8,24,space,7,7,1.5,45.4831698,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']",1
100,9,11,space,6,6,1.5,18.1630268,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Circle']",1
100,10,7,space,5,3,1.5,15.3279176,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']",0.6
100,11,4,space,5,5,1.5,18.4053595,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']",1
100,12,1,space,5,5,1.5,16.5623071,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle']",1
100,13,23,space,7,3,1.5,24.837259,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle', 'Pentagon', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",0.428571429
100,14,15,space,6,6,1.5,20.0630247,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle']",1
100,15,21,space,7,4,1.5,28.6882579,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Pentagon']",0.571428571
100,16,9,space,6,6,1.5,21.4429333,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,17,5,space,5,5,1.5,16.3243136,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']",1
100,18,17,space,7,7,1.5,33.9447886,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon']",1
100,19,22,space,7,5,1.5,33.6899189,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Pentagon']",0.714285714
