subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Volume,Correct Sequence,Response Sequence,Accuracy
100,1,15,space,7,4,1.5,28.4210674,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle']",0.571428571
100,2,5,space,5,5,1.5,15.9213057,0.05,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,3,2,space,5,5,1.5,17.1354292,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']",1
100,4,1,space,5,5,1.5,16.0213244,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",1
100,5,16,space,7,6,1.5,22.3622099,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Circle']",0.857142857
100,6,13,space,7,4,1.5,23.0159768,0.05,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",0.571428571
100,7,6,space,5,2,1.5,17.7414421,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",0.4
100,8,12,space,6,6,1.5,16.8419476,0.05,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Pentagon']",1
100,9,11,space,6,6,1.5,16.6807368,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon']",1
100,10,8,space,6,6,1.5,19.1027932,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']",1
100,11,4,space,5,5,1.5,14.956305,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']",1
100,12,10,space,6,4,1.5,19.7543678,0.05,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']",0.666666667
100,13,14,space,7,7,1.5,20.8167108,0.05,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon', 'Circle']",1
100,14,7,space,6,6,1.5,16.2052644,0.05,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon', 'Diamond']",1
100,15,9,space,6,6,1.5,16.555259,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",1
100,16,18,space,7,3,1.5,21.2253875,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Diamond']",0.428571429
100,17,17,space,7,7,1.5,19.8465321,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Circle']",1
100,18,3,space,5,4,1.5,14.9960722,0.05,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond']",0.8
100,1,6,sound,5,5,1.5,14.4253268,0.05,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']",1
100,2,9,sound,6,6,1.5,20.2152058,0.05,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Pentagon']",1
100,3,18,sound,7,6,1.5,19.0856335,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Circle', 'Circle']","['Pentagon', 'Pentagon', 'Circle', 'Circle', 'Pentagon', 'Circle', 'Circle']",0.857142857
100,4,10,sound,6,6,1.5,16.970183,0.05,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Circle']",1
100,5,2,sound,5,5,1.5,14.4880556,0.05,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']",1
100,6,16,sound,7,1,1.5,17.958219,0.05,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']",0.142857143
100,7,11,sound,6,6,1.5,19.2680484,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",1
100,8,7,sound,6,6,1.5,16.8815849,0.05,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond', 'Diamond']",1
100,9,3,sound,5,1,1.5,15.4065812,0.05,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",0.2
100,10,12,sound,6,6,1.5,18.1734781,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,11,5,sound,5,5,1.5,14.9312441,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond']",1
100,12,17,sound,7,4,1.5,20.8253281,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']",0.571428571
100,13,8,sound,6,6,1.5,17.9186858,0.05,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
100,14,1,sound,5,5,1.5,14.7964612,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']",1
100,15,15,sound,7,5,1.5,19.0746553,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",0.714285714
100,16,14,sound,7,2,1.5,19.552295,0.05,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Diamond', 'Circle']",0.285714286
100,17,4,sound,5,3,1.5,15.7737101,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']",0.6
100,18,13,sound,7,5,1.5,20.7477725,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon']",0.714285714
100,1,14,random,7,7,1.5,20.0059342,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,2,13,random,7,7,1.5,18.963093,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']",1
100,3,17,random,7,5,1.5,20.4887528,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",0.714285714
100,4,10,random,6,6,1.5,16.1430009,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",1
100,5,16,random,7,7,1.5,19.3800015,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Pentagon']",1
100,6,7,random,6,6,1.5,16.5297685,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",1
100,7,1,random,5,4,1.5,15.5837353,0.05,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']",0.8
100,8,8,random,6,3,1.5,16.7658125,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",0.5
100,9,15,random,7,7,1.5,19.4198274,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",1
100,10,3,random,5,5,1.5,14.8333054,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",1
100,11,18,random,7,5,1.5,21.1026042,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']",0.714285714
100,12,9,random,6,6,1.5,16.8048417,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",1
100,13,11,random,6,5,1.5,16.034807,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon']",0.833333333
100,14,6,random,5,5,1.5,14.6725366,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
100,15,2,random,5,5,1.5,15.2308227,0.05,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']",1
100,16,5,random,5,5,1.5,14.4840608,0.05,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']",1
