IDs,age,ageDifference,gender,genderDifference,issue,opinionFirst_1,opinionFirst_2,opinionFirst_3,opinionFirst_4,opinionFirst_5,opinionSecond_1,opinionSecond_2,opinionSecond_3,opinionSecond_4,opinionSecond_5,fullLiking_1,fullLiking_2,fullLiking_3,fullLiking_4,fullLiking_5,liking,similarity
6603,53,-1,0,0,0,1,-1,1,-1,1,-1,1,1,-1,1,5,4,5,5,5,4.5,3
6604,54,NaN,1,NaN,0,-1,-1,1,-1,-1,-1,1,1,1,1,4,3,3,4,2,3,2
4741,26,-5,0,0,1,0,1,-1,1,0,1,1,1,-1,0,5,5,5,5,5,5,1
4694,23,NaN,1,NaN,1,0,1,1,-1,0,1,0,-1,-1,1,5,5,5,5,3,5,1
6637,18,25,1,1,0,1,1,-1,1,-1,1,-1,1,-1,-1,5,5,4,5,4,4.5,2
4709,42,-16,0,0,1,1,0,1,-1,-1,-1,1,1,-1,0,5,4,5,5,5,4.5,2
6638,39,NaN,1,NaN,0,-1,-1,-1,1,-1,1,0,-1,1,1,4,2,3,4,4,2.5,2
6639,39,NaN,0,NaN,0,0,1,0,0,-1,-1,1,1,-1,-1,5,4,4,5,4,4,2
4720,40,NaN,0,NaN,1,-1,-1,0,1,1,0,0,1,0,0,5,3,3,5,2,3,0
6640,21,NaN,1,NaN,0,0,1,1,1,1,-1,1,1,-1,-1,5,5,5,5,4,5,2
4594,44,-21,1,1,1,1,1,1,1,0,0,1,-1,-1,0,5,4,5,4,4,4.5,1
4736,38,-16,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,5,5,5,5,3,5,5
6676,20,15,0,1,0,-1,1,-1,0,0,-1,1,1,1,-1,5,4,4,5,1,4,2
4701,24,-1,1,0,1,0,1,1,-1,-1,1,1,-1,-1,0,5,4,4,5,3,4,2
4700,30,NaN,0,NaN,1,1,-1,-1,-1,1,1,0,-1,-1,1,4,3,4,5,2,3.5,4
4711,29,-9,0,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,3,4,4,3,1,4,4
4709,26,16,1,0,1,-1,1,1,-1,0,1,0,1,-1,-1,5,4,4,5,2,4,2
4750,29,-6,0,0,1,1,1,-1,-1,1,1,1,1,-1,0,5,4,4,4,4,4,3
4679,29,13,0,0,1,0,0,-1,-1,0,-1,0,1,1,0,4,2,3,4,3,2.5,0
4702,27,-2,1,0,1,1,1,-1,-1,-1,-1,0,-1,1,1,3,3,3,4,2,3,1
