IDs,age,ageDifference,gender,genderDifference,fullLiking_1,fullLiking_2,fullLiking_3,fullLiking_4,fullLiking_5,liking,similarity,positionFirst,positionSecond,distance,orientationFirst,orientationSecond,extremityFirst,extremitySecond,deltaExtremity,consistencyFirst,consistencySecond,certaintyFirst,certaintySecond,deltaCertainty
393,38,-5,0,0,4,4,4,4,3,4,1,-1,3,4,-1,1,1,3,-2,-1,-3,5,5,0
501,33,2,1,1,5,4,4,4,4,4,3,4,3,1,1,1,4,3,1,4,3,4,5,-1
558,25,NaN,2,NaN,5,4,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,58,-19,0,0,5,5,5,5,3,5,3,0,2,2,0,1,0,2,-2,0,0,4,4,0
348,36,-9,1,0,5,4,4,4,4,4,3,-1,-1,0,-1,-1,1,1,0,1,1,5,5,0
345,20,45,1,1,5,4,4,4,4,4,1,2,2,0,1,1,2,2,0,2,2,4,2,2
349,34,-6,1,1,5,4,4,4,3,4,3,1,2,1,1,1,1,2,-1,1,2,3,4,-1
341,51,-7,1,0,5,4,5,5,4,5,4,1,-1,2,1,-1,1,1,0,-1,-1,5,5,0
401,52,-31,1,1,5,5,5,5,5,5,2,3,2,1,1,1,3,2,1,3,2,5,4,1
400,47,9,0,0,5,5,5,5,3,5,1,-1,3,4,-1,1,1,3,-2,-1,-3,5,5,0
450,33,3,1,1,4,4,4,5,3,4,3,2,4,2,1,1,2,4,-2,2,4,4,4,0
515,24,1,0,1,5,4,4,5,1,4,2,-1,1,2,-1,1,1,1,0,-1,-1,5,5,0
572,45,-25,1,0,5,4,4,5,4,4,1,-2,-2,0,-1,-1,2,2,0,2,2,4,4,0
565,46,11,1,0,5,5,5,5,1,5,5,-1,-1,0,-1,-1,1,1,0,1,1,5,5,0
441,49,-14,1,0,4,5,5,4,4,5,5,3,3,0,1,1,3,3,0,3,3,5,5,0
517,43,-17,1,1,5,5,5,5,5,5,4,1,3,2,1,1,1,3,-2,1,3,5,5,0
569,46,-25,1,1,5,5,5,5,3,5,0,-2,3,5,-1,1,2,3,-1,-2,-3,4,5,-1
476,43,-27,1,1,5,5,5,5,4,5,3,-2,0,2,-1,0,2,0,2,0,-0,4,4,0
138,41,-13,1,1,5,5,5,5,5,5,2,0,4,4,0,1,0,4,-4,0,0,4,4,0
121,16,35,0,0,4,3,4,3,1,4,3,-1,3,4,-1,1,1,3,-2,-1,-3,5,5,0
118,46,2,1,0,5,4,4,5,2,4,2,1,2,1,1,1,1,2,-1,1,2,5,4,1
165,40,19,1,1,5,4,5,5,3,5,4,-1,0,1,-1,0,1,0,1,0,-0,5,4,1
139,42,-6,1,1,4,2,2,4,3,2,1,-2,4,6,-1,1,2,4,-2,-2,-4,4,4,0
137,44,-2,0,0,5,5,5,5,3,5,3,1,1,0,1,1,1,1,0,1,1,5,5,0
99,44,NaN,1,NaN,5,5,5,5,4,5,2,1,2,1,1,1,1,2,-1,1,2,5,4,1
120,46,6,0,0,5,4,4,4,4,4,2,1,3,2,1,1,1,3,-2,1,3,5,5,0
119,48,-27,0,0,5,4,4,5,4,4,4,-1,1,2,-1,1,1,1,0,-1,-1,5,5,0
121,51,-35,1,0,5,4,4,4,3,4,2,1,3,2,1,1,1,3,-2,1,3,5,5,0
98,43,-16,1,1,4,3,4,5,3,4,4,3,1,2,1,1,3,1,2,3,1,5,5,0
97,46,-11,0,0,5,5,5,5,5,5,3,5,1,4,1,1,5,1,4,5,1,5,5,0
50,47,-11,0,0,5,5,5,5,5,5,3,5,1,4,1,1,5,1,4,5,1,5,5,0
52,43,-8,0,0,5,5,5,5,5,5,3,-1,2,3,-1,1,1,2,-1,-1,-2,5,4,1
48,31,19,0,1,4,4,4,4,1,4,4,1,-1,2,1,-1,1,1,0,-1,-1,5,5,0
56,49,NaN,0,NaN,5,5,5,5,5,5,4,3,1,2,1,1,3,1,2,3,1,5,5,0
57,47,0,0,1,5,5,5,5,4,5,2,5,0,5,1,0,5,0,5,0,0,5,4,1
59,39,30,1,1,5,5,5,5,3,5,3,-1,1,2,-1,1,1,1,0,-1,-1,3,5,-2
363,50,-2,1,1,5,5,5,5,5,5,1,-1,3,4,-1,1,1,3,-2,-1,-3,5,3,2
375,31,12,0,0,5,5,5,5,4,5,2,1,5,4,1,1,1,5,-4,1,5,3,5,-2
376,42,-8,1,0,5,5,5,5,4,5,2,1,4,3,1,1,1,4,-3,1,4,5,4,1
15,23,21,1,1,5,5,5,5,3,5,5,3,3,0,1,1,3,3,0,3,3,5,5,0
17,51,-7,1,1,4,3,3,5,1,3,4,3,5,2,1,1,3,5,-2,3,5,5,5,0
384,31,19,1,0,4,4,4,4,2,4,2,-1,3,4,-1,1,1,3,-2,-1,-3,3,5,-2
523,41,NaN,0,NaN,5,5,5,5,4,5,4,-1,1,2,-1,1,1,1,0,-1,-1,5,5,0
493,48,-22,0,1,5,5,5,5,1,5,2,-3,3,6,-1,1,3,3,0,-3,-3,5,5,0
495,46,-14,1,0,5,4,4,4,3,4,1,1,1,0,1,1,1,1,0,1,1,5,5,0
384,50,-19,0,0,5,5,5,5,5,5,2,3,-1,4,1,-1,3,1,2,-3,-1,5,3,2
391,30,NaN,0,NaN,4,4,4,4,1,4,3,-2,1,3,-1,1,2,1,1,-2,-1,4,5,-1
45,30,16,1,0,5,4,4,5,4,4,1,0,3,3,0,1,0,3,-3,0,0,4,5,-1
630,36,5,0,1,5,5,4,5,5,4,2,5,-1,6,1,-1,5,1,4,-5,-1,5,5,0
630,41,-5,0,1,5,5,5,5,5,5,2,-1,5,6,-1,1,1,5,-4,-1,-5,5,5,0
361,40,-13,1,0,5,5,5,5,5,5,2,-3,2,5,-1,1,3,2,1,-3,-2,5,4,1
361,27,13,0,0,5,4,5,5,3,5,3,2,-1,3,1,-1,2,1,1,-2,-1,4,5,-1
352,43,NaN,1,NaN,5,5,5,5,4,5,3,1,5,4,1,1,1,5,-4,1,5,5,5,0
336,45,-8,0,0,5,5,5,5,4,5,4,5,3,2,1,1,5,3,2,5,3,5,5,0
35,40,NaN,1,NaN,5,5,5,5,5,5,4,5,3,2,1,1,5,3,2,5,3,5,5,0
