,Gender,Age,Race,Ideo,PartyID,Religiousity,SES,Residency_1,Residency_2,Income,PS,feeling,voting,eval
1,2,20,4,2,2,6,4,1,24,5,1,97,100,985
2,2,20,4,2,2,2,2,1,24,2,1,90,91,905
3,1,18,4,4,5,7,4,1,51,10,4,44,40,42
4,1,21,3,4,4,3,3,1,24,3,3,61,41,51
5,2,27,4,1,1,1,4,1,24,8,2,0,20,10
6,2,19,1,4,3,8,3,1,24,2,3,49,83,66
7,2,20,4,5,6,7,5,1,24,10,1,34,18,26
8,2,19,4,2,2,2,3,1,24,6,2,50,25,375
9,2,19,3,5,5,8,4,1,24,8,1,69,69,69
10,2,18,4,5,6,7,4,1,24,8,2,29,17,23
11,1,26,3,1,2,2,4,1,24,8,4,69,43,56
12,2,18,4,2,2,5,3,1,24,8,3,90,90,90
13,2,20,"4,6",6,7,6,5,1,24,10,4,100,100,100
14,2,18,4,1,1,1,5,1,24,10,2,0,0,0
15,1,36,4,1,2,2,2,1,24,3,4,10,0,5
16,3,18,4,3,4,1,3,1,51,10,1,80,78,79
17,2,19,3,1,2,1,3,1,24,6,2,0,0,0
18,2,20,4,3,2,8,3,1,24,5,3,,55,
19,2,19,1,2,3,6,3,1,24,5,1,75,80,775
20,2,20,4,5,5,8,4,1,24,6,4,45,45,45
21,2,21,4,4,4,1,4,1,24,10,2,50,61,555
22,2,21,4,4,4,1,4,1,24,10,3,51,55,53
23,2,20,4,2,2,1,3,1,24,1,1,96,100,98
24,2,18,3,2,5,7,3,1,24,8,4,10,2,6
25,2,19,4,2,3,6,3,1,24,6,2,81,82,815
26,2,19,4,5,6,6,4,1,24,9,4,81,80,805
27,2,18,4,5,5,5,4,1,24,9,3,60,70,65
28,2,20,"4,5",6,6,8,4,1,24,10,1,10,1,55
29,2,18,4,3,2,3,4,1,24,10,1,82,92,87
30,1,21,4,5,5,6,4,1,24,8,3,73,77,75
31,2,19,3,2,2,1,4,1,24,8,4,30,15,225
32,1,18,3,7,7,1,3,1,24,2,2,53,54,535
33,2,20,3,2,2,5,4,1,24,10,3,69,50,595
34,2,19,4,2,2,1,4,1,24,10,2,31,21,26
35,2,20,3,2,2,5,2,1,24,,1,85,85,85
36,1,19,4,1,1,2,4,1,24,10,4,10,0,5
37,2,17,4,6,5,4,4,1,24,10,4,95,100,975
38,2,18,4,2,4,2,4,1,24,5,2,40,40,40
39,2,21,4,3,4,1,3,1,24,6,3,65,45,55
40,2,18,4,5,4,9,3,1,24,10,2,80,70,75
41,1,21,4,3,3,2,3,1,24,5,1,71,72,715
42,1,19,3,5,5,8,3,1,24,10,4,66,65,655
43,1,21,4,5,5,1,3,1,24,9,3,35,10,225
44,2,18,4,4,2,7,4,1,24,9,4,1,0,5
45,2,19,4,5,5,7,4,1,24,10,1,43,40,415
46,2,19,4,5,6,4,3,1,24,6,1,63,56,595
47,1,20,4,1,1,1,4,1,24,10,3,95,64,795
48,2,20,4,4,5,3,3,1,24,8,2,50,30,40
49,2,19,4,2,2,2,4,1,24,10,4,25,10,175
50,2,18,4,4,5,6,3,1,24,7,2,71,55,63
51,1,21,4,6,6,7,5,1,24,10,3,84,89,865
52,1,18,4,2,2,2,4,1,51,10,1,90,97,935
53,2,18,1,2,2,6,2,1,24,3,3,90,90,90
54,1,21,4,7,7,8,4,1,24,10,4,50,50,50
55,2,21,6,4,3,8,3,1,24,3,2,5,5,5
56,2,20,3,3,4,2,3,1,24,4,1,81,67,74
57,1,18,3,2,2,4,1,1,24,1,4,25,25,25
58,2,19,3,2,2,1,2,1,24,3,1,90,90,90
59,1,22,4,4,4,6,4,1,24,5,2,60,70,65
60,2,20,4,4,4,3,3,1,24,6,3,68,58,63
61,2,20,3,2,2,7,3,1,24,8,2,19,19,19
62,2,19,4,3,3,3,4,1,51,9,4,34,8,21
