id,draw,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score
1,-1,yes,0.377777777777778,0.311111111111111,0.311111111111111,,0.255555555555556,0.388888888888889,0.355555555555556,,1093,1451,1067.5,,0.545454545454545,0.8,0.875,,-44
2,-1,yes,0.422222222222222,0.333333333333333,0.244444444444444,,0.333333333333333,0.311111111111111,0.355555555555556,,325.5,184,267,,0.533333333333333,0.703703703703704,0.6875,,-30
3,-1,yes,0.244444444444444,0.333333333333333,0.422222222222222,,0.333333333333333,0.355555555555556,0.311111111111111,,350,450.5,534,,0.551724137931034,0.59375,0.464285714285714,,-30
4,-1,yes,0.388888888888889,0.3,0.311111111111111,,0.311111111111111,0.355555555555556,0.333333333333333,,817.5,367,517,,0.142857142857143,0.9375,0.896551724137931,,-34
5,-1,yes,0.388888888888889,0.233333333333333,0.377777777777778,,0.377777777777778,0.388888888888889,0.233333333333333,,1234.5,334,901,,0.676470588235294,0.8,0.75,,-22
6,-1,yes,0.3,0.366666666666667,0.333333333333333,,0.377777777777778,0.311111111111111,0.311111111111111,,334,300,400,,0.205882352941176,0.821428571428571,0.962962962962963,,-22
7,-1,yes,0.377777777777778,0.3,0.322222222222222,,0.311111111111111,0.4,0.288888888888889,,217,225.5,184,,0.285714285714286,0.722222222222222,0.64,,-34
8,-1,yes,0.3,0.333333333333333,0.366666666666667,,0.277777777777778,0.411111111111111,0.311111111111111,,184,250,117,,0.52,0.864864864864865,0.851851851851852,,-40
9,-1,yes,0.411111111111111,0.344444444444444,0.244444444444444,,0.266666666666667,0.433333333333333,0.3,,834,709,834,,0.291666666666667,0.894736842105263,0.925925925925926,,-42
10,-1,yes,0.211111111111111,0.433333333333333,0.355555555555556,,0.266666666666667,0.355555555555556,0.377777777777778,,450.5,425.5,818,,0.458333333333333,0.46875,0.727272727272727,,-42
11,-1,yes,0.322222222222222,0.344444444444444,0.333333333333333,,0.433333333333333,0.288888888888889,0.277777777777778,,284,200,350,,0,1,0.96,,-12
12,-1,yes,0.366666666666667,0.322222222222222,0.311111111111111,,0.388888888888889,0.277777777777778,0.333333333333333,,384,150,317,,0.4,0.64,0.655172413793103,,-20
13,-1,yes,0.288888888888889,0.266666666666667,0.444444444444444,,0.311111111111111,0.322222222222222,0.366666666666667,,467,250,417,,0.357142857142857,0.689655172413793,0.8125,,-34
14,-1,yes,0.344444444444444,0.344444444444444,0.311111111111111,,0.288888888888889,0.488888888888889,0.222222222222222,,258.5,267,167,,0.423076923076923,0.75,0.894736842105263,,-38
15,-1,yes,0.5,0.3,0.2,,0.288888888888889,0.355555555555556,0.355555555555556,,83,134,134,,0.461538461538462,0.6875,0.580645161290323,,-38
16,-1,yes,0.388888888888889,0.3,0.311111111111111,,0.411111111111111,0.288888888888889,0.3,,417,250,317,,0.459459459459459,1,0.962962962962963,,-16
17,-1,yes,0.388888888888889,0.233333333333333,0.377777777777778,,0.388888888888889,0.266666666666667,0.344444444444444,,2010.5,358.5,901,,0.176470588235294,0.5,0.548387096774194,,-20
18,-1,yes,0.377777777777778,0.344444444444444,0.277777777777778,,0.355555555555556,0.322222222222222,0.322222222222222,,434,350,367,,0.3125,0.896551724137931,0.821428571428571,,-26
19,-1,yes,0.277777777777778,0.277777777777778,0.444444444444444,,0.366666666666667,0.366666666666667,0.266666666666667,,217,284,284,,0.545454545454545,0.575757575757576,0.434782608695652,,-24
20,-1,yes,0.3,0.344444444444444,0.355555555555556,,0.333333333333333,0.344444444444444,0.322222222222222,,650.5,584,801,,0.266666666666667,0.7,0.827586206896552,,-30
21,-1,yes,0.355555555555556,0.333333333333333,0.311111111111111,,0.311111111111111,0.255555555555556,0.433333333333333,,559,400,684,,0.178571428571429,0.521739130434783,0.921052631578947,,-34
22,-1,yes,0.344444444444444,0.255555555555556,0.4,,0.266666666666667,0.377777777777778,0.355555555555556,,1651.5,384,442,,0.25,0.696969696969697,0.53125,,-42
23,-1,yes,0.3,0.311111111111111,0.388888888888889,,0.3,0.344444444444444,0.355555555555556,,217,167,233.5,,0.222222222222222,0.8,0.875,,-36
24,-1,yes,0.344444444444444,0.277777777777778,0.377777777777778,,0.3,0.4,0.3,,1193,801,767,,0.769230769230769,0.611111111111111,0.222222222222222,,-36
25,-1,yes,0.244444444444444,0.288888888888889,0.466666666666667,,0.344444444444444,0.322222222222222,0.333333333333333,,409,250,325.5,,0.4,0.724137931034483,0.466666666666667,,-28
26,-1,yes,0.377777777777778,0.266666666666667,0.355555555555556,,0.3,0.355555555555556,0.344444444444444,,233.5,133.5,167,,0.346153846153846,0.625,0.548387096774194,,-36
27,-1,yes,0.366666666666667,0.3,0.333333333333333,,0.255555555555556,0.388888888888889,0.355555555555556,,459,284,267,,0.5,0.971428571428571,0.84375,,-44
28,-1,yes,0.3,0.344444444444444,0.355555555555556,,0.366666666666667,0.344444444444444,0.288888888888889,,342,384,450.5,,0.40625,0.870967741935484,0.769230769230769,,-24
29,-1,yes,0.1,0.477777777777778,0.422222222222222,,0.322222222222222,0.3,0.377777777777778,,267,258.5,233.5,,0.724137931034483,0.346153846153846,0.441176470588235,,-32
30,-1,yes,0.3,0.244444444444444,0.455555555555556,,0.322222222222222,0.333333333333333,0.344444444444444,,592.5,459,501,,0.321428571428571,0.733333333333333,0.580645161290323,,-32
31,-1,yes,0.188888888888889,0.522222222222222,0.288888888888889,,0.344444444444444,0.344444444444444,0.311111111111111,,559,534,484,,0.266666666666667,0.580645161290323,0.714285714285714,,-28
32,-1,yes,0.3,0.5,0.2,,0.366666666666667,0.366666666666667,0.266666666666667,,701,534,634,,0.454545454545455,0.606060606060606,0.695652173913043,,-24
33,-1,yes,0.477777777777778,0.244444444444444,0.277777777777778,,0.366666666666667,0.333333333333333,0.3,,150,250,284,,0.121212121212121,0.793103448275862,0.740740740740741,,-24
34,-1,yes,0.311111111111111,0.288888888888889,0.4,,0.277777777777778,0.355555555555556,0.366666666666667,,300,250,284,,0.52,0.90625,0.96875,,-40
35,-1,yes,0.344444444444444,0.3,0.355555555555556,,0.366666666666667,0.288888888888889,0.344444444444444,,108.5,267,184,,0.375,0.653846153846154,0.774193548387097,,-24
36,-1,yes,0.344444444444444,0.355555555555556,0.3,,0.422222222222222,0.266666666666667,0.311111111111111,,851,492.5,751,,0.0526315789473684,0.875,0.851851851851852,,-14
1,1,yes,0.222222222222222,0.488888888888889,0.288888888888889,,0.4,0.333333333333333,0.266666666666667,,667,725.5,976,,0.428571428571429,0.433333333333333,0.416666666666667,,30
2,1,yes,0.3,0.388888888888889,0.311111111111111,,0.377777777777778,0.3,0.322222222222222,,225.5,250,284,,0.117647058823529,0.769230769230769,0.724137931034483,,36
3,1,yes,0.322222222222222,0.311111111111111,0.366666666666667,,0.255555555555556,0.411111111111111,0.333333333333333,,584,659,425.5,,0.652173913043478,0.611111111111111,0.6,,16
4,1,yes,0.322222222222222,0.344444444444444,0.333333333333333,,0.366666666666667,0.322222222222222,0.311111111111111,,1026,534,550.5,,0.03125,0.724137931034483,0.857142857142857,,32
5,1,yes,0.344444444444444,0.288888888888889,0.366666666666667,,0.366666666666667,0.277777777777778,0.355555555555556,,634,384,492.5,,0.272727272727273,0.958333333333333,0.65625,,40
6,1,yes,0.288888888888889,0.355555555555556,0.355555555555556,,0.388888888888889,0.255555555555556,0.355555555555556,,217,300,325.5,,0.205882352941176,0.826086956521739,0.90625,,44
7,1,yes,0.311111111111111,0.255555555555556,0.433333333333333,,0.288888888888889,0.3,0.411111111111111,,284,242,234,,0.538461538461538,0.423076923076923,0.621621621621622,,36
8,1,yes,0.244444444444444,0.466666666666667,0.288888888888889,,0.377777777777778,0.333333333333333,0.288888888888889,,142,250,284,,0.735294117647059,0.8,0.64,,30
9,1,yes,0.377777777777778,0.366666666666667,0.255555555555556,,0.366666666666667,0.422222222222222,0.211111111111111,,534,601,417,,0.333333333333333,0.864864864864865,0.842105263157895,,14
10,1,yes,0.322222222222222,0.344444444444444,0.333333333333333,,0.4,0.288888888888889,0.311111111111111,,492,367,834,,0.0833333333333333,0.8,0.928571428571429,,38
11,1,yes,0.3,0.377777777777778,0.322222222222222,,0.355555555555556,0.366666666666667,0.277777777777778,,217,267,267,,0.0967741935483871,0.939393939393939,0.96,,24
12,1,yes,0.244444444444444,0.188888888888889,0.566666666666667,,0.355555555555556,0.3,0.344444444444444,,250,117,250,,0.548387096774194,0.407407407407407,0.645161290322581,,36
13,1,yes,0.322222222222222,0.333333333333333,0.344444444444444,,0.366666666666667,0.377777777777778,0.255555555555556,,1084,517.5,484,,0.424242424242424,0.588235294117647,0.727272727272727,,22
14,1,yes,0.222222222222222,0.355555555555556,0.422222222222222,,0.4,0.333333333333333,0.266666666666667,,167,150.5,83,,0.228571428571429,0.766666666666667,0.791666666666667,,30
15,1,yes,0.344444444444444,0.388888888888889,0.266666666666667,,0.355555555555556,0.3,0.344444444444444,,133.5,134,142,,0.375,0.814814814814815,0.666666666666667,,36
16,1,yes,0.3,0.388888888888889,0.311111111111111,,0.411111111111111,0.333333333333333,0.255555555555556,,267,225,284,,0.722222222222222,1,0.478260869565217,,30
17,1,yes,0.566666666666667,0.0222222222222222,0.411111111111111,,0.355555555555556,0.344444444444444,0.3,,625.5,400,425.5,,0.84375,0.67741935483871,0.269230769230769,,28
18,1,yes,0.577777777777778,0.211111111111111,0.211111111111111,,0.344444444444444,0.377777777777778,0.277777777777778,,334,225.5,308.5,,0.516129032258065,0.852941176470588,0.375,,22
19,1,yes,0.3,0.255555555555556,0.444444444444444,,0.433333333333333,0.288888888888889,0.277777777777778,,292,258.5,267,,0.578947368421053,0.923076923076923,0.52,,38
20,1,yes,0.3,0.388888888888889,0.311111111111111,,0.333333333333333,0.322222222222222,0.344444444444444,,450,317,417,,0.0344827586206897,0.931034482758621,0.967741935483871,,32
21,1,yes,0.322222222222222,0.344444444444444,0.333333333333333,,0.377777777777778,0.266666666666667,0.355555555555556,,976,484,801,,0,0,1,,42
22,1,yes,0.511111111111111,0.266666666666667,0.222222222222222,,0.344444444444444,0.3,0.355555555555556,,100,117,100,,0.838709677419355,0.518518518518518,0.354838709677419,,36
23,1,yes,0.222222222222222,0.355555555555556,0.422222222222222,,0.333333333333333,0.266666666666667,0.4,,209,133.5,284,,0.666666666666667,0.583333333333333,0.428571428571429,,42
24,1,yes,0.388888888888889,0.277777777777778,0.333333333333333,,0.355555555555556,0.277777777777778,0.366666666666667,,834,1885,417,,0.806451612903226,0.88,0.363636363636364,,40
25,1,yes,0.366666666666667,0.388888888888889,0.244444444444444,,0.288888888888889,0.411111111111111,0.3,,867.5,551,500.5,,0.5,0.864864864864865,0.384615384615385,,16
26,1,yes,0.355555555555556,0.255555555555556,0.388888888888889,,0.344444444444444,0.377777777777778,0.277777777777778,,158.5,91.5,150,,0.566666666666667,0.470588235294118,0.6,,22
27,1,yes,0.4,0.244444444444444,0.355555555555556,,0.411111111111111,0.255555555555556,0.333333333333333,,767,283.5,459,,0.27027027027027,0.954545454545455,0.8,,44
28,1,yes,0.4,0.255555555555556,0.344444444444444,,0.288888888888889,0.344444444444444,0.366666666666667,,325.5,184,334,,0.5,0.933333333333333,0.606060606060606,,28
29,1,yes,0.377777777777778,0.411111111111111,0.211111111111111,,0.255555555555556,0.355555555555556,0.388888888888889,,667,451,634,,0.565217391304348,0.580645161290323,0.457142857142857,,26
30,1,yes,0.255555555555556,0.255555555555556,0.488888888888889,,0.344444444444444,0.344444444444444,0.311111111111111,,667,701,684,,0.354838709677419,0.774193548387097,0.555555555555556,,28
31,1,yes,0.188888888888889,0.477777777777778,0.333333333333333,,0.4,0.288888888888889,0.311111111111111,,651,725.5,750.5,,0.4,0.730769230769231,0.464285714285714,,38
32,1,yes,0.366666666666667,0.433333333333333,0.2,,0.366666666666667,0.366666666666667,0.266666666666667,,384,300,358.5,,0.575757575757576,0.65625,0.5,,24
33,1,yes,0.433333333333333,0.322222222222222,0.244444444444444,,0.322222222222222,0.344444444444444,0.333333333333333,,484,317,317,,0.241379310344828,0.766666666666667,0.666666666666667,,28
34,1,yes,0.244444444444444,0.355555555555556,0.4,,0.322222222222222,0.366666666666667,0.311111111111111,,234,142,250.5,,0.344827586206897,0.84375,0.821428571428571,,24
35,1,yes,0.266666666666667,0.311111111111111,0.422222222222222,,0.388888888888889,0.266666666666667,0.344444444444444,,117,150,200,,0.314285714285714,0.826086956521739,0.838709677419355,,42
36,1,yes,0.366666666666667,0.3,0.333333333333333,,0.277777777777778,0.411111111111111,0.311111111111111,,984,867.5,842.5,,0.24,0.944444444444444,0.75,,16
1,-1,no,0.177777777777778,0.455555555555556,0.366666666666667,,0.333333333333333,0.277777777777778,0.388888888888889,,717,384,467,,0.724137931034483,0.6,0.542857142857143,,-30
2,-1,no,0.644444444444444,0.133333333333333,0.222222222222222,,0.244444444444444,0.333333333333333,0.422222222222222,,250.5,317,350,,0.590909090909091,0.689655172413793,0.526315789473684,,-46
3,-1,no,0.388888888888889,0.277777777777778,0.333333333333333,,0.377777777777778,0.333333333333333,0.288888888888889,,492.5,968,475.5,,0.352941176470588,0.655172413793103,0.538461538461539,,-22
4,-1,no,0.366666666666667,0.344444444444444,0.288888888888889,,0.3,0.311111111111111,0.388888888888889,,701,408.5,450.5,,0.0740740740740741,0.821428571428571,0.970588235294118,,-36
5,-1,no,0.366666666666667,0.355555555555556,0.277777777777778,,0.355555555555556,0.344444444444444,0.3,,359,258.5,284,,0.46875,0.8,0.703703703703704,,-26
6,-1,no,0.333333333333333,0.444444444444444,0.222222222222222,,0.266666666666667,0.411111111111111,0.322222222222222,,300,234,300,,0.130434782608696,0.864864864864865,0.827586206896552,,-42
7,-1,no,0.5,0.311111111111111,0.188888888888889,,0.366666666666667,0.244444444444444,0.388888888888889,,234,267,300.5,,0.424242424242424,0.636363636363636,0.735294117647059,,-24
8,-1,no,0.277777777777778,0.411111111111111,0.311111111111111,,0.277777777777778,0.411111111111111,0.311111111111111,,284,342,300.5,,0.52,0.833333333333333,0.75,,-40
9,-1,no,0.366666666666667,0.3,0.333333333333333,,0.355555555555556,0.322222222222222,0.322222222222222,,767.5,684,626,,0.78125,0.96551724137931,0.964285714285714,,-26
10,-1,no,0.277777777777778,0.311111111111111,0.411111111111111,,0.244444444444444,0.377777777777778,0.377777777777778,,534,500.5,492.5,,0.333333333333333,0.764705882352941,0.588235294117647,,-46
