id,win,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score,
1,lose,yes,0.588888888888889,0.388888888888889,0.0222222222222222,,0.366666666666667,0.266666666666667,0.366666666666667,,467,275.5,1201,,0.545454545454545,0.916666666666667,0.625,,-15,
2,lose,yes,0.388888888888889,0.255555555555556,0.355555555555556,,0.433333333333333,0.233333333333333,0.333333333333333,,442.5,417,334,,0.342105263157895,0.904761904761905,0.666666666666667,,-3,
3,lose,yes,0.288888888888889,0.377777777777778,0.333333333333333,,0.311111111111111,0.333333333333333,0.355555555555556,,784.5,742.5,617,,0.428571428571429,0.466666666666667,0.419354838709677,,-32,
4,lose,yes,0.366666666666667,0.233333333333333,0.4,,0.411111111111111,0.211111111111111,0.377777777777778,,484,325.5,667,,0.432432432432432,0.944444444444444,0.882352941176471,,-1,
5,lose,yes,0.311111111111111,0.311111111111111,0.377777777777778,,0.377777777777778,0.344444444444444,0.277777777777778,,943,825.5,784,,0.0588235294117647,0.866666666666667,0.68,,-28,
6,lose,yes,0.388888888888889,0.255555555555556,0.355555555555556,,0.344444444444444,0.344444444444444,0.311111111111111,,1101,367,634,,0.258064516129032,0.933333333333333,0.75,,-31,
7,lose,yes,0.4,0.344444444444444,0.255555555555556,,0.322222222222222,0.333333333333333,0.344444444444444,,400,384,434,,0.413793103448276,0.827586206896552,0.741935483870968,,-31,
8,lose,yes,0.477777777777778,0.166666666666667,0.355555555555556,,0.333333333333333,0.322222222222222,0.344444444444444,,2135.5,934,734,,0.4,0.758620689655172,0.633333333333333,,-28,
9,lose,yes,0.333333333333333,0.355555555555556,0.311111111111111,,0.355555555555556,0.311111111111111,0.333333333333333,,358.5,400,375.5,,0.25,1,0.833333333333333,,-24,
10,lose,yes,0.277777777777778,0.355555555555556,0.366666666666667,,0.433333333333333,0.277777777777778,0.288888888888889,,2419,2469,1735,,0.0526315789473684,0.88,0.923076923076923,,-11,
11,lose,yes,0.422222222222222,0.322222222222222,0.255555555555556,,0.211111111111111,0.377777777777778,0.411111111111111,,751,383.5,325.5,,0.789473684210526,0.852941176470588,0.583333333333333,,-49,
12,lose,yes,0.288888888888889,0.4,0.311111111111111,,0.288888888888889,0.433333333333333,0.277777777777778,,158.5,167,217,,0.153846153846154,0.710526315789474,0.84,,-52,
13,lose,yes,0.322222222222222,0.411111111111111,0.266666666666667,,0.322222222222222,0.377777777777778,0.3,,567,517.5,467,,0.821428571428571,0.735294117647059,0.296296296296296,,-39,
14,lose,yes,0.344444444444444,0.433333333333333,0.222222222222222,,0.311111111111111,0.4,0.288888888888889,,651,559,350,,0.111111111111111,0.583333333333333,0.807692307692308,,-44,
15,lose,yes,1,0,0,,0.333333333333333,0.333333333333333,0.333333333333333,,734,358.5,434,,1,0,0,,-30,
16,lose,yes,0.344444444444444,0.322222222222222,0.333333333333333,,0.344444444444444,0.355555555555556,0.3,,142,134,134,,0,0.90625,0.925925925925926,,-33,
17,lose,yes,0.222222222222222,0.433333333333333,0.344444444444444,,0.344444444444444,0.388888888888889,0.266666666666667,,801,792.5,834.5,,0.967741935483871,0.852941176470588,0.5,,-39,
18,lose,yes,0.344444444444444,0.344444444444444,0.311111111111111,,0.433333333333333,0.333333333333333,0.233333333333333,,434,367,417,,0.210526315789474,0.833333333333333,0.952380952380952,,-21,
19,lose,yes,0.266666666666667,0.433333333333333,0.3,,0.366666666666667,0.366666666666667,0.266666666666667,,317,300,175.5,,0.34375,0.636363636363636,0.75,,-33,
20,lose,yes,0.255555555555556,0.333333333333333,0.411111111111111,,0.4,0.377777777777778,0.222222222222222,,217,225.5,234,,0.171428571428571,0.647058823529412,0.8,,-32,
21,lose,yes,0.477777777777778,0.311111111111111,0.211111111111111,,0.166666666666667,0.4,0.433333333333333,,192,284,334,,0.214285714285714,0.888888888888889,0.794871794871795,,-57,
22,lose,yes,0.3,0.388888888888889,0.311111111111111,,0.388888888888889,0.311111111111111,0.3,,208.5,325.5,217,,0.676470588235294,0.785714285714286,0.592592592592593,,-21,
23,lose,yes,0.311111111111111,0.3,0.388888888888889,,0.266666666666667,0.355555555555556,0.377777777777778,,659,367,451,,0.666666666666667,0.90625,0.666666666666667,,-40,
24,lose,yes,0.388888888888889,0.288888888888889,0.322222222222222,,0.244444444444444,0.344444444444444,0.411111111111111,,225.5,334,258.5,,0.5,0.870967741935484,0.777777777777778,,-40,
25,lose,yes,0.322222222222222,0.3,0.377777777777778,,0.311111111111111,0.355555555555556,0.333333333333333,,375,400.5,267,,0.75,0.65625,0.344827586206897,,-36,
26,lose,yes,0.355555555555556,0.333333333333333,0.311111111111111,,0.311111111111111,0.288888888888889,0.4,,384,467,275.5,,0.571428571428571,0.96,0.777777777777778,,-24,
27,lose,yes,0.277777777777778,0.422222222222222,0.3,,0.266666666666667,0.344444444444444,0.388888888888889,,1518,634,434,,0.208333333333333,0.933333333333333,0.885714285714286,,-38,
28,lose,yes,0.344444444444444,0.366666666666667,0.288888888888889,,0.322222222222222,0.377777777777778,0.3,,467,167,217,,0.172413793103448,0.666666666666667,0.703703703703704,,-39,
29,lose,yes,0.477777777777778,0.311111111111111,0.211111111111111,,0.344444444444444,0.311111111111111,0.344444444444444,,551,417,484,,0.483870967741935,0.703703703703704,0.67741935483871,,-25,
30,lose,yes,0.444444444444444,0.344444444444444,0.211111111111111,,0.344444444444444,0.344444444444444,0.311111111111111,,484,467,384,,0.741935483870968,0.806451612903226,0.518518518518518,,-31,
31,lose,yes,0.311111111111111,0.366666666666667,0.322222222222222,,0.366666666666667,0.288888888888889,0.344444444444444,,134,83.5,133.5,,0.757575757575758,0.807692307692308,0.566666666666667,,-19,
32,lose,yes,0.344444444444444,0.333333333333333,0.322222222222222,,0.377777777777778,0.333333333333333,0.288888888888889,,567,317,484,,0.606060606060606,1,0.730769230769231,,-26,
33,lose,yes,0.4,0.311111111111111,0.288888888888889,,0.255555555555556,0.433333333333333,0.311111111111111,,484,584,584,,0.478260869565217,0.692307692307692,0.481481481481481,,-55,
34,lose,yes,0.3,0.411111111111111,0.288888888888889,,0.333333333333333,0.377777777777778,0.288888888888889,,818,367,601,,0.137931034482759,0.647058823529412,0.692307692307692,,-38,
35,lose,yes,0.3,0.411111111111111,0.288888888888889,,0.366666666666667,0.344444444444444,0.288888888888889,,108.5,117,133.5,,0.125,0.838709677419355,0.769230769230769,,-29,
36,lose,yes,0.344444444444444,0.344444444444444,0.311111111111111,,0.255555555555556,0.388888888888889,0.355555555555556,,2452,701,567,,0.521739130434783,0.771428571428571,0.419354838709677,,-47,
1,win,yes,0.611111111111111,0.311111111111111,0.0777777777777778,,0.277777777777778,0.411111111111111,0.311111111111111,,667,317,526,,0.76,0.833333333333333,0.535714285714286,,13,
2,win,yes,0.4,0.233333333333333,0.366666666666667,,0.322222222222222,0.288888888888889,0.388888888888889,,717,675.5,384,,0.310344827586207,0.769230769230769,0.735294117647059,,32,
3,win,yes,0.388888888888889,0.411111111111111,0.2,,0.311111111111111,0.366666666666667,0.322222222222222,,767.5,792.5,751,,0.285714285714286,0.46875,0.379310344827586,,23,
4,win,yes,0.344444444444444,0.3,0.355555555555556,,0.388888888888889,0.277777777777778,0.333333333333333,,417,317,333.5,,0.294117647058824,0.88,0.733333333333333,,45,
5,win,yes,0.288888888888889,0.366666666666667,0.344444444444444,,0.311111111111111,0.322222222222222,0.366666666666667,,842.5,818,1151,,0.0357142857142857,1,0.4375,,27,
6,win,yes,0.388888888888889,0.266666666666667,0.344444444444444,,0.311111111111111,0.388888888888889,0.3,,1168,851,1435,,0.111111111111111,0.914285714285714,0.740740740740741,,21,
7,win,yes,0.455555555555556,0.322222222222222,0.222222222222222,,0.266666666666667,0.366666666666667,0.366666666666667,,308.5,150,225,,0.5,0.848484848484848,0.5625,,15,
8,win,yes,0.4,0.2,0.4,,0.3,0.366666666666667,0.333333333333333,,1768,434,567,,0.518518518518518,0.848484848484848,0.586206896551724,,21,
9,win,yes,0.355555555555556,0.344444444444444,0.3,,0.322222222222222,0.344444444444444,0.333333333333333,,284,342,334,,0.0344827586206897,0.966666666666667,0.766666666666667,,27,
10,win,yes,0.366666666666667,0.266666666666667,0.366666666666667,,0.322222222222222,0.355555555555556,0.322222222222222,,2219,1785,1668,,0,0.903225806451613,0.896551724137931,,26,
11,win,yes,0.222222222222222,0.422222222222222,0.355555555555556,,0.322222222222222,0.288888888888889,0.388888888888889,,584,300,275.5,,0.931034482758621,0.884615384615385,0.735294117647059,,32,
12,win,yes,0.266666666666667,0.277777777777778,0.455555555555556,,0.455555555555556,0.2,0.344444444444444,,275.5,192,167,,0.375,0.833333333333333,0.709677419354839,,64,
13,win,yes,0.422222222222222,0.377777777777778,0.2,,0.166666666666667,0.455555555555556,0.377777777777778,,434,267,150.5,,0.866666666666667,0.625,0.617647058823529,,-11,
