id,condition,rt_1,rt_2,rt_3,rt_4,rt_5,acc_1,acc_2,acc_3,acc_4,acc_5,intercept1_3,slope1_3,slope1_4
1,1,0.7117,0.7548,0.9772,1.1033,1.0689,0.9833,1.0000,1.0000,1.0000,1.0000,549.018333333334,132.760000000000,139.747500000000
2,1,0.6017,0.6844,0.7568,0.9514,0.9330,0.9333,0.9500,0.9667,0.9667,1.0000,525.883333333334,77.5575000000000,112.157000000000
3,1,0.6701,0.7426,0.8763,0.9758,0.8170,0.9833,0.9833,0.9667,0.9833,0.9667,556.730000000000,103.142500000000,105.089500000000
4,1,0.6461,0.6538,0.7251,0.9664,0.7474,0.9667,0.9667,0.9333,0.6500,0.9833,595.973333333334,39.4999999999999,103.216000000000
5,1,0.6793,0.7166,0.8658,0.9343,0.8335,1.0000,0.9500,0.9833,0.9833,1.0000,567.483333333334,93.2174999999998,91.3864999999999
6,1,0.7336,0.7933,0.9895,1.3867,1.5112,1.0000,1.0000,0.9833,0.9667,0.9667,582.963333333334,127.917500000000,215.540500000000
7,1,0.6226,0.7769,0.8329,1.0993,0.8617,0.9833,0.9833,0.9500,0.9333,0.9833,533.876666666667,105.125000000000,148.594500000000
8,1,0.5906,0.7542,0.8456,1.0538,0.9563,1.0000,0.9833,0.9833,0.9667,1.0000,475.146666666667,127.487500000000,148.092500000000
9,1,0.8624,0.9989,1.1708,1.3429,1.2196,1.0000,1.0000,0.9667,0.9500,1.0000,702.320000000000,154.187500000000,161.342500000000
10,1,1.1283,1.2405,1.3362,1.7115,1.9468,1.0000,1.0000,1.0000,1.0000,1.0000,1027.09666666667,103.947500000000,184.518000000000
11,1,0.5561,0.7217,0.7588,0.9795,0.8329,1.0000,0.9667,0.9833,0.9833,0.9500,476.151666666667,101.347500000000,130.741000000000
12,1,0.5159,0.6069,0.6975,0.9356,0.7418,1.0000,1.0000,1.0000,0.8500,1.0000,425.100000000000,90.8399999999999,134.979000000000
13,1,0.8605,0.9650,1.0640,1.3923,1.2871,0.9833,1.0000,0.9667,0.9833,0.9833,759.586666666667,101.797500000000,169.460500000000
