id,endoAtt_1,endoAtt_2,endoAttention_1,endoAttention_2,exoAtt_1,exoAtt_2,exoAttention_1,exoAttention_2
s03.mat',423.529411764706,458.823529411765,36,39,117.647058823529,200,10,17
s04.mat',394.117647058824,388.235294117647,33.5000000000000,33,82.3529411764706,141.176470588235,7,12
s05.mat',288.235294117647,329.411764705882,24.5000000000000,28,288.235294117647,223.529411764706,24.5000000000000,19
s07.mat',258.823529411765,288.235294117647,22,24.5000000000000,82.3529411764706,135.294117647059,7,11.5000000000000
s08.mat',64.7058823529412,311.764705882353,5.50000000000000,26.5000000000000,-88.2352941176471,88.2352941176471,-7.50000000000000,7.50000000000000
s09.mat',17.6470588235294,258.823529411765,1.50000000000000,22,152.941176470588,194.117647058824,13,16.5000000000000
s10.mat',547.058823529412,576.470588235294,46.5000000000000,49,0,129.411764705882,0,11
s11.mat',541.176470588235,652.941176470588,46,55.5000000000000,176.470588235294,200,15,17
s12.mat',447.058823529412,541.176470588235,38,46,35.2941176470588,41.1764705882353,3,3.50000000000000
s13.mat',447.058823529412,488.235294117647,38,41.5000000000000,200,276.470588235294,17,23.5000000000000
s14.mat',435.294117647059,470.588235294118,37,40,223.529411764706,123.529411764706,19,10.5000000000000
s15.mat',223.529411764706,370.588235294118,19,31.5000000000000,-129.411764705882,-5.88235294117647,-11,-0.500000000000000
s16.mat',494.117647058824,658.823529411765,42,56,94.1176470588235,270.588235294118,8,23
s17.mat',-47.0588235294118,52.9411764705882,-4,4.50000000000000,-82.3529411764706,64.7058823529412,-7,5.50000000000000
s18.mat',523.529411764706,341.176470588235,44.5000000000000,29,35.2941176470588,-82.3529411764706,3,-7
s19.mat',258.823529411765,311.764705882353,22,26.5000000000000,70.5882352941177,176.470588235294,6,15
s20.mat',305.882352941176,476.470588235294,26,40.5000000000000,70.5882352941177,152.941176470588,6,13
s21.mat',352.941176470588,335.294117647059,30,28.5000000000000,105.882352941176,211.764705882353,9,18
