"Codeall","lockoutall","meanRLall","meanD1all","meanE1all","meanDall","meanErrorall","positionall","recognitionall","correctreproduced"
1001,"no",4.65,4.094477,3.55,30.68808,0,1.95,8.5,1.95
1002,"no",2.7,12.780927,4.9,48.740825,0.3,7.6,10.85,7.65
1003,"no",4.8,5.454917,3.45,36.29935,0,6.2,10.95,6.2
1004,"no",4.5,12.16435,3.8,62.568505,0.3,1.85,8.4,1.95
1005,"no",3.1,6.455592,4.5,37.845625,0,5,10.95,5
1006,"no",3.5,19.2524845,6.15,64.98656,0,5.6,10.3,5.6
1007,"no",4.35,6.5927735,3.3,37.85034,0,3.65,10.7,3.65
1008,"no",3.6,6.650085,3.9,38.648085,0.1,3.85,10.75,3.85
1009,"no",5.15,9.9853575,2.9,58.280145,0.5,2.7,9.5,2.7
1010,"no",2.4,14.189454,8.3,42.00808,0.1,8.55,11.25,8.45
1011,"no",2.3,21.349705,6.1,55.04323,0,7.7,11.2,7.7
1012,"no",3.15,15.6932105,4.5,46.78137,0.1,3.45,8.95,3.4
1013,"no",1.7,30.613015,12,51.12871,0,11.8,12,11.8
1014,"no",3.6,7.7592735,3.35,40.77365,0.25,5,10.2,4.8
1015,"no",2,43.88912,9.1,75.4464,0.65,9.7,11.4,9.45
1016,"no",3.45,12.3920855,3.75,50.26777,0.1,4.8,9.95,4.75
1017,"no",2.7,13.471784,6.5,41.866705,0,8.4,11.5,8.4
1018,"no",5,5.0171925,3,40.45453,0.1,4.4,10.2,4.4
1019,"no",2.45,17.854929,10.3,42.269565,0.2,10.85,11.75,10.85
1020,"no",5.65,3.66282895,2.6,33.73661,0,4.8,10.3,4.8
1021,"no",3.45,4.8619315,3.75,32.03538,0,4.05,10.2,4.05
1022,"no",4.6,19.9435915,5.75,68.513345,0.1,5.85,10.3,5.85
1023,"no",6.05,33.70831,2.85,81.665475,0,4.35,10.6,4.35
1024,"no",3.4,21.0179175,5.15,74.687625,0,3.4,10.4,3.4
1025,"no",7.6,5.638284,3.45,58.51345,0,7.65,11.45,7.65
1026,"no",2.7,20.109265,9.2,52.49041,0,11.25,11.9,11.25
1027,"no",4.4,7.284651,3.6,47.64255,0.3,2.8,10.35,2.85
1028,"no",1.65,20.139255,10.6,43.789875,0.1,11.2,11.85,11.1
1029,"no",3.3,11.2193375,4.25,44.17152,0.1,3.2,9.85,3.15
1030,"no",5.9,6.3242635,2.8,46.99056,0.1,4.25,9.9,4.2
1031,"no",4,12.932047,4.25,50.13933,0.1,7.15,11.05,7.05
1032,"no",3.55,12.4938515,4.4,46.24796,0.2,4.5,10.6,4.5
1033,"no",2.5,9.515357,5.4,40.720045,0.2,4.05,10.35,4
1034,"no",3.65,8.8143725,3.85,44.854665,0,4.95,10.4,4.95
1035,"no",3.85,9.7894895,5.15,46.461885,0.1,6.5,10.6,6.6
1036,"no",3.4,7.484231,3.6,40.920165,0,3.7,10.95,3.7
1037,"no",4.35,6.0014675,2.8,39.173095,0,2.6,7.25,2.6
1038,"no",2.8,11.7038545,5.15,49.45489,0,5.2,10.35,5.2
1039,"no",3.8,12.2742735,4.1,48.81292,0.3,3.25,10,3.25
1040,"no",5.15,10.5509985,2.1,50.935815,2.4,4.1,9.65,4.1
1041,"no",4.1,8.4865705,3.6,44.81492,0.2,7.35,11,7.55
1042,"no",4.3,11.710092,3.7,55.61127,0.2,2.45,10,2.5
1043,"no",1.95,23.123825,10.2,46.373705,0.1,10,11.7,9.9
1044,"no",3.05,8.998885,4.9,43.98518,0,3.35,9.4,3.35
1045,"no",3.5,12.9229375,4.4,52.76196,0,4.8,11,4.8
1046,"no",4.1,5.3907105,3.8,34.2894,0.4,5.7,11.1,5.95
1047,"no",3.9,15.7644555,3.6,62.11922,0,6.65,10.9,6.65
1048,"no",2.25,16.6101145,6,45.55212,0.2,7.55,10.95,7.7
1049,"no",7.65,2.4041583,1.8,29.578405,0,2.85,9.45,2.85
1050,"no",2.6,14.022464,5,49.724,0.3,4.75,10.25,4.7
1051,"no",3.35,9.1181915,3.9,51.61757,0,5.55,10.8,5.55
1052,"no",4.25,12.8189625,5.65,50.973865,0.1,4.25,10.3,4.3
1053,"no",2.1,33.227205,9.9,79.411205,0.1,7.6,11.45,7.65
1054,"no",2.2,28.687125,9.15,70.761575,0.3,7.95,11.6,8.25
